mu,p_self_report,declared_accuracy,reader_accuracy,reader_error_reduction,process_accuracy
1,0.95,0.98,1.0,1.4131401266014194,0.27166666666666667
2,0.8,0.76,1.0,1.3730220501226602,0.37416666666666665
3,0.6499999999999999,0.68,1.0,1.4101570165448225,0.4666666666666666
