arm,content,n,explore_mass,explore_mass_sd,final_entropy,final_entropy_sd,real_goal_entropy,engaged_fraction,engaged_fraction_sd,between_observer,between_observer_sd,between_observer_full,modal_is_explore,accuracy
explore_off,foreign,4000,0.0,0.0,1.2011021272840674,0.3746613064010601,1.2011021272840672,0.842875,0.3516935025277496,1.3779485534775489,0.005898514935216959,1.3779485534775489,0.0,
explore_on,foreign,4000,0.20400809300826983,0.05634468133917784,1.486160339000009,0.2695919848163712,1.2411792971387186,0.69775,0.45882905219376546,1.3791195337160977,0.0043493443488097135,1.59890826960758,0.18925,
explore_off,human_directed,4000,0.0,0.0,0.0037418194574369004,0.026356300564956976,0.0037418194574368934,0.0,0.0,0.0,0.0,0.0,0.0,1.0
explore_on,human_directed,4000,0.0033008731018154018,0.02593582066423535,0.013917302858384795,0.064847501820941,0.0032659156449110402,0.0,0.0,0.0,0.0,0.00629581318943335,0.001,1.0
explore_off,human_exploratory,4000,0.0,0.0,0.9993793684272848,0.3828972093179359,0.9993793684272848,0.0018214285714285713,0.015296594142699184,1.378469467284216,0.0045092369139781135,1.378469467284216,0.0,
explore_on,human_exploratory,4000,0.7039561363836381,0.22179510665516933,0.737460538270707,0.3193636762483423,0.9982430529367167,0.0,0.0,1.3797032321707194,0.004900166995665229,0.48774941075544137,0.89025,
