arm,contamination,shape_kl,shape_kl_sd,flatness,flatness_sd,creator_mi,ghost_col_err,deep_per_genuine
both,0.0,0.2577613279089266,0.06613810931807801,1.049429623572644,0.019707968820337592,0.8553468131131067,4.552829394951712,1.935625
both,0.3,0.36242037610090394,0.08262806741347821,1.0378907057383728,0.01965254483983311,0.7644481689215011,0.24050938774481245,1.9702836358452627
both,0.6,0.607925315712857,0.10086313737263107,1.0047968825263076,0.020649289742273758,0.4945037841468077,0.22445964991584688,1.8447689894946684
control,0.0,0.1419005435600633,0.017556306318824228,1.0127915398739296,0.015785936880665628,1.027998757687602,4.582858114655012,6.0
control,0.3,0.14310834876797596,0.017686586313179185,1.0121733211490682,0.01720437488519113,1.0388493786820232,0.046699779815135074,6.0
control,0.6,0.1575970437076095,0.022592625197234296,1.0230102548834836,0.020949536029213796,1.0093275305331193,0.037814006955221115,6.0
poisoning_only,0.0,0.14104881453497833,0.013905307946119192,1.012323145588766,0.016986361030900326,1.0292350837867024,4.583833705362914,6.0
poisoning_only,0.3,0.17248610821042956,0.031229206567189076,1.024447556068088,0.017362499736360924,0.9765861699620252,0.05770608704665217,6.0
poisoning_only,0.6,0.35715322030034774,0.06876340953358656,1.016689398817517,0.023380257405956274,0.8463803897179898,0.04425348682080366,6.0
starvation_only,0.0,0.24960361765645037,0.05399699570580065,1.0368614020938123,0.023442656558935675,0.8967479282106696,4.551503386288932,1.8775000000000002
starvation_only,0.3,0.24062011854037882,0.05370574744052187,1.0499663540947033,0.025412221047411157,0.864088136132705,0.18130992355517817,1.8934443969215258
starvation_only,0.6,0.23232912352788007,0.06919012473846504,1.0314080195610937,0.030439488415387593,0.9165433545132942,0.18720063801320322,1.7876821990226965
