kappa,signing_rate,contamination,ghost_col_err,creator_mi,mi_ratio,mi_ratio_sd,ghost_col_entropy,time_to_competence
0.1,0.0,0.3,3.678796851562351,0.8789141164408004,0.8072995105956077,0.09892886436696022,1.0565649554056795,600.0
0.1,0.0,0.6,2.6556447892609385,0.7226077441284101,0.6637291030775634,0.06810413163346601,0.924953522150011,600.0
0.1,0.5,0.3,2.269224769853052,0.9731568213457207,0.8938632466009481,0.0909977557686403,0.7733353542683029,600.0
0.1,0.5,0.6,1.4493386907087558,0.9267930075118468,0.8512771923809925,0.09055255321311671,0.49330322899027984,583.3333333333334
0.1,1.0,0.3,1.6676004061249634,1.04585907772794,0.9606416665838239,0.04103096603499268,0.6650889809221053,591.6666666666666
0.1,1.0,0.6,0.7143516021927997,1.021840644233654,0.9385802737326873,0.05770570874234621,0.3596872941276568,358.3333333333333
0.9,0.0,0.3,3.611641511880309,0.8925624212271669,0.819835740892047,0.09165902196999005,1.0562302714307499,600.0
0.9,0.0,0.6,2.718177687192267,0.7257620925357683,0.6666264327231725,0.07671346600294301,0.9694016331717692,600.0
0.9,0.5,0.3,1.464502098889921,0.9861526788216488,0.9058001915012905,0.04218099669101204,0.5115760331970011,591.6666666666666
0.9,0.5,0.6,0.5130940270452393,0.9617473205602113,0.883383400813988,0.05283913937605641,0.3402374473994394,287.5
0.9,1.0,0.3,0.03604893995223407,1.0175441066443107,0.9346338213680595,0.04215718290992717,0.2132940358047625,100.0
0.9,1.0,0.6,0.028778966933477843,0.985173249444505,0.9049005667916169,0.0662856110137007,0.20830453009659886,100.0
