knob,level,value,accuracy,goal_entropy,goal_entropy_ceiling,confidence_in_the_truth,uptake,uptake_sd,uptake_iqr,engaged_fraction,between_reader_entropy,mean_pairwise_js,n_readers,n_seeds,n_timesteps,forced_deep_k,num_goals,why_confirmatory_only,in_target_band,uptake_variance_ratio,uptake_has_room
default,default,,1.0,3.337350752214988e-08,1.3862943611198906,0.9999999979258266,3.22791137481138,0.44591802915595535,0.6608073923414275,0.0,0.0,1.4341997229073193e-09,60,6,40,10,4,,False,1.0,False
reader inexpertise,d=0.0,0.0,1.0,3.337350752214988e-08,1.3862943611198906,0.9999999979258266,3.22791137481138,0.44591802915595535,0.6608073923414275,0.0,0.0,1.4341997229073193e-09,60,6,40,10,4,,False,1.0,False
reader inexpertise,d=0.3,0.3,1.0,0.0006575215088195242,1.3862943611198906,0.9998644437655041,3.226516686906977,0.4475032716703492,0.6606870148581918,0.0,0.0,9.489062050105498e-05,60,6,40,10,4,,False,1.0035550087925227,False
reader inexpertise,d=0.5,0.5,0.9972222222222222,0.01023861503988332,1.3862943611198906,0.9955269705800853,3.206466011609359,0.4505931457606236,0.6846435259791157,0.0,0.014127679285801657,0.0040855605101597576,60,6,40,10,4,,False,1.010484251138079,False
reader inexpertise,d=0.6,0.6,0.9916666666666667,0.04963268465038398,1.3862943611198906,0.9790715022158237,3.1149810181193556,0.530147363274033,0.7586786841991531,0.0,0.04238303785740497,0.017137628615993352,60,6,40,10,4,,False,1.1888897254894784,False
reader inexpertise,d=0.65,0.65,0.9694444444444444,0.09083650864581758,1.3862943611198906,0.9525171695380789,3.0209582426845776,0.608929384263218,0.8944398255104637,0.00018518518518518518,0.1433770990082378,0.03943415059670339,60,6,40,10,4,,False,1.365563499228355,True
reader inexpertise,d=0.7,0.7,0.925,0.13851546884506402,1.3862943611198906,0.9053758411363739,2.9136696765827903,0.6886094551960782,1.034016452263253,0.0020370370370370373,0.3297870210784219,0.08264855007976989,60,6,40,10,4,,False,1.5442512080067612,True
reader inexpertise,d=0.75,0.75,0.8527777777777777,0.18539908360983332,1.3862943611198906,0.835133265652593,2.8108667517713974,0.7479001705118068,1.0365877439498226,0.0007407407407407407,0.5342003979021871,0.1487717554416291,60,6,40,10,4,,False,1.6772144690526434,True
reader inexpertise,d=0.8,0.8,0.7666666666666667,0.23638502861710758,1.3862943611198906,0.7457051625758867,2.7027292364363764,0.7579828301278411,0.9878340047320133,0.0018518518518518521,0.7779077001357907,0.2264407198230268,60,6,40,10,4,,True,1.699825484882434,True
reader inexpertise,d=0.82,0.82,0.7194444444444444,0.26062638834580437,1.3862943611198906,0.7030732467204044,2.649336226026095,0.7638925344041892,1.100808417017476,0.001574074074074074,0.8769234015748634,0.258306819316697,60,6,40,10,4,,True,1.7130783786654777,True
reader inexpertise,d=0.85,0.85,0.6638888888888889,0.29498123897718526,1.3862943611198906,0.6362791805669206,2.5695311976897015,0.7789173251872049,1.1052485956562093,0.0018518518518518517,0.9829981628574246,0.3027068291805139,60,6,40,10,4,,True,1.746772443046447,True
reader inexpertise,d=0.87,0.87,0.6111111111111112,0.31633704198500895,1.3862943611198906,0.5817231933797506,2.5158260599074804,0.7921781075889757,1.1808274716874108,0.002777777777777778,1.072682813697576,0.3340996740902908,60,6,40,10,4,,True,1.7765106046248678,True
reader inexpertise,d=0.9,0.9,0.5138888888888888,0.33858232575541336,1.3862943611198906,0.49689229046354216,2.457987891549517,0.8170665989134742,1.2578556454861776,0.0037037037037037034,1.2099504806590502,0.37572613647022873,60,6,40,10,4,,False,1.8323246549596526,True
reader inexpertise,d=0.95,0.95,0.3527777777777778,0.33446182514833167,1.3862943611198906,0.35864011887732516,2.453860691795045,0.8539883228113143,1.30892686968008,0.0030555555555555557,1.3380085689087888,0.4261564056773714,60,6,40,10,4,,False,1.9151240070462379,True
reader inexpertise,d=1.0,1.0,0.26666666666666666,0.30565253825784944,1.3862943611198906,0.2533115365600602,2.516640096842904,0.8306720358193833,1.289989415327503,0.004074074074074074,1.3606812593877216,0.4462319664670646,60,6,40,10,4,,False,1.8628357265385744,True
observations before the decision,T=1,1.0,0.9305555555555556,0.306174814157628,1.3862943611198906,0.8722945255629153,2.5134207737186913,0.28646270918944056,0.43169431149242365,,0.297662350349342,0.07560944431763177,60,6,1,1,4,,False,0.6424111394008093,False
observations before the decision,T=2,2.0,0.9305555555555556,0.1140175083732363,1.3862943611198906,0.9311176620999924,2.9537682168091015,0.7380637194421269,0.9107684520132286,,0.3019192036930995,0.05430977828175651,60,6,2,2,4,,False,1.6551555918004754,True
observations before the decision,T=3,3.0,1.0,0.025436033452590785,1.3862943611198906,0.9937483040940285,3.1688213235906373,0.4611492281427153,0.6905144774071297,,0.0,0.0044347598530654056,60,6,3,3,4,,False,1.0341569481179982,False
observations before the decision,T=4,4.0,0.9972222222222222,0.0037761185779357793,1.3862943611198906,0.9967074643278961,3.22015696855518,0.4442667816222292,0.6605599337880701,,0.014127679285801657,0.0039158238703877095,60,6,4,4,4,,False,0.9962969706857298,False
observations before the decision,T=6,6.0,1.0,0.00028602046769066094,1.3862943611198906,0.9999472868344311,3.22727559694521,0.4462598677165145,0.6653933105947307,,0.0,3.6704861130683884e-05,60,6,6,6,4,,False,1.0007665950650306,False
observations before the decision,T=12,12.0,1.0,3.3373507522149884e-08,1.3862943611198906,0.9999999979258266,3.22791137481138,0.44591802915595535,0.6608073923414275,0.0,0.0,1.434199722452567e-09,60,6,12,10,4,,False,1.0,False
observations before the decision,T=24,24.0,1.0,3.337350752214988e-08,1.3862943611198906,0.9999999979258266,3.22791137481138,0.44591802915595535,0.6608073923414275,0.0,0.0,1.4341997229073193e-09,60,6,24,10,4,,False,1.0,False
observations before the decision,T=40,40.0,1.0,3.337350752214988e-08,1.3862943611198906,0.9999999979258266,3.22791137481138,0.44591802915595535,0.6608073923414275,0.0,0.0,1.4341997229073193e-09,60,6,40,10,4,,False,1.0,False
confirmatory (measured dead before the lock),signature separation at its extreme,0.22,1.0,0.002645823866240664,1.3862943611198906,0.9994545953056437,3.221632042795027,0.4459569681467159,0.6640294255320329,9.259259259259259e-05,0.0,0.0003779210392853434,60,6,40,10,4,"the spec's first knob, pushed until the signatures are nearly flat",False,1.000087323203402,False
confirmatory (measured dead before the lock),goal count doubled,8.0,1.0,1.4654737765948818e-06,2.0794415416798357,0.9999998889500701,4.839149554329489,0.4883011005314622,0.7092565727524018,0.0,0.0,7.657459928562882e-08,60,6,40,10,8,"the spec's third knob, at twice the default",False,1.095046776771351,False
joint: inexpertise x observations,"d=0.7, T=3",0.7,0.8388888888888889,0.5854371006043679,1.3862943611198906,0.7162331393258973,1.8527697013510862,0.7951666706560229,1.139287762631005,,0.6034395570672895,0.13775970774559534,60,6,3,3,4,,True,1.7832126504531203,True
joint: inexpertise x observations,"d=0.7, T=6",0.7,0.9055555555555556,0.2634627784395637,1.3862943611198906,0.8631062404450947,2.6253693090732875,0.7820788246108163,1.1523552950631921,,0.38850892840744694,0.09854263673932001,60,6,6,6,4,,False,1.7538623098311463,True
joint: inexpertise x observations,"d=0.7, T=12",0.7,0.9222222222222223,0.11572544569811716,1.3862943611198906,0.9173667770229433,2.965542947716469,0.6628097703513927,0.9891818540119424,,0.3367073127623251,0.07375105259396851,60,6,12,12,4,,False,1.4863937473126514,True
joint: inexpertise x observations,"d=0.8, T=3",0.8,0.6833333333333333,0.7184743002753007,1.3862943611198906,0.5755159795393471,1.54197108906249,0.7749174219526118,1.1091559279982952,,0.9570546083840905,0.1935236948600353,60,6,3,3,4,,True,1.737802401529704,True
