true_beta,n,mass_on_beta_zero,mass_on_beta_one,modal_beta_is_zero,modal_beta_is_one,recovered_beta,recovered_beta_sd,beta_posterior_entropy,accuracy,psi_analogue,psi_analogue_sd,final_entropy,final_entropy_sd,engaged_fraction,between_observer
0.0,4000,0.2912321426165591,0.006657759383670546,0.1825,0.00025,0.2837808510701576,0.07817656579464777,1.24742970914902,0.2565,1.1041369025742496,0.8331970891756144,0.8924581158564117,0.3663259134481206,0.0,1.3766318037324639
0.25,4000,0.24291848159878254,0.01564121560785504,0.11575,0.0035,0.32678712345716654,0.11254006138329119,1.2671585704286872,0.62625,1.4952236695796501,1.0018742199241963,0.7320073132449347,0.42670677349551256,0.0,1.0647890819190646
0.5,4000,0.1376407140748064,0.060534964504466035,0.0345,0.0255,0.44884804962753677,0.1619924784460284,1.2808560460397895,0.9035,2.3011623520967497,1.010413639996125,0.38652168322882063,0.4216282429689077,0.0,0.4151578764778365
0.75,4000,0.04127978184131501,0.20419005758728484,0.00225,0.1655,0.6329871180431864,0.16624234746609676,1.2111866942488698,0.991,3.013545667942381,0.6371573539227527,0.09330873233021574,0.22094562183888616,0.0,0.05406898295479736
1.0,4000,0.0032010285601509173,0.5178302054652486,0.0,0.6655,0.8344438589080957,0.0957802606434641,0.9568524205776745,1.0,3.2183493558548206,0.4500699730518822,0.004333096249415305,0.04261166979209025,0.0,0.0
