coupling,coverage,picture_error
0.0,0.0,0.7607066493775557
0.0,0.2,0.7527917689598408
0.0,0.4,0.7073042269968252
0.0,0.6,0.5675967816323636
0.0,0.8,0.2154258196463292
0.0,1.0,0.0006420989386742392
1.0,0.0,0.7306474979165559
1.0,0.2,0.7185411960265817
1.0,0.4,0.668828022399549
1.0,0.6,0.5297002818931714
1.0,0.8,0.19414262236575955
1.0,1.0,0.027148535853449923
