mu,beta,goal_accuracy,goal_error_reduction,process_accuracy,process_error_reduction,window_accuracy,whole_accuracy
1,0.1,0.4,-0.14109021562006405,0.23229166666666665,-0.011964016473349525,0.2333333333333333,0.23229166666666665
1,0.25,0.825,0.8255052335810944,0.19479166666666667,-0.02044996332663651,0.19702380952380952,0.19479166666666667
1,1.0,1.0,1.3655705038800856,0.26458333333333334,-0.034485042659671526,0.2648809523809524,0.26458333333333334
2,0.1,0.55,0.4509224632301029,0.36354166666666665,0.013739942453255539,0.37083333333333335,0.36354166666666665
2,0.25,0.8,0.8160122906156593,0.38541666666666663,0.07301514551876376,0.3892857142857143,0.38541666666666663
2,1.0,1.0,1.3818087573266236,0.3875,0.20170906270013583,0.38511904761904764,0.3875
3,0.1,0.45,0.13882597798286536,0.32395833333333335,0.03781617872943972,0.325,0.32395833333333335
3,0.25,0.825,0.7888036057183866,0.36770833333333336,0.048753604259214496,0.35892857142857143,0.36770833333333336
3,1.0,1.0,1.337790753474763,0.4354166666666667,0.14498854255230584,0.4458333333333333,0.4354166666666667
