settled_at,process_before_settling,process_after_settling,mu,beta,observer,goal_correct,goal_error_reduction,goal_movement,process_accuracy,process_error_reduction,window_accuracy,whole_accuracy,recovered_mu,final_entropy
3,-0.044921768752195224,-0.10801981834169028,1,1.0,11,1,1.0647969608532795,1.0647969608503658,0.4166666666666667,-0.10013256214300359,0.40476190476190477,0.4166666666666667,2.3169103915769456,1.4175331158069216e-14
4,0.1366863246397827,-0.12668844619152075,1,1.0,12,1,1.3761456128905598,1.3761456122327325,0.16666666666666666,-0.08279265105297018,0.14285714285714285,0.16666666666666666,1.2638611454908806,6.788767502513382e-10
2,0.09250784699778136,0.05781150255601197,1,1.0,13,1,1.6553486049412083,1.6553486041222663,0.20833333333333334,0.060702864592826034,0.21428571428571427,0.20833333333333334,1.4842275411174422,8.339933696148784e-10
1,,,1,1.0,14,1,1.4355401422001515,1.435540141830576,0.5416666666666666,0.17723281766261456,0.5952380952380952,0.5416666666666666,1.3602092142870132,3.7841033122097645e-10
2,0.0901340015371559,-0.0326685047628168,1,1.0,15,1,1.3778461237139374,1.3778461221858915,0.4166666666666667,-0.022434962571152406,0.42857142857142855,0.4166666666666667,1.3061412411893838,1.5857667935981752e-09
1,,,1,1.0,16,1,1.4968100772020865,1.4968100771976183,0.0,-0.1755749099391537,0.0,0.0,2.2342163175629306,4.669098472590622e-16
1,,,1,1.0,17,1,1.4371328777909522,1.437132877784939,0.2916666666666667,-0.38607152606621353,0.3095238095238095,0.2916666666666667,2.2855355587337183,1.8567208217255767e-12
1,,,1,1.0,18,1,1.2510683545722516,1.251068354568666,0.16666666666666666,0.022210026408447936,0.14285714285714285,0.16666666666666666,1.3208022912616042,9.466208416052124e-14
1,,,1,1.0,19,1,1.477835177575498,1.4778351774371639,0.3333333333333333,-0.016687750294563042,0.35714285714285715,0.3333333333333333,1.3957833984883439,1.38253651142158e-10
1,,,1,1.0,20,1,1.166432408583344,1.1664324085800248,0.08333333333333333,0.022338805142305906,0.047619047619047616,0.08333333333333333,1.246597527702319,1.1280059477851576e-13
