arm,encounter,probe_engagement,probe_correct,reserve
human,0,0.1550613638536819,1.0,1.0
human,1,0.11360294374678696,1.0,1.0
human,2,0.17282659804032466,1.0,1.0
human,3,0.09189530387739547,1.0,1.0
human,4,0.11138124098989256,1.0,1.0
human,5,0.07875448765358654,1.0,1.0
human,6,0.1066393254195618,1.0,1.0
human,7,0.38719918388778535,1.0,1.0
human,8,0.1789352651178693,1.0,1.0
human,9,0.11307985355208777,1.0,1.0
human,10,0.12836223617932435,1.0,1.0
human,11,0.13305000744970422,1.0,1.0
intent_empty,0,0.14171471955596657,1.0,0.9457721240417407
intent_empty,1,0.0871041473784081,1.0,0.8965248015733653
intent_empty,2,0.12897044927563125,1.0,0.8601606779844068
intent_empty,3,0.05386827342279315,1.0,0.8360729686149438
intent_empty,4,0.04868495170595102,1.0,0.7920558412368965
intent_empty,5,0.02505968852331492,1.0,0.7606838994230637
intent_empty,6,0.026551274466417727,1.0,0.730917880623564
intent_empty,7,0.2012899925486836,1.0,0.6702838670931582
intent_empty,8,0.024359101935599908,1.0,0.6303392249410842
intent_empty,9,0.005687883500378678,1.0,0.5911210423760452
intent_empty,10,0.022581363974725904,1.0,0.5417357565249871
intent_empty,11,0.009453452873200536,1.0,0.4989862618177707
mixed,0,0.1550613638536819,1.0,1.0
mixed,1,0.10115867445477356,1.0,0.9457526775316246
mixed,2,0.16365716707234837,1.0,0.9599959625652086
mixed,3,0.07762403097915349,1.0,0.9327998430388275
mixed,4,0.09893679254882802,1.0,0.9494607644005103
mixed,5,0.05979434313035605,1.0,0.9163278843121452
mixed,6,0.08752724902888472,1.0,0.9323271638056978
mixed,7,0.3586364206920089,1.0,0.8702649302490787
mixed,8,0.14093965849772255,1.0,0.8877616872240034
mixed,9,0.070504979003801,1.0,0.8485435046589646
mixed,10,0.09844035660127154,1.0,0.867997908410819
mixed,11,0.0910279742692846,1.0,0.8231680085410479
