arm,seed,encounter,probe_engagement,probe_correct,reserve
intent_empty,20000,0,0.2932774398366006,1,0.9221026760412373
intent_empty,20000,1,0.07805264212632922,1,0.9421026760412373
intent_empty,20000,2,0.054180060171982625,1,0.8632012055364934
intent_empty,20000,3,0.09473531715095797,1,0.8832012055364934
intent_empty,20000,4,0.018081654585198528,1,0.8040184379188929
intent_empty,20000,5,0.04124072629124714,1,0.824018437918893
intent_empty,20000,6,0.022062636329953606,1,0.8257567693688354
intent_empty,20000,7,0.05436926108075717,1,0.7471337843702579
intent_empty,20000,8,0.041776666006939085,1,0.7671337843702579
intent_empty,20000,9,0.029754972907638882,1,0.7871337843702579
intent_empty,20000,10,0.013563132420479147,1,0.7763584562013571
intent_empty,20000,11,0.016763323760761846,1,0.7963584562013571
intent_empty,20000,12,0.013497884067920048,1,0.7199741120913566
intent_empty,20000,13,0.0037763197258997576,1,0.6415969338197973
intent_empty,20000,14,0.00543004348462249,1,0.6615969338197973
intent_empty,20000,15,0.005865906492828179,1,0.5827267860360597
intent_empty,20000,16,0.00013005705537316457,1,0.5041893478449524
intent_empty,20000,17,0.00044264330747930184,1,0.5241893478449524
intent_empty,20000,18,7.962481531964912e-06,1,0.4463679351597803
intent_empty,20000,19,1.6703878956953293e-07,1,0.3671948524390245
intent_empty,20000,20,4.635561702682654e-09,1,0.28773651770761177
intent_empty,20000,21,2.083005750621588e-14,1,0.20820896189385454
intent_empty,20000,22,2.8857226684623135e-13,1,0.22820896189385453
intent_empty,20000,23,1.2465091533132708e-13,1,0.22287214675545275
intent_empty,20000,24,1.3968812186912503e-14,1,0.2
intent_empty,20000,25,4.303096385587323e-15,1,0.2
intent_empty,20000,26,1.633178806332709e-13,1,0.22
intent_empty,20000,27,1.0792241194131308e-13,1,0.21077361656992888
intent_empty,20000,28,2.055535528460169e-15,1,0.2
intent_empty,20000,29,8.00727304275816e-15,1,0.2
intent_empty,20001,0,0.43638939873150423,1,0.9220177574172354
intent_empty,20001,1,0.04528787774976463,1,0.9420177574172354
intent_empty,20001,2,0.12453513024942658,1,0.8629532709086511
intent_empty,20001,3,0.028810845427429545,1,0.7838860680390146
intent_empty,20001,4,0.005291257663416737,1,0.7043581125548636
intent_empty,20001,5,0.005104000117311953,1,0.6255766125416868
intent_empty,20001,6,0.007473968365022535,1,0.6455766125416869
intent_empty,20001,7,0.0003556357841476626,1,0.5666088875956549
intent_empty,20001,8,0.0022215462434982095,1,0.5866088875956549
intent_empty,20001,9,7.30298104606634e-05,1,0.509374849504015
intent_empty,20001,10,4.028707313466702e-06,1,0.4300202126514448
intent_empty,20001,11,1.2489876296013876e-07,1,0.3506262217571993
intent_empty,20001,12,7.314457005953742e-08,1,0.3425920869608388
intent_empty,20001,13,1.2667992606444006e-07,1,0.36259208696083883
intent_empty,20001,14,9.567936145209121e-08,1,0.3580375980669402
intent_empty,20001,15,6.532126924919085e-07,1,0.3780375980669402
intent_empty,20001,16,2.881177221267545e-09,1,0.3009144945232931
intent_empty,20001,17,2.566079246281288e-13,1,0.22276809366432385
intent_empty,20001,18,4.303096385587323e-15,1,0.2
intent_empty,20001,19,1.633178806332709e-13,1,0.22
intent_empty,20001,20,1.4791547428094253e-13,1,0.2
intent_empty,20001,21,4.303096385587323e-15,1,0.2
intent_empty,20001,22,4.303096385587323e-15,1,0.2
intent_empty,20001,23,4.303096385587323e-15,1,0.2
intent_empty,20001,24,1.1747055103347192e-12,1,0.2
intent_empty,20001,25,2.055535528460169e-15,0,0.2
intent_empty,20001,26,4.303096385587323e-15,1,0.2
intent_empty,20001,27,2.055535528460169e-15,1,0.2
intent_empty,20001,28,2.055535528460169e-15,1,0.2
intent_empty,20001,29,2.3394057422098247e-14,1,0.2
intent_empty,20002,0,0.07246530402089561,1,0.921832525924542
intent_empty,20002,1,0.3936502306603045,1,0.941832525924542
intent_empty,20002,2,0.12481416855582107,1,0.8634724049105138
intent_empty,20002,3,0.015092469542846279,1,0.7862010462511289
intent_empty,20002,4,0.03554126279996147,1,0.8062010462511289
intent_empty,20002,5,0.017862083289691688,1,0.8027616954549408
intent_empty,20002,6,0.06728554475121881,1,0.8227616954549408
intent_empty,20002,7,0.5080415033857455,1,0.743668926691423
intent_empty,20002,8,0.017664926231525314,1,0.6641417440594393
intent_empty,20002,9,0.0155528738748495,1,0.6292778776741165
intent_empty,20002,10,0.0015788517261650164,1,0.5501495397734512
intent_empty,20002,11,0.11869143018671828,1,0.5701495397734512
intent_empty,20002,12,9.252294836985954e-05,1,0.49358731805570044
intent_empty,20002,13,4.0624547237683925e-06,1,0.41377350385112754
intent_empty,20002,14,4.079873805093296e-08,1,0.3342361494862771
intent_empty,20002,15,7.528043700822618e-08,1,0.35423614948627713
intent_empty,20002,16,1.3762089898518005e-10,1,0.2769289296932334
intent_empty,20002,17,9.632442497374158e-10,1,0.2969289296932334
intent_empty,20002,18,5.273917814633507e-09,1,0.31692892969323344
intent_empty,20002,19,2.3643792581276356e-12,1,0.23745168708519523
intent_empty,20002,20,6.075386933253941e-14,1,0.2
intent_empty,20002,21,1.633178806332709e-13,1,0.22
intent_empty,20002,22,4.303096385587323e-15,1,0.2
intent_empty,20002,23,2.3394057422098247e-14,1,0.2
intent_empty,20002,24,7.855990602682486e-13,1,0.2
intent_empty,20002,25,4.303096385587323e-15,1,0.2
intent_empty,20002,26,4.303096385587323e-15,1,0.2
intent_empty,20002,27,2.055535528460169e-15,1,0.2
intent_empty,20002,28,2.3394057422098247e-14,1,0.2
intent_empty,20002,29,1.4791547428094253e-13,1,0.2
intent_empty,20003,0,0.19687282186455074,1,0.9205845451592888
intent_empty,20003,1,0.07070467764487592,1,0.9157586365770746
intent_empty,20003,2,0.30325916021465193,1,0.8369538191130803
intent_empty,20003,3,0.02180850425758108,1,0.7579858705129955
intent_empty,20003,4,0.027130782536265555,1,0.7779858705129955
intent_empty,20003,5,0.03300099219366972,1,0.7979858705129955
intent_empty,20003,6,0.09826396720817314,1,0.8179858705129955
intent_empty,20003,7,0.35688082276097716,1,0.8379858705129956
intent_empty,20003,8,0.0918816659768976,1,0.7588086641111745
intent_empty,20003,9,0.007569338600040842,1,0.6813298879080714
intent_empty,20003,10,0.07778461544544867,1,0.6035760125859116
intent_empty,20003,11,0.00011532147431001493,1,0.5246533940765802
intent_empty,20003,12,1.7267868095502057e-05,1,0.4472501083607792
intent_empty,20003,13,3.680644530058812e-07,1,0.3680603946406416
intent_empty,20003,14,1.1283001378898928e-06,1,0.3880603946406416
intent_empty,20003,15,2.6596082844153452e-09,1,0.30856046663934383
intent_empty,20003,16,2.1933910941770476e-09,1,0.2978586699695101
intent_empty,20003,17,6.858851593793315e-14,1,0.2192236609097062
intent_empty,20003,18,1.4495787656909852e-12,1,0.23922366090970618
intent_empty,20003,19,2.2707594114585248e-13,1,0.2
intent_empty,20003,20,7.801491670022317e-14,1,0.22
intent_empty,20003,21,4.303096385587323e-15,1,0.2
intent_empty,20003,22,8.00727304275816e-15,1,0.2
intent_empty,20003,23,2.3394057422098247e-14,1,0.2
intent_empty,20003,24,1.3968812186912503e-14,1,0.2
intent_empty,20003,25,2.055535528460169e-15,1,0.2
intent_empty,20003,26,2.055535528460169e-15,1,0.2
intent_empty,20003,27,2.055535528460169e-15,1,0.2
intent_empty,20003,28,8.878880543737342e-13,1,0.22
intent_empty,20003,29,6.29189090689428e-12,1,0.24
intent_empty,20004,0,0.10948630897211303,1,0.9212615842215587
intent_empty,20004,1,0.11404687776782294,1,0.844202917034682
intent_empty,20004,2,0.08588250054097264,1,0.8628002792555605
intent_empty,20004,3,0.06056086168668869,1,0.8828002792555605
intent_empty,20004,4,0.05833693916579531,1,0.8038361113664337
intent_empty,20004,5,0.014370645323885052,1,0.7245721900681408
intent_empty,20004,6,0.013453458821375934,1,0.7197347697375587
intent_empty,20004,7,0.0017834051396696615,1,0.6405453562911773
intent_empty,20004,8,0.0021773741986682244,1,0.5626994954495641
intent_empty,20004,9,3.1242277476932934e-05,1,0.48323409134958833
intent_empty,20004,10,1.213602847243285e-06,1,0.4039656802573395
intent_empty,20004,11,1.16770044670773e-08,1,0.3272331051082281
intent_empty,20004,12,1.8596541186448568e-07,1,0.34723310510822814
intent_empty,20004,13,1.674182990890869e-07,1,0.36723310510822815
intent_empty,20004,14,1.8019903229354614e-09,1,0.2890596567295612
intent_empty,20004,15,5.805780523827121e-09,1,0.3090596567295612
intent_empty,20004,16,3.3473887459351727e-13,1,0.2291791746631658
intent_empty,20004,17,2.1391394113109958e-13,1,0.22627657920492164
intent_empty,20004,18,4.303096385587323e-15,1,0.2
intent_empty,20004,19,8.00727304275816e-15,1,0.2
intent_empty,20004,20,1.3968812186912503e-14,1,0.2
intent_empty,20004,21,4.303096385587323e-15,1,0.2
intent_empty,20004,22,7.801491670022317e-14,1,0.22
intent_empty,20004,23,3.381252628164387e-12,1,0.24
intent_empty,20004,24,2.38768863251435e-10,1,0.26
intent_empty,20004,25,4.303096385587323e-15,1,0.2
intent_empty,20004,26,2.055535528460169e-15,1,0.2
intent_empty,20004,27,7.801491670022317e-14,1,0.22
intent_empty,20004,28,2.055535528460169e-15,1,0.2
intent_empty,20004,29,3.039046179338688e-13,1,0.22
intent_empty,20005,0,0.09138232232875061,1,1.0
intent_empty,20005,1,0.04134676419262431,1,0.9214443058784764
intent_empty,20005,2,0.11523790886085045,1,0.8462659574180884
intent_empty,20005,3,0.055188655352747314,1,0.8662659574180884
intent_empty,20005,4,0.0540217047095246,1,0.8627208193983431
intent_empty,20005,5,0.01467072615870349,1,0.7835442131923491
intent_empty,20005,6,0.01072653319227148,1,0.7038614013768856
intent_empty,20005,7,0.05390333690170357,1,0.6257553148325328
intent_empty,20005,8,0.0004578956257967526,1,0.5477291953936753
intent_empty,20005,9,0.00018025272776517695,1,0.5405133216740904
intent_empty,20005,10,0.00017089982890031337,1,0.46276332197001047
intent_empty,20005,11,4.541300096947009e-07,1,0.38486264253917296
intent_empty,20005,12,2.654509109220793e-06,1,0.404862642539173
intent_empty,20005,13,4.1248565573689735e-08,1,0.32592899899106
intent_empty,20005,14,3.159623518142943e-11,1,0.24786192835993953
intent_empty,20005,15,1.0835864270865211e-10,1,0.26786192835993955
intent_empty,20005,16,4.1227057436346e-10,1,0.28786192835993957
intent_empty,20005,17,5.2495864535852625e-09,1,0.3078619283599396
intent_empty,20005,18,3.8511597942526934e-13,1,0.23010331259501088
intent_empty,20005,19,2.055535528460169e-15,1,0.2
intent_empty,20005,20,2.055535528460169e-15,1,0.2
intent_empty,20005,21,3.039046179338688e-13,1,0.22
intent_empty,20005,22,2.055535528460169e-15,1,0.2
intent_empty,20005,23,1.3968812186912503e-14,1,0.2
intent_empty,20005,24,2.3394057422098247e-14,1,0.2
intent_empty,20005,25,8.00727304275816e-15,1,0.2
intent_empty,20005,26,8.00727304275816e-15,1,0.2
intent_empty,20005,27,5.30166326036554e-13,1,0.22
intent_empty,20005,28,3.381252628164387e-12,1,0.24
intent_empty,20005,29,5.3880873529077327e-11,1,0.2376467061148658
intent_empty,20006,0,0.10922481792451305,1,0.920524436062152
