kappa,signing_rate,contamination,kl_recovered,kl_naive
0.1,0.0,0.0,0.0004149687924420092,0.00041703112597262973
0.1,0.0,0.1,0.00023308994911570114,0.0016925108942334303
0.1,0.0,0.2,0.0004619051575715144,0.005885214533684397
0.1,0.0,0.3,0.0006008988602909961,0.012285801535094013
0.1,0.0,0.4,0.0010509082375995593,0.02121926951516031
0.1,0.0,0.5,0.0019363344450858983,0.03305917524894543
0.1,0.0,0.6,0.003154727734291628,0.0451257709910209
0.1,0.0,0.7,0.005689077817573354,0.05933850868625351
0.1,0.0,0.8,0.013344972726334869,0.0775641809771006
0.1,0.5,0.0,0.000714265113904775,0.000713306564739357
0.1,0.5,0.1,0.0006973354902487739,0.001582284256959095
0.1,0.5,0.2,0.0007551715711655046,0.005802606760459671
0.1,0.5,0.3,0.0009218791839325407,0.012771315606821987
0.1,0.5,0.4,0.00117376156315889,0.022475110890640505
0.1,0.5,0.5,0.0016343565404627898,0.03430223257976449
0.1,0.5,0.6,0.0024666862417810245,0.04637899821035586
0.1,0.5,0.7,0.0036109050808191116,0.06224361912978789
0.1,0.5,0.8,0.007910342571103113,0.07967141719466424
0.1,1.0,0.0,0.000854279728149019,0.0008518196492366236
0.1,1.0,0.1,0.0009762606364542761,0.0027870684538217625
0.1,1.0,0.2,0.0008992045507861523,0.006929784429514399
0.1,1.0,0.3,0.0007797778231981081,0.013771238020783949
0.1,1.0,0.4,0.0007974731697563706,0.022916262819394125
0.1,1.0,0.5,0.0013832462218151705,0.033169625475191804
0.1,1.0,0.6,0.001657862790861209,0.04518765499649522
0.1,1.0,0.7,0.001679394040670748,0.06044498202361246
0.1,1.0,0.8,0.0027286724215319024,0.0777178224332138
0.5,0.0,0.0,0.0004149687924420853,0.0004170311259726809
0.5,0.0,0.1,0.0002330899491156194,0.0016925108942334485
0.5,0.0,0.2,0.00046190515757148074,0.005885214533684507
0.5,0.0,0.3,0.0006008988602910454,0.012285801535093952
0.5,0.0,0.4,0.001050908237599599,0.021219269515160323
0.5,0.0,0.5,0.0019363344450859534,0.033059175248945395
0.5,0.0,0.6,0.0031547277342916387,0.04512577099102082
0.5,0.0,0.7,0.005689077817573385,0.05933850868625353
0.5,0.0,0.8,0.013344972726334886,0.07756418097710059
0.5,0.5,0.0,0.0007063261968966854,0.0007071187188767302
0.5,0.5,0.1,0.000696627197313634,0.001577259542546746
0.5,0.5,0.2,0.0007643122247770188,0.005789882958557012
0.5,0.5,0.3,0.0009279237490270924,0.012750206506580663
0.5,0.5,0.4,0.0011709208107190988,0.022460930881468246
0.5,0.5,0.5,0.0016085700632394722,0.034291281619602765
0.5,0.5,0.6,0.0024189013290773003,0.046371557297975055
0.5,0.5,0.7,0.003495291613125105,0.06224262113202454
0.5,0.5,0.8,0.007581535081971504,0.07968407630113186
0.5,1.0,0.0,0.000848888759810446,0.0008488886536241958
0.5,1.0,0.1,0.0009633436740067494,0.002761562101179046
0.5,1.0,0.2,0.0008855842477882055,0.006896301612005888
0.5,1.0,0.3,0.0007596440440970807,0.013732201247245729
0.5,1.0,0.4,0.0007869895448978884,0.022888108883756215
0.5,1.0,0.5,0.0014180668202057396,0.033162271183703164
0.5,1.0,0.6,0.0017118488885861215,0.04518883729980855
0.5,1.0,0.7,0.0017626192174079122,0.06046316028793323
0.5,1.0,0.8,0.002822016486426553,0.07775616198040389
0.9,0.0,0.0,0.00041496879244209224,0.00041703112597268486
0.9,0.0,0.1,0.00023308994911567534,0.0016925108942334125
0.9,0.0,0.2,0.00046190515757151197,0.005885214533684445
0.9,0.0,0.3,0.0006008988602909683,0.012285801535093985
0.9,0.0,0.4,0.0010509082375995931,0.021219269515160327
0.9,0.0,0.5,0.0019363344450858775,0.03305917524894538
0.9,0.0,0.6,0.00315472773429168,0.04512577099102085
0.9,0.0,0.7,0.005689077817573378,0.059338508686253545
0.9,0.0,0.8,0.013344972726334819,0.07756418097710058
0.9,0.5,0.0,0.0007063258183219907,0.0007071185100380496
0.9,0.5,0.1,0.0006966269056671887,0.0015772593951907886
0.9,0.5,0.2,0.0007643123845469491,0.005789882777689929
0.9,0.5,0.3,0.00092792391919674,0.012750206233064377
0.9,0.5,0.4,0.0011709209302903864,0.02246093059831645
0.9,0.5,0.5,0.0016085699690807464,0.03429128134205821
0.9,0.5,0.6,0.0024189011250127833,0.04637155700586583
0.9,0.5,0.7,0.003495290824738131,0.06224262082598038
0.9,0.5,0.8,0.007581532042058919,0.07968407602735507
0.9,1.0,0.0,0.0008488885670987892,0.0008488885670987824
0.9,1.0,0.1,0.0009633433194814293,0.0027615616728829144
0.9,1.0,0.2,0.0008855838568099111,0.006896301051316342
0.9,1.0,0.3,0.0007596435728583505,0.013732200556525628
0.9,1.0,0.4,0.0007869891185870411,0.022888108185139467
0.9,1.0,0.5,0.0014180667567342056,0.03316227085584118
0.9,1.0,0.6,0.0017118489745441292,0.04518883701477512
0.9,1.0,0.7,0.00176261984453155,0.06046316010548393
0.9,1.0,0.8,0.0028220177933321465,0.07775616197840222
