arm,omega,d,n,engaged_fraction,within_observer,between_observer,accuracy,psi_analogue,cum_deep
foreign_content,0.0,0.945128628108705,6000,0.6935119047619047,1.2346114019461674,1.378942057745884,0.24283333333333335,0.3141174619285153,19.70916666666667
foreign_content,0.05,0.9352460439881725,6000,0.6083690476190476,0.638366196606617,0.9648615153159622,0.6746666666666666,1.7213259934298455,18.517166666666668
foreign_content,0.1,0.9241553724273217,6000,0.3379404761904762,0.47940766050941297,0.636269556941387,0.8056666666666666,2.1063403100412574,14.731166666666667
foreign_content,0.2,0.8977847068222218,6000,0.10801190476190475,0.4345417058708552,0.36728780166213415,0.8945,2.2069186947500894,11.512166666666667
foreign_content,0.4,0.8228425661250185,6000,0.011119047619047619,0.32390008158059397,0.1398186474970868,0.9691666666666666,2.4698989837567824,10.155666666666667
foreign_content,0.7,0.612035586751972,6000,0.00011904761904761905,0.07830480336168334,0.0052456734667315685,0.9991666666666666,3.049837160939307,10.001666666666667
unskilled_reader,0.0,0.945128628108705,6000,3.571428571428571e-05,0.859094058770459,1.319844913042619,0.4091666666666667,1.2024027367033425,10.0005
unskilled_reader,0.05,0.9352460439881725,6000,8.333333333333333e-05,0.8435472462047828,1.2827439597955697,0.4503333333333333,1.2411436403695073,10.001166666666666
unskilled_reader,0.1,0.9241553724273217,6000,9.523809523809523e-05,0.8355067410475452,1.2484725868721118,0.488,1.255650253844605,10.001333333333333
unskilled_reader,0.2,0.8977847068222218,6000,0.00021428571428571427,0.7842128834769977,1.1242737736953226,0.5873333333333334,1.379319465588032,10.003
unskilled_reader,0.4,0.8228425661250185,6000,0.00027380952380952377,0.5380821677697982,0.5920832609874149,0.8451666666666666,1.9657640677017505,10.003833333333333
unskilled_reader,0.7,0.612035586751972,6000,2.3809523809523807e-05,0.06030298351154563,0.01154148665616492,0.9981666666666666,3.1049224730948324,10.000333333333334
