kappa,label_dominance_nats,content_weight,true_honesty,believed_honesty_mean,believed_honesty_sd,believed_honesty_sem,n_readers,n_encounters
0.2,-1.108768934698867,0.9882847069988014,0.1,0.13308434249159162,0.04738496962128232,0.010595601318494973,20,30
0.2,-1.108768934698867,0.9882847069988014,0.2,0.21115150366359337,0.07436356765937181,0.01662819923357603,20,30
0.2,-1.108768934698867,0.9882847069988014,0.3,0.2939026945059152,0.08738825020545828,0.019540606789416465,20,30
0.2,-1.108768934698867,0.9882847069988014,0.4,0.3938286608060776,0.08130355009870724,0.01818002648327691,20,30
0.2,-1.108768934698867,0.9882847069988014,0.5,0.46877313553119926,0.08230733564576126,0.01840447975508137,20,30
0.2,-1.108768934698867,0.9882847069988014,0.6,0.5562083560438413,0.08015926793512783,0.017924157212956503,20,30
0.2,-1.108768934698867,0.9882847069988014,0.7,0.631152830768963,0.08809017513780999,0.019697561975800505,20,30
0.2,-1.108768934698867,0.9882847069988014,0.8,0.7279561106222452,0.0883809985606407,0.019762592070090367,20,30
0.2,-1.108768934698867,0.9882847069988014,0.9,0.8216367040286474,0.06495124596926698,0.014523540121059017,20,30
0.4,-0.45336208212176854,0.8597781197249652,0.1,0.12105020103599358,0.039989010379179235,0.008941814556078941,20,30
0.4,-0.45336208212176854,0.8597781197249652,0.2,0.21230749956201964,0.05414150004303038,0.012106407450002372,20,30
0.4,-0.45336208212176854,0.8597781197249652,0.3,0.29119092710146594,0.06648020567625987,0.014865425905028443,20,30
0.4,-0.45336208212176854,0.8597781197249652,0.4,0.37935475788084705,0.07832356306082139,0.01751368112439881,20,30
0.4,-0.45336208212176854,0.8597781197249652,0.5,0.4551447176736483,0.09169845185190781,0.020504397177235734,20,30
0.4,-0.45336208212176854,0.8597781197249652,0.6,0.5510422178196417,0.0792028223588948,0.0177102894804329,20,30
0.4,-0.45336208212176854,0.8597781197249652,0.7,0.6407527824723451,0.07740179190464182,0.0173075668279072,20,30
0.4,-0.45336208212176854,0.8597781197249652,0.8,0.7335568148716936,0.0720082020517137,0.016101523472517164,20,30
0.4,-0.45336208212176854,0.8597781197249652,0.9,0.8108935085378175,0.07130532332374837,0.01594435501095026,20,30
0.538,0.0005284089808352821,0.49947159121588497,0.1,0.1544547723061575,0.05037472265704938,0.011264130420886123,20,30
0.538,0.0005284089808352821,0.49947159121588497,0.2,0.24120868053567546,0.06513256602937768,0.014564084519068207,20,30
0.538,0.0005284089808352821,0.49947159121588497,0.3,0.33825542533479713,0.07235010278181796,0.01617797479992416,20,30
0.538,0.0005284089808352821,0.49947159121588497,0.4,0.40883487609779473,0.08634698562861208,0.0193077729517774,20,30
0.538,0.0005284089808352821,0.49947159121588497,0.5,0.4779439216365632,0.09342388397650939,0.020890215529352836,20,30
0.538,0.0005284089808352821,0.49947159121588497,0.6,0.5573458037449356,0.08343820890621816,0.018657350703513216,20,30
0.538,0.0005284089808352821,0.49947159121588497,0.7,0.6279252545079332,0.08706879835466816,0.019469175184025984,20,30
0.538,0.0005284089808352821,0.49947159121588497,0.8,0.7293832149797421,0.0665155772936164,0.014873335239116775,20,30
0.538,0.0005284089808352821,0.49947159121588497,0.9,0.7940810448458234,0.06471189919969664,0.01447002055636359,20,30
0.7,0.6192747201430804,0.07747930930668023,0.1,0.28589349212078674,0.02430013869538985,0.005433676198556475,20,30
0.7,0.6192747201430804,0.07747930930668023,0.2,0.3378523936144871,0.037884961823121004,0.008471334996148293,20,30
0.7,0.6192747201430804,0.07747930930668023,0.3,0.39160298136659083,0.043684591605105585,0.009768171639833274,20,30
0.7,0.6192747201430804,0.07747930930668023,0.4,0.44445772598949274,0.05292701796018071,0.011834841000531632,20,30
0.7,0.6192747201430804,0.07747930930668023,0.5,0.4847706668035706,0.05304659116317611,0.011861578381550142,20,30
0.7,0.6192747201430804,0.07747930930668023,0.6,0.533146195780464,0.0536798167039632,0.012003171916979041,20,30
0.7,0.6192747201430804,0.07747930930668023,0.7,0.5716674503361383,0.05067654012303351,0.011331618857959849,20,30
0.7,0.6192747201430804,0.07747930930668023,0.8,0.6236263518298385,0.04860027739077969,0.010867352397112949,20,30
0.7,0.6192747201430804,0.07747930930668023,0.9,0.684543684615556,0.037717353147635815,0.008433856556947934,20,30
0.9,1.9089422455738994,0.00048263410744723846,0.1,0.4970291758497587,0.0003242411133910805,7.250251706426733e-05,20,30
0.9,1.9089422455738994,0.00048263410744723846,0.2,0.497747923628043,0.000523746802170269,0.00011711334526508558,20,30
0.9,1.9089422455738994,0.00048263410744723846,0.3,0.498442713147051,0.0005578238418264348,0.00012473320297939986,20,30
0.9,1.9089422455738994,0.00048263410744723846,0.4,0.4991375026660589,0.0005837582211967868,0.0001305323065020374,20,30
0.9,1.9089422455738994,0.00048263410744723846,0.5,0.4998562504443432,0.0004492278693131664,0.00010045040531716318,20,30
0.9,1.9089422455738994,0.00048263410744723846,0.6,0.500359373889142,0.00048230728598001697,0.00010784718774947492,20,30
0.9,1.9089422455738994,0.00048263410744723846,0.7,0.501030205148874,0.0005501895290274817,0.00012302611874140428,20,30
0.9,1.9089422455738994,0.00048263410744723846,0.8,0.501701036408606,0.0005379739103759963,0.00012029462337221073,20,30
0.9,1.9089422455738994,0.00048263410744723846,0.9,0.5025036380943566,0.00030577979610761223,6.837444102426465e-05,20,30
