kappa,label_dominance_nats,content_weight,rank_correlation,slope,identifiable_fraction,reading_statistical_only,reading,spread_of_beliefs_across_true_honesty
0.2,-1.108768934698867,0.9882847069988014,1.0,0.8569172057980066,1.0,measurable across the range,measurable across the range,0.6885523615370558
0.4,-0.45336208212176854,0.8597781197249652,1.0,0.8656553911028118,1.0,measurable across the range,measurable across the range,0.6898433075018239
0.538,0.0005284089808352821,0.49947159121588497,1.0,0.7918132132473794,1.0,measurable across the range,measurable across the range,0.639626272539666
0.7,0.6192747201430804,0.07747930930668023,1.0,0.48345667539253295,1.0,measurable across the range,measurable across the range,0.3986501924947693
0.9,1.9089422455738994,0.00048263410744723846,1.0,0.00669234042446811,1.0,measurable across the range,statistically separable but flat: it tracks almost none of the true variation,0.005474462244597911
