reader,corpus,seed,human_model_corrupted,ghost_column_error,genuine_retained,value_drift,mean_gate
no_filter,clean,0,0.1103660346853983,4.795022601901361,1.1591510311241884,0.15480626226180622,1.0
no_filter,clean,1,0.11194056142557929,4.795022605036828,1.0708375161964228,0.1369023144035108,1.0
no_filter,clean,2,0.17001638997554236,4.795022601904103,0.932710685030251,0.0015790429729810908,1.0
surface_filter,clean,0,0.3048032878417142,4.7950226019048285,1.2047490662521603,0.047474248185819704,0.85
surface_filter,clean,1,0.14531933682534812,4.795022605036796,1.0211565762731314,0.10587289695335717,0.875
surface_filter,clean,2,0.22584354761474323,4.795022601911455,0.9808085932726842,0.0010207358296247006,0.925
label_filter,clean,0,0.1103660346853983,4.795022601901361,1.1591510311241884,0.15480626226180622,1.0
label_filter,clean,1,0.11194056142557929,4.795022605036828,1.0708375161964228,0.1369023144035108,1.0
label_filter,clean,2,0.17001638997554236,4.795022601904103,0.932710685030251,0.0015790429729810908,1.0
intent_reconstructibility,clean,0,0.11035597750176163,4.795022601901358,1.1592661775924482,0.15482890298945565,0.9998827642878467
intent_reconstructibility,clean,1,0.11198670730408739,4.795022605026276,1.0707850816975513,0.13690389348374632,0.999908785089812
intent_reconstructibility,clean,2,0.1699826730176807,4.795022601904112,0.933119167443316,0.0015683824739191922,0.9990864532567002
intent_handset_values,clean,0,0.1089925903112263,4.7950226019017865,1.1573689135525722,0.14045889262426128,0.9308862827859035
intent_handset_values,clean,1,0.11067141375632354,4.795022602577075,1.0698338272836079,0.13729023140732577,0.9308711891008322
intent_handset_values,clean,2,0.16821628539334166,4.795022601911906,0.9320860025858236,0.0015895113251073907,0.930845554306182
intent_learned_values,clean,0,0.10928966003951393,4.795022601901987,1.157331117159561,0.1524682545979536,0.9464640375650827
intent_learned_values,clean,1,0.11197475104118407,4.79502260395981,1.069625741057601,0.13676276152992375,0.9738626580625553
intent_learned_values,clean,2,0.16892126127316104,4.795022601915752,0.9383459992091666,0.09555584117388348,0.9234790831316833
intent_plus_rider,clean,0,0.9058310827625984,4.7950210198586,0.16811602311399365,0.01846600352494515,0.8182764727685878
intent_plus_rider,clean,1,0.9404916846699409,4.795006356136495,0.14807211972679546,0.29668918744196215,0.8091527693336662
intent_plus_rider,clean,2,0.9563790990672358,4.795022561425844,0.1247223113193577,0.02664907224960944,0.8101669239961378
no_filter,empty,0,0.1521488146363456,0.1029020336275411,1.1532611136533448,0.1469935331806889,1.0
no_filter,empty,1,0.10691353748012383,0.16920457279799767,1.1457119517619134,0.1542179443569402,1.0
no_filter,empty,2,0.19720126121529025,0.14911953485351306,1.032936363780231,0.1393687822976683,1.0
surface_filter,empty,0,0.15707964778133887,4.795022599631727,1.1502422288696479,0.15250088180295926,0.625
surface_filter,empty,1,0.13674168127816216,4.795022601901858,1.1618223738145907,0.16112074299345527,0.6
surface_filter,empty,2,0.23912344624959636,4.795022601898025,1.0000752521488778,0.1262274891677866,0.6
label_filter,empty,0,0.1521488146363456,0.1029020336275411,1.1532611136533448,0.1469935331806889,1.0
label_filter,empty,1,0.10691353748012383,0.16920457279799767,1.1457119517619134,0.1542179443569402,1.0
label_filter,empty,2,0.19720126121529025,0.14911953485351306,1.032936363780231,0.1393687822976683,1.0
intent_reconstructibility,empty,0,0.16649405652764965,3.9743201881170718,1.1441354466167928,0.06045980373826072,0.9752186481417013
intent_reconstructibility,empty,1,0.10663491847066532,3.8835276426563077,1.1455644847205342,0.15751053998815756,0.975141998000467
intent_reconstructibility,empty,2,0.19691653730899408,2.874619733811488,1.0329017561613552,0.12969565698755964,0.9609547946446974
intent_handset_values,empty,0,0.14799958076277855,3.724140408033777,1.1494526370786073,0.11887109363826251,0.9258335548639028
intent_handset_values,empty,1,0.10478831782092897,3.7430844687586475,1.1420996330355662,0.13629822564078736,0.9256773062116952
intent_handset_values,empty,2,0.19199320984456064,1.9460929534739966,1.0300407126105091,0.1395638042765677,0.9005864229400349
intent_learned_values,empty,0,0.1511355367209148,3.52507501526155,1.1519784609106014,0.14099376108932568,0.9570009738812171
intent_learned_values,empty,1,0.10687978735596218,3.4874738456809586,1.143489940453974,0.1458578814268304,0.8984474735169583
intent_learned_values,empty,2,0.19625362200570423,1.7680549347369632,1.0327504122914326,0.13854869356451094,0.9207767298395643
intent_plus_rider,empty,0,0.8434005634397769,0.09178493764384149,0.17825309435236544,0.0744364330764046,0.6446765433224811
intent_plus_rider,empty,1,0.8453420355003829,0.05574628543873399,0.17831600731909844,0.05392951029934648,0.6243886365743081
intent_plus_rider,empty,2,0.855555381760166,0.08660971909096035,0.1593435228918344,0.06962688204238243,0.5732253593593017
no_filter,disguised,0,0.8001475630885578,4.795022653846181,0.8499525174006232,0.05666171998768266,1.0
no_filter,disguised,1,0.799775296038921,4.795022601723055,0.8471837788142877,0.023198726004008213,1.0
no_filter,disguised,2,0.8806212036720398,4.795022647048549,0.8205666240267435,0.013157259053795403,1.0
surface_filter,disguised,0,0.752083797107701,4.795022581706878,0.8674642936455618,0.0006336293924925247,0.8
surface_filter,disguised,1,0.7662213133631848,4.795022600898485,0.8610218310246279,0.005723157036906672,0.825
surface_filter,disguised,2,0.9595927533456893,4.795022602297196,0.8010979784445064,0.009938861935776491,0.85
label_filter,disguised,0,0.8001475630885578,4.795022653846181,0.8499525174006232,0.05666171998768266,1.0
label_filter,disguised,1,0.799775296038921,4.795022601723055,0.8471837788142877,0.023198726004008213,1.0
label_filter,disguised,2,0.8806212036720398,4.795022647048549,0.8205666240267435,0.013157259053795403,1.0
intent_reconstructibility,disguised,0,0.5826146618108277,4.795022600363625,1.020703370672863,0.04132956030063745,0.8455284521942092
intent_reconstructibility,disguised,1,0.5390660755723473,4.795022601945903,1.024243125238649,0.0010401781283442268,0.8960349470360602
intent_reconstructibility,disguised,2,0.7785232673348079,4.795022599854112,0.9566444072468044,0.0008681657214618041,0.8964098457135726
intent_handset_values,disguised,0,0.7514954421852149,4.795022601447766,0.9978037557403683,0.11740624229725385,0.8037423614688131
intent_handset_values,disguised,1,0.5561311855919904,4.795022601935205,1.0685864289617268,0.00244118638123067,0.8080324890713152
intent_handset_values,disguised,2,0.7746768953553089,4.7950226016277835,0.9503680019037591,9.088055292344813e-05,0.8229731201781659
intent_learned_values,disguised,0,0.608454935755383,4.795022601094544,0.9651376087562444,0.08335865245213925,0.8361844121235867
intent_learned_values,disguised,1,0.5240413634404936,4.795022601949684,1.007793716374606,0.000297093098977708,0.8748806169175211
intent_learned_values,disguised,2,0.6323410235634355,4.795022601887581,0.9381850397996271,0.022317372559370427,0.7975024721653627
intent_plus_rider,disguised,0,0.8076779113657712,4.795021149337678,0.14841567413550052,0.04736495827780013,0.6624004997641739
intent_plus_rider,disguised,1,0.8912537743521911,4.79502068973803,0.15246697248878593,0.035778763816633516,0.770577513357436
intent_plus_rider,disguised,2,0.8685477105456464,4.795022440581983,0.15931085723904992,0.040868690931831375,0.7221506923069587
no_filter,mimic,0,0.11078884789095628,4.795022600968577,1.1401930993768792,0.13466653480362498,1.0
no_filter,mimic,1,0.10813297523359065,4.7950226015440975,1.0818886328515855,0.2410580229767511,1.0
no_filter,mimic,2,0.09779198492383351,4.795022601860046,1.0044155743212095,0.16242104090165402,1.0
surface_filter,mimic,0,0.10780128091788314,4.795022600967846,1.1325169650444036,0.13360059628250445,0.95
surface_filter,mimic,1,0.1320084785885823,4.795022601548374,1.1348338182295523,0.2510156794133058,0.9
surface_filter,mimic,2,0.12076741541123574,4.795022601862083,0.9799288695661796,0.15866891632450386,0.925
label_filter,mimic,0,0.11078884789095628,4.795022600968577,1.1401930993768792,0.13466653480362498,1.0
label_filter,mimic,1,0.10813297523359065,4.7950226015440975,1.0818886328515855,0.2410580229767511,1.0
label_filter,mimic,2,0.09779198492383351,4.795022601860046,1.0044155743212095,0.16242104090165402,1.0
intent_reconstructibility,mimic,0,0.11078848234606063,4.795022600968833,1.1402008067568687,0.13466613349605325,0.9999815004045292
intent_reconstructibility,mimic,1,0.10715865456094104,4.795022601545235,1.0846451528430046,0.24140549336653436,0.997299341777107
intent_reconstructibility,mimic,2,0.09762288205645761,4.795022601864517,1.0056270461067187,0.1623946622299653,0.9963738763113522
intent_handset_values,mimic,0,0.11012536548183657,4.795022601151489,1.1395031781466307,0.13471270515100311,0.9072243037476986
intent_handset_values,mimic,1,0.10713787465380864,4.795022601557445,1.0806161121452833,0.2289990975819297,0.9069856059823577
intent_handset_values,mimic,2,0.09736267928860057,4.7950226018633515,1.003250577331922,0.16349300281207022,0.9069676767186732
intent_learned_values,mimic,0,0.10972389364572903,4.7950226010738906,1.1395945311349531,0.134148630071606,0.951817465379117
intent_learned_values,mimic,1,0.1119796325471242,4.79502260155742,1.0756878710838575,0.2095849859350598,0.8502486043479547
intent_learned_values,mimic,2,0.09653790784928593,4.795022601866775,1.0064641317818874,0.16246264796603962,0.9727671887004533
intent_plus_rider,mimic,0,0.6234113383502591,4.795022598748289,0.2191626029524656,0.04182469757839252,0.8860709653590888
intent_plus_rider,mimic,1,0.6663707066722954,4.7950205780279465,0.19485014485191698,0.08135394205715073,0.8859463905856577
intent_plus_rider,mimic,2,0.6402197236661036,4.795022581204086,0.19083790527585812,0.11262063761752414,0.888160418280585
