kappa,signing_rate,contamination,ghost_col_err,creator_mi,mi_ratio,mi_ratio_sd,ghost_col_entropy,time_to_competence
0.1,0.0,0.3,3.060643421899726,0.9177627443582078,0.8429827220930376,0.07647029143908655,0.9180565810436355,600.0
0.1,0.0,0.6,1.9143859609022165,0.6504008697085056,0.5974057009493946,0.12444908631622777,0.7322114448827404,541.6666666666666
0.1,0.5,0.3,2.106277548153854,0.9955768363405976,0.9144564613352907,0.07252491458939139,0.6774899238547687,600.0
0.1,0.5,0.6,0.7831029331540694,0.9324433269131259,0.8564671193625201,0.08027468290043935,0.3740311913874153,358.3333333333333
0.1,1.0,0.3,1.1057320199550293,1.0342704293772194,0.9499972703146106,0.03271622207395519,0.5215679566711194,425.0
0.1,1.0,0.6,0.40047230254889565,0.9803618876649057,0.9004812385121962,0.06199348707616534,0.31408334728072823,245.83333333333334
0.9,0.0,0.3,3.0996305711393437,0.925515566836855,0.8501038385658188,0.07843792123735104,0.9220946939701536,583.3333333333334
0.9,0.0,0.6,1.7773135808332805,0.6778607616949087,0.622628139577873,0.11790033346341566,0.7069471837843097,525.0
0.9,0.5,0.3,0.8828059938767127,0.985560098250274,0.9052558948557928,0.04259227478176423,0.46067904266281534,391.6666666666667
0.9,0.5,0.6,0.0931227846757003,0.953019298555586,0.8753665448311357,0.05802870667592148,0.23773107934174223,120.83333333333333
0.9,1.0,0.3,0.0414069220111652,1.0325278449792348,0.9483966730487919,0.044145718790924285,0.20739856446546875,100.0
0.9,1.0,0.6,0.03517001164653242,1.0070789488184346,0.9250213727418521,0.06158104314576437,0.20261792022505357,100.0
