arm,contamination,shape_kl,shape_kl_sd,flatness,flatness_sd,creator_mi,ghost_col_err,deep_per_genuine
both,0.0,0.24389808069436214,0.04612409740660743,1.0364580249385895,0.017525616877054482,0.8815813751547892,4.563107095197522,1.8851041666666666
both,0.3,0.3626286261723288,0.038042207649703404,1.0286441411820433,0.02339322426474352,0.7667756266493598,0.17224536690116646,1.9289281735152455
both,0.6,0.5929458051428597,0.10069642635221902,0.9903851791248806,0.01993667535187268,0.5197434201519605,0.11924216897253899,1.7466020263672979
control,0.0,0.14306211714952352,0.012079571030570736,1.0197313057715853,0.015759146812313655,1.007400685369826,4.584270442194584,6.0
control,0.3,0.1442823149212405,0.011731658504981436,1.0144267213541207,0.016988162213027833,1.0229718545361266,0.04084204069311665,6.0
control,0.6,0.16483311834396577,0.025317857016366404,1.0225982016612987,0.022555611365222165,0.9891662365056688,0.031128362693697845,6.0
poisoning_only,0.0,0.14321918171131162,0.01187845455116998,1.0197719287424831,0.016014692969714073,1.0072973939128114,4.584346743676701,6.0
poisoning_only,0.3,0.17130614860866247,0.026144200313819657,1.0252789349758242,0.01694099721916627,0.9663462551911347,0.05419533652441338,6.0
poisoning_only,0.6,0.3545522558187339,0.043346664450478675,1.0031398417531117,0.021563969944135602,0.8470121163385137,0.038666608683110316,6.0
starvation_only,0.0,0.24344385291653045,0.04452531906521386,1.0357240812332844,0.019210550219448484,0.8821621379726597,4.561744483024291,1.8683333333333334
starvation_only,0.3,0.23776971421379148,0.04468567720136563,1.038346428000553,0.020733286008146914,0.87979249548052,0.1180666202032093,1.8832798128655914
starvation_only,0.6,0.2382946335185465,0.06827440888831902,1.016974821344909,0.030801925578118044,0.9337843555168539,0.08818517707455427,1.7928778659123683
