reader_depth,maker_depth,observer,raw_reading,capped_reading,ceiling,gap,process_recovery,goal_correct
1,1,0,1.4345157364909933,1.4345157364909933,1.0,0,-0.016358321263992837,1
1,1,1,1.5815063704602301,1.5815063704602301,1.0,0,-0.03935596567324451,1
1,1,2,1.0605198715923358,1.0605198715923358,1.0,0,-0.0033973918929284252,1
1,1,3,1.4083855160737955,1.4083855160737955,1.0,0,-0.05785736868543845,1
1,1,4,1.3824030709362554,1.3824030709362554,1.0,0,-0.07748008401122952,1
1,1,5,1.451066925129731,1.451066925129731,1.0,0,-0.08176420107889948,1
1,1,6,2.633408389092593,2.633408389092593,1.0,0,-0.009759081722236829,1
1,1,7,1.233111751391359,1.233111751391359,1.0,0,0.09946647595146141,1
1,1,8,1.366281945683798,1.366281945683798,1.0,0,0.00538468798580416,1
1,1,9,1.1671964307911165,1.1671964307911165,1.0,0,0.02294216729066534,1
1,1,10,1.4282521648178044,1.4282521648178044,1.0,0,0.09821052278559383,1
1,1,11,1.3243056809940301,1.3243056809940301,1.0,0,-0.20100986089020823,1
1,1,12,1.3017562478352598,1.3017562478352598,1.0,0,0.0014762644159587168,1
1,1,13,1.4416084310715829,1.4416084310715829,1.0,0,-0.1527824233356152,1
1,1,14,1.930635598173264,1.930635598173264,1.0,0,0.01839713147422284,1
1,1,15,1.519783879979485,1.519783879979485,1.0,0,-0.20224431767961404,1
1,1,16,1.2443460984320096,1.2443460984320096,1.0,0,-0.12517708220306045,1
1,1,17,1.5052474445561053,1.5052474445561053,1.0,0,-0.06450249495377891,1
1,1,18,1.3029215940449548,1.3029215940449548,1.0,0,-0.011372319643579765,1
1,1,19,2.017941951324644,2.017941951324644,1.0,0,-0.18915157216367007,1
1,1,20,1.3981773997038,1.3981773997038,1.0,0,0.10293226644693476,1
1,1,21,1.65554748732772,1.65554748732772,1.0,0,-0.022845944757925896,1
1,1,22,1.1613627964225837,1.1613627964225837,1.0,0,-0.01731456456412972,1
1,1,23,1.0311651708879643,1.0311651708879643,1.0,0,0.02900047180871712,1
1,2,0,2.3283799476361464,1.0,0.5,1,0.29612410301009495,1
1,2,1,2.3815061444282604,1.0,0.5,1,0.11468344658684249,1
1,2,2,2.4728949945530365,1.0,0.5,1,0.17108151456460385,1
1,2,3,2.493181469852529,1.0,0.5,1,0.22542440601863012,1
1,2,4,1.9829193926054638,1.0,0.5,1,0.035191520858011804,1
1,2,5,2.4963128979612867,1.0,0.5,1,-0.023918185556320637,1
1,2,6,2.4837641369002474,1.0,0.5,1,0.04736292138340037,1
1,2,7,2.444088070716794,1.0,0.5,1,0.0676714265154017,1
1,2,8,2.267602585934534,1.0,0.5,1,0.39603660846703914,1
1,2,9,2.49422437993414,1.0,0.5,1,0.18490239829282862,1
1,2,10,2.5284682754446606,1.0,0.5,1,0.13816079130815884,1
1,2,11,2.539055319707807,1.0,0.5,1,0.19040837304023128,1
1,2,12,1.8938827615017753,1.0,0.5,1,0.07074055895394604,1
1,2,13,2.502961012452394,1.0,0.5,1,0.42281758884542964,1
1,2,14,2.493869103672662,1.0,0.5,1,0.19773045990509575,1
