stance,reader,drift,signed_uptake
sympathetic,0,0.37744721511496504,0.9513187029812298
sympathetic,1,0.07594257237900545,0.9218606402045038
sympathetic,2,0.17582933580301408,0.9338431267535418
sympathetic,3,0.06600407258594068,0.9231094990853126
sympathetic,4,0.30702066881452417,0.915249017605891
sympathetic,5,0.05854743241252612,0.9698111229902869
sympathetic,6,0.49308589845893114,0.762893548945292
sympathetic,7,0.1863517998735069,1.0393036143596677
sympathetic,8,0.31154588171372305,0.8119153279211598
sympathetic,9,0.1394172991905308,0.9968154347726852
sympathetic,10,0.051704318635174565,0.9795808710385707
sympathetic,11,0.3040293050387383,0.842639491126833
sympathetic,12,0.3668054369526469,0.8783532885250878
sympathetic,13,0.18059984133674312,0.858692735874321
sympathetic,14,0.3107079446238211,0.9406278809430437
sympathetic,15,0.3125732316556818,0.9118427849165626
sympathetic,16,0.21414319665549103,0.8847950963197653
sympathetic,17,0.016780987669648903,0.9232468123486409
sympathetic,18,0.5929752057896307,0.687907291229142
sympathetic,19,0.5284932124782336,0.8351237184255639
sympathetic,20,0.21181750323833692,0.9765532709893139
sympathetic,21,0.33750467030554426,0.9912361983582236
sympathetic,22,0.29650664229285195,0.9422825654384168
sympathetic,23,0.501867177038173,0.8881001688115449
adversarial,0,0.35798028599622844,0.8884274495501671
adversarial,1,0.05544370259822053,0.8765701972628629
adversarial,2,0.15612138033674378,0.9024641039657852
adversarial,3,0.049277157078049943,0.8665063505158372
adversarial,4,0.3084709061891928,0.8409227561191406
adversarial,5,0.0433393464504835,0.9150347508522876
adversarial,6,0.4835371053877324,0.7219173107314093
adversarial,7,0.17840538001187778,0.9705879568280331
adversarial,8,0.2769294445236079,0.7506561148827506
adversarial,9,0.12992811058408157,0.9262276282005248
adversarial,10,0.03563833970374575,0.9117561227357488
adversarial,11,0.27505662893847477,0.7897462618273607
adversarial,12,0.35278077136959446,0.8156005754349764
adversarial,13,0.19067096484537419,0.8367402695584311
adversarial,14,0.2758392631615291,0.9020288503874546
adversarial,15,0.28730169486700374,0.8541380391465176
adversarial,16,0.19814557620893428,0.844729371355686
adversarial,17,0.012427819368697707,0.9103561380223625
adversarial,18,0.5699318215513649,0.7054296662857542
adversarial,19,0.5178078234956719,0.7876850341226003
adversarial,20,0.2107745916434365,0.9433508780476341
adversarial,21,0.3282730806432105,0.9584452649819006
adversarial,22,0.26679073682723803,0.8882106537652377
adversarial,23,0.49478966647370626,0.8427429342800896
