label,reader,drift,harm_from_misleading,gain_from_genuine
none,0,0.131225999954027,0.005693728625198513,0.9066152521345818
none,1,0.40201079207108553,0.05617696161005162,0.9649635152640879
none,2,0.18564284945081888,-0.023032153018407053,0.9936495871909085
none,3,0.33617064089522253,0.013267594065154716,0.7427321381855548
none,4,0.29532935575156144,0.304848934342107,0.8520083089410412
none,5,0.2639147079154397,0.08301673545267622,1.126445238570899
none,6,0.3184144265247854,0.13893420250864028,1.0781582809106172
none,7,0.3171537592231829,-0.06269498573910721,1.1919047303388317
none,8,0.26101176517617275,0.026551816580921983,0.700222700449423
none,9,0.12797131869110626,0.09941906063549476,1.0234743482394193
none,10,0.2716904845949139,0.05196587130828781,0.8089054050645799
none,11,0.6045302543045645,0.10449744626345789,0.6922728932469671
none,12,0.306656976847073,0.16797096661292005,1.0324948863071417
none,13,0.320340971936771,-0.17168649177992118,0.6384255168553233
none,14,0.3304276716277167,-0.15431581336338546,0.8641363880119329
none,15,0.058748302338286845,0.0476245573803635,0.9495820996477272
none,16,0.2509358302553446,-0.054142447303903246,0.8787048193428659
none,17,0.05070003160827819,-0.1856255548995157,0.8220506422204172
none,18,0.0978453499874342,-0.2673672048324858,0.9626342937749461
none,19,0.08407830995201795,-0.06987467006232223,1.0902345119945587
none,20,0.16777299169447643,-0.3097164309315118,1.1698788618740583
none,21,0.3033517535762408,0.186146724331542,0.9553002874431944
none,22,0.2303197934098612,-0.00881464143252765,1.0381641008704259
none,23,0.10577803481527084,-0.2575680629192773,1.0561753255013195
do_not_read,0,0.2559117153907998,-0.03992397986768165,0.7767108043251323
do_not_read,1,0.2796421410266605,0.01045757910031661,0.8658856572570357
do_not_read,2,0.2589689754049835,-0.013125473076582933,1.0352936844950713
do_not_read,3,0.4268663624221516,-0.046182633162213715,0.7569657431527166
do_not_read,4,0.2466095437846661,0.0634915889083837,0.9928719590566347
do_not_read,5,0.13664688790392315,0.02911297440654466,1.247068552422729
do_not_read,6,0.27309058790039603,0.02305181709131293,1.0208735137253577
do_not_read,7,0.35972784206145625,-0.017407856758516874,1.1950374867579399
do_not_read,8,0.4524199042777633,-0.016010121198881483,0.6930538924745085
do_not_read,9,0.05847491357278565,-0.03413827544132331,1.0105284964201626
do_not_read,10,0.4107097069652855,0.03309223618854833,0.8153599470599847
do_not_read,11,0.585758786650092,0.024481188742846022,0.7839681007519733
do_not_read,12,0.23351176049864042,0.045372880341145005,0.9802721380794467
do_not_read,13,0.27008972005965115,0.002853472384301281,0.8516710836346142
do_not_read,14,0.3095385903092578,-0.11834538521196072,0.7783410846618961
do_not_read,15,0.12160718588280633,-0.05368188157020298,1.078785287328341
do_not_read,16,0.2945470631288618,-0.036810717507452795,0.8736778934232643
do_not_read,17,0.08512455003592008,0.039791575981211885,0.8750532611267027
do_not_read,18,0.23851471092579057,-0.03340919584258953,0.7879051313959392
do_not_read,19,0.04578153849942945,-0.01069251230930851,1.0042270601141734
do_not_read,20,0.14742443426862648,-0.12476015320531096,1.0899703423915832
do_not_read,21,0.4388548743668622,0.03247315990409844,0.8710149981466668
do_not_read,22,0.3464838716088776,-0.03715706207140784,0.9017528186189941
do_not_read,23,0.2680930821093368,-0.11922088011772919,0.9692506761631485
read_differently,0,0.13390319679025403,0.024647593941119816,0.9107110556378136
read_differently,1,0.40164182638544343,0.06614674061156237,0.9596929646701109
read_differently,2,0.1737929248029959,-0.07238779901936776,1.0067496957196385
read_differently,3,0.33263936368059005,0.007012332662426839,0.7397659394395444
read_differently,4,0.2668607441660002,0.24512235256969944,0.9370061684359594
read_differently,5,0.21727811814126413,0.07271742257123016,1.2141301205030297
read_differently,6,0.3291288430619643,0.10729490758025464,1.0555250477640041
read_differently,7,0.35044412439604816,-0.12394156127700433,1.1869911439065306
read_differently,8,0.2654731058694847,0.0165275932852893,0.6980982957497632
read_differently,9,0.12403881576116316,0.07793390554176924,1.003543233433528
read_differently,10,0.3240546065343263,0.04633075943598222,0.7966663593423754
read_differently,11,0.6593140132055049,0.12217287141198067,0.6858662388833849
read_differently,12,0.32192689553816844,0.13625547140352426,0.9935598261035723
read_differently,13,0.3223205817243879,-0.1600400443681331,0.6528669905328248
read_differently,14,0.35606521158391113,-0.1387561522275081,0.8381013313370917
read_differently,15,0.04854356379515414,0.08270318730376253,1.0156143273345775
read_differently,16,0.2805462517012347,-0.032719011468071074,0.852338431965871
read_differently,17,0.05758840607472704,-0.12481003406390606,0.8213458886019721
read_differently,18,0.11744842009786102,-0.23796769504042473,0.923000719628208
read_differently,19,0.07198412496695436,-0.043202071181810256,1.0555232909400423
read_differently,20,0.18250006122637374,-0.28116605722572985,1.0964704451781713
read_differently,21,0.2745291761751034,0.1424029849834363,0.9807066071683538
read_differently,22,0.2512246962393023,-0.03230815037480546,1.0148428621091725
read_differently,23,0.11526063005428762,-0.2461084433950423,1.1034281122519678
