leak,detection,defector_payoff,honest_payoff,honesty_pays
0.0,0.0,0.44242293579337416,0.008248151895970971,False
0.0,0.1,0.3035340469044852,0.008248151895970971,False
0.0,0.25,-0.07146595309551486,0.008248151895970971,True
0.0,0.5,-0.7520215086510705,0.008248151895970971,True
0.0,0.75,-1.168688175317737,0.008248151895970971,True
0.0,1.0,-1.557577064206626,0.008248151895970971,True
0.1,0.0,0.4430597031296841,0.017579775479023407,False
0.1,0.1,0.30417081424079534,0.017579775479023407,False
0.1,0.25,-0.07082918575920465,0.017579775479023407,True
0.1,0.5,-0.7513847413147602,0.017579775479023407,True
0.1,0.75,-1.1680514079814268,0.017579775479023407,True
0.1,1.0,-1.5569402968703159,0.017579775479023407,True
