leak,detection,strategy,maker,quality,was_lying,times_caught,payoff
0.0,0.25,honest,3,1,False,0,0.009807635099441027
0.0,0.25,honest,4,3,False,0,1.4005597231420053
0.0,0.25,honest,5,1,False,0,0.01321975878358319
0.0,0.25,honest,6,3,False,0,1.433842354128877
0.0,0.25,honest,7,1,False,0,0.0069400088439016
0.0,0.25,honest,8,3,False,0,1.3277729996404728
0.0,0.25,honest,9,1,False,0,0.0019569460948726802
0.0,0.25,honest,10,3,False,0,1.409736592911765
0.0,0.25,honest,11,1,False,0,0.013116554902093827
0.0,0.25,honest,12,3,False,0,1.4880453159849543
0.0,0.25,honest,13,1,False,0,0.009501510659122444
0.0,0.25,honest,14,3,False,0,1.3683826301944697
0.0,0.25,honest,15,1,False,0,0.013976540673717288
0.0,0.25,honest,16,3,False,0,1.4206317569223765
0.0,0.25,honest,17,1,False,0,0.0044321405196511305
0.0,0.25,honest,18,3,False,0,1.3710576971800197
0.0,0.25,honest,19,1,False,0,0.004821342047093803
0.0,0.25,honest,20,3,False,0,1.471455711510152
0.0,0.25,honest,21,1,False,0,0.0029612950653943506
0.0,0.25,honest,22,3,False,0,1.4452299358011373
0.0,0.25,honest,23,1,False,0,0.005411108211087533
0.0,0.25,defect,0,3,False,0,1.3499961885937284
0.0,0.25,defect,1,1,True,1,0.4420341146228198
0.0,0.25,defect,2,3,False,0,1.3671674679209567
0.0,0.25,defect,3,1,True,5,-0.3654621593389899
0.0,0.25,defect,4,3,False,0,1.4005597231420053
0.0,0.25,defect,5,1,True,0,0.8637612383784835
0.0,0.25,defect,6,3,False,0,1.433842354128877
0.0,0.25,defect,7,1,True,4,-0.41138201537854063
0.0,0.25,defect,8,3,False,0,1.3277729996404728
0.0,0.25,defect,9,1,True,5,-0.6338120280170391
0.0,0.25,defect,10,3,False,0,1.409736592911765
0.0,0.25,defect,11,1,True,3,0.17940188088637518
0.0,0.25,defect,12,3,False,0,1.4880453159849543
0.0,0.25,defect,13,1,True,2,0.019664965894784576
0.0,0.25,defect,14,3,False,0,1.3683826301944697
0.0,0.25,defect,15,1,True,3,0.19292414383398448
0.0,0.25,defect,16,3,False,0,1.4206317569223765
0.0,0.25,defect,17,1,True,2,-0.009301559219677957
0.0,0.25,defect,18,3,False,0,1.3710576971800197
0.0,0.25,defect,19,1,True,6,-0.5854387277115451
0.0,0.25,defect,20,3,False,0,1.471455711510152
0.0,0.25,defect,21,1,True,2,-0.22467887841141268
0.0,0.25,defect,22,3,False,0,1.4452299358011373
0.0,0.25,defect,23,1,True,4,-0.3253024126854205
0.0,0.5,honest,0,3,False,0,1.3499961885937284
0.0,0.5,honest,1,1,False,0,0.012832981851692798
0.0,0.5,honest,2,3,False,0,1.3671674679209567
0.0,0.5,honest,3,1,False,0,0.009807635099441027
0.0,0.5,honest,4,3,False,0,1.4005597231420053
0.0,0.5,honest,5,1,False,0,0.01321975878358319
0.0,0.5,honest,6,3,False,0,1.433842354128877
0.0,0.5,honest,7,1,False,0,0.0069400088439016
0.0,0.5,honest,8,3,False,0,1.3277729996404728
0.0,0.5,honest,9,1,False,0,0.0019569460948726802
0.0,0.5,honest,10,3,False,0,1.409736592911765
0.0,0.5,honest,11,1,False,0,0.013116554902093827
0.0,0.5,honest,12,3,False,0,1.4880453159849543
0.0,0.5,honest,13,1,False,0,0.009501510659122444
0.0,0.5,honest,14,3,False,0,1.3683826301944697
0.0,0.5,honest,15,1,False,0,0.013976540673717288
0.0,0.5,honest,16,3,False,0,1.4206317569223765
0.0,0.5,honest,17,1,False,0,0.0044321405196511305
0.0,0.5,honest,18,3,False,0,1.3710576971800197
0.0,0.5,honest,19,1,False,0,0.004821342047093803
0.0,0.5,honest,20,3,False,0,1.471455711510152
0.0,0.5,honest,21,1,False,0,0.0029612950653943506
0.0,0.5,honest,22,3,False,0,1.4452299358011373
0.0,0.5,honest,23,1,False,0,0.005411108211087533
0.0,0.5,defect,0,3,False,0,1.3499961885937284
0.0,0.5,defect,1,1,True,7,-0.5579658853771802
0.0,0.5,defect,2,3,False,0,1.3671674679209567
0.0,0.5,defect,3,1,True,8,-0.86546215933899
0.0,0.5,defect,4,3,False,0,1.4005597231420053
0.0,0.5,defect,5,1,True,7,-0.30290542828818307
0.0,0.5,defect,6,3,False,0,1.433842354128877
0.0,0.5,defect,7,1,True,8,-1.0780486820452075
0.0,0.5,defect,8,3,False,0,1.3277729996404728
0.0,0.5,defect,9,1,True,9,-1.3004786946837055
0.0,0.5,defect,10,3,False,0,1.409736592911765
0.0,0.5,defect,11,1,True,7,-0.4872647857802915
0.0,0.5,defect,12,3,False,0,1.4880453159849543
0.0,0.5,defect,13,1,True,8,-0.9803350341052154
0.0,0.5,defect,14,3,False,0,1.3683826301944697
0.0,0.5,defect,15,1,True,6,-0.30707585616601557
0.0,0.5,defect,16,3,False,0,1.4206317569223765
0.0,0.5,defect,17,1,True,5,-0.509301559219678
0.0,0.5,defect,18,3,False,0,1.3710576971800197
0.0,0.5,defect,19,1,True,8,-0.9187720610448785
0.0,0.5,defect,20,3,False,0,1.471455711510152
0.0,0.5,defect,21,1,True,6,-0.8913455450780794
0.0,0.5,defect,22,3,False,0,1.4452299358011373
