experiment,available,cell,n,accuracy,movement_as_committed,movement_unweighted,error_reduction,error_reduction_sd,share_confidently_wrong,movement_of_the_confidently_wrong,error_reduction_of_the_confidently_wrong,trust_factor,why
E2,True,CREATOR / SIG_CREATOR,4000.0,1.0,3.1920605678405654,1.386294290514118,1.3862943558792131,2.088584645510917e-07,0.0,,,2.302585092994046,
E2,True,CREATOR / SIG_GHOST,4000.0,0.9985,2.9792003380855165,1.293850267314842,1.3595944972130403,0.0926440097047934,0.0,,,2.302585092994046,
E2,True,GHOST / SIG_CREATOR,4000.0,0.2385,2.985751268316616,1.2966953001655417,-5.9639811836652985,6.116089462434815,0.7615,1.298230272222093,-8.25988418754971,2.302585092994046,
E2,True,GHOST / SIG_GHOST,4000.0,0.259,0.21563977326991818,0.0936511636099938,-0.09121680434946534,0.429394364487375,0.0005,0.9826954380636257,-2.031993182293712,2.302585092994046,
E17,True,CREATOR / claimed_human,4000.0,1.0,3.1920605678405654,1.386294290514118,1.3862943558792131,2.088584645510917e-07,0.0,,,2.302585092994046,
E17,True,CREATOR / truthful,4000.0,1.0,3.1920584841497193,1.3862933855786816,1.3862942587165155,5.650248661424139e-06,0.0,,,2.302585092994046,
E17,True,CURATOR / claimed_human,4000.0,0.98075,3.1664031006835076,1.3751513941081939,1.293433521894773,0.6862216813126018,0.01925,1.281585143684261,-3.339388816968616,2.302585092994046,
E17,True,CURATOR / truthful,4000.0,0.99175,3.1257795008444242,1.3575087888630342,1.3534969406656934,0.34225787514266176,0.0055,1.1039106490840445,-2.3994777619280274,2.302585092994046,
E17,True,GHOST / claimed_human,4000.0,0.24425,2.986180981426127,1.2968819221978038,-5.834068341085249,6.033010056821886,0.75575,1.2966144650680074,-8.16160937434588,2.302585092994046,
E17,True,GHOST / truthful,4000.0,0.24675,0.2047144375646033,0.08890635060023498,-0.09223405712858201,0.4323800179944304,0.002,0.9561200798518489,-2.1558177578703037,2.302585092994046,
E17,True,POLISHED / claimed_human,4000.0,1.0,3.192055279212472,1.3862919936921203,1.386294102879096,1.0745149113118916e-05,0.0,,,2.302585092994046,
E17,True,POLISHED / truthful,4000.0,1.0,3.1920131681936867,1.3862737051090346,1.3862910809592834,0.00016064558377810626,0.0,,,2.302585092994046,
E19,False,,,,,,,,,,,,"needs real_goal_posterior and true_goal; has ['arm', 'content', 'omega', 'seed_rep', 'observer', 'true_goal', 'explore_mass', 'final_entropy', 'real_goal_entropy', 'modal_real_goal', 'modal_goal_full', 'correct', 'engaged_fraction', 'cum_deep', 'modal_is_explore', 'real_posterior', 'full_posterior']"
