sweep,n_artifacts,m_observers,averaging,seed_rep,generation,kl_payload,creator_col_kl,eff_sample_count,mi_genuine,mean_deep_genuine
N,100,5,True,0,0,0.035545598125853686,0.42468862607893904,50.24413393790894,0.8267871536567604,2.012
N,100,5,True,0,1,0.02549293833802735,0.4800535712543025,51.239310236380085,0.7407796838130187,2.052
N,100,5,True,0,2,0.047673444239252405,0.4808079191131021,53.512832700401546,0.7005930699358924,2.142
N,100,5,True,0,3,0.0338067287782373,0.4753445675878128,54.592292435720175,0.7129694079919819,2.186
N,100,5,True,0,4,0.05352174467130633,0.437530222419846,57.803331850796916,0.7086111381033939,2.314
N,100,5,True,0,5,0.052494420439966286,0.4677666685594031,57.8536074634593,0.6881954577731825,2.3160000000000003
N,100,5,True,0,6,0.1005821812866825,0.5435433619761275,50.19226920852234,0.7284687429352272,2.0100000000000002
N,100,5,True,0,7,0.12554254219282668,0.5230885540136142,52.39579174527413,0.6444381144477243,2.098
N,100,5,True,1,0,0.032788304001423726,0.3757682102183344,47.59923278975886,0.8436454365533711,1.906
N,100,5,True,1,1,0.01305228895514933,0.49107976551332455,53.75629473981836,0.7214226755532631,2.152
N,100,5,True,1,2,0.04306314481365639,0.6324744429212519,53.53601315495047,0.6203386813685325,2.1439999999999997
N,100,5,True,1,3,0.07084069641354526,0.4957354415330751,49.59427409407162,0.6583974531582295,1.986
N,100,5,True,1,4,0.06951283808414127,0.6062728864128438,52.99539057216649,0.6913055140552903,2.122
N,100,5,True,1,5,0.03167371899125464,0.5746973839359418,52.489903039710214,0.663099180313548,2.102
N,100,5,True,1,6,0.0469629787654495,0.5105133915262549,56.37779820840778,0.6511960972169806,2.258
N,100,5,True,1,7,0.05474473057644791,0.4731620070052004,56.50900922713403,0.6615314077680362,2.2619999999999996
N,100,5,True,2,0,0.042822371452787805,0.15490466195849856,42.49301854409162,0.938882291691978,1.702
N,100,5,True,2,1,0.09538945824698535,0.4352235070191902,45.99980848402023,0.8625491396306849,1.8419999999999999
N,100,5,True,2,2,0.06673474170810376,0.4057163842128953,43.85013524764041,0.8188066292140409,1.7559999999999998
N,100,5,True,2,3,0.07519263584637878,0.6000541745527846,46.20128825571972,0.7829840715470143,1.85
N,100,5,True,2,4,0.052493264267921676,0.4384165422661316,46.69401934997833,0.8378675379373582,1.8699999999999999
N,100,5,True,2,5,0.07379206004207146,0.6718843073675667,51.09943979819724,0.6686873948665977,2.046
N,100,5,True,2,6,0.028068680554036357,0.6138609139586478,57.79146633077612,0.6010110126065623,2.3139999999999996
N,100,5,True,2,7,0.05573751020984155,0.6058219854466369,52.68757789475685,0.5974762835900443,2.1100000000000003
N,100,5,False,0,0,0.035545598125853686,0.5487714804571397,50.24413393790894,0.8267871536567604,2.012
N,100,5,False,0,1,0.02820318631382024,0.6335416473592005,50.19418759786081,0.7093679633970946,2.01
N,100,5,False,0,2,0.019620160587514347,0.37822602502648095,49.66302104121998,0.7710935558452352,1.988
N,100,5,False,0,3,0.03605238939770081,0.2858869864253832,49.647858564523084,0.7695807370860661,1.988
N,100,5,False,0,4,0.06223279600524799,0.5364426055147876,51.29843152357828,0.8127218988241776,2.054
