arm,true_mu,delta,n,recovered_mu,recovered_mu_sd,mu_posterior_entropy,subgoal_entropy,accuracy,psi_analogue,psi_analogue_sd,psi_structure,psi_structure_sd,final_entropy,engaged_fraction,cum_deep,between_observer
free,1,1.0,4000,1.801567755234111,0.25762651889925137,0.9985646611449712,1.3815060234986793,1.0,3.233713219436483,0.44525940879492043,3.2447393069270047,0.4484640582943157,0.0040126667183098055,0.022821428571428572,10.3195,0.0
free,2,1.0,4000,2.120676337923153,0.29995350205601146,0.9689867414227772,1.3413940413393848,1.0,3.2277765390464843,0.44553279623015785,3.3311644248578767,0.49299033001749815,0.0021527909472517405,0.16521428571428573,12.313,0.0
free,3,0.0,4000,2.0,0.0,1.0986122886681096,1.3862943611198908,1.0,3.233451299509728,0.43872081722030765,3.2334512994810076,0.4387208172151838,0.0033003392290639525,1.7857142857142855e-05,10.00025,0.0
free,3,0.25,4000,2.0016899956318395,0.03534810848222532,1.0973775322148211,1.3862272478010838,1.0,3.243345613167953,0.440973783309901,3.243500253035676,0.44098133363499753,0.0032800881729830706,1.7857142857142855e-05,10.00025,0.0
free,3,0.5,4000,2.02028082303456,0.12193828335852398,1.0829109173809648,1.3858226107925666,1.0,3.2259913034176444,0.444765642786064,3.227077859538808,0.44480363564919445,0.003243129230858318,0.0,10.0,0.0
free,3,0.75,4000,2.06752989941488,0.2163297512365935,1.0401168785255965,1.3852611067019835,0.99975,3.2229457524299563,0.44610876612531614,3.225325763159513,0.4461812813541075,0.0031119663839411908,0.0,10.0,0.0015739532973583375
free,3,1.0,4000,2.1020007256184496,0.28944506650335194,0.9760262409955095,1.3482600214665807,1.0,3.2380130226830626,0.44269272560445977,3.3255914886283042,0.48207720550209504,0.0018341742499745968,0.1400357142857143,11.9605,0.0
sustained,1,1.0,4000,1.5560771478638085,0.36328502827995907,0.7818568603228735,1.3547876315453027,1.0,3.2348741716526894,0.441504766075969,3.307421097629551,0.45851541609990293,5.751069161283121e-08,,24.0,0.0
sustained,2,1.0,4000,2.266692186927212,0.3176538373215157,0.8524788615941834,1.191284429664681,1.0,3.234945873284042,0.4436515351194212,3.6839728354666015,0.5991988756856679,3.162557527218625e-08,,24.0,0.0
sustained,3,0.0,4000,2.0,0.0,1.0986122886681096,1.3862943611198908,1.0,3.23802896884807,0.4371080846853473,3.238028968819387,0.4371080846801789,8.083534113325999e-07,,24.0,0.0
sustained,3,0.25,4000,2.001854843563358,0.05860523143177659,1.0951582211530426,1.3809607852749382,1.0,3.2388702884692666,0.4431821155376103,3.2511513007157165,0.44399195088276167,1.01445368548268e-07,,24.0,0.0
sustained,3,0.5,4000,2.0955677334045415,0.20189581653479563,1.043894805591487,1.3430028443110604,1.0,3.2278444890001325,0.44447989742023397,3.3275268904215523,0.4636494325267124,2.7414353219358574e-08,,24.0,0.0
sustained,3,0.75,4000,2.163829135593865,0.3039516031090199,0.9610171561034079,1.2849630857678265,1.0,3.231079272568234,0.4388288506935536,3.4644031693353896,0.5215210952142727,3.9704769845525256e-07,,24.0,0.0
sustained,3,1.0,4000,2.29631873289524,0.33976166004648645,0.8523258867280223,1.2357628009365553,1.0,3.2289853904867867,0.44411359260219707,3.5755971171646186,0.5672101565253558,2.927818361076831e-08,,24.0,0.0
