block,n_train,simulator_accuracy,counter_accuracy,simulator_entropy,counter_entropy
learning_curve,4,0.84,0.5266666666666666,0.6228755914038754,1.2818282268813506
learning_curve,8,0.8666666666666667,0.6866666666666666,0.5975303116193021,1.1199306458791622
learning_curve,16,0.88,0.7333333333333333,0.6123703568722605,0.9615049801298322
learning_curve,32,0.82,0.7533333333333333,0.5789077441700039,0.6874610200486948
learning_curve,64,0.8333333333333334,0.7333333333333333,0.661009896125525,0.5606018594092848
learning_curve,128,0.84,0.7866666666666666,0.599292225628126,0.36963791252285033
learning_curve,256,0.8,0.7933333333333333,0.5562752251864631,0.28309059511605333
learning_curve,512,0.8533333333333334,0.8066666666666666,0.5762130685790875,0.2828836028573889
held_out,4,0.7666666666666667,0.36666666666666664,0.6585818869881951,1.3056352032926104
held_out,8,0.8333333333333334,0.47333333333333333,0.6069015803209328,1.2604613280137675
held_out,16,0.84,0.4533333333333333,0.5971026793299808,1.1250359085625021
held_out,32,0.84,0.3933333333333333,0.5826992565293453,0.9948004330613257
held_out,64,0.8,0.46,0.656111595838086,0.8854822882961696
held_out,128,0.8133333333333334,0.5733333333333334,0.663896468884329,0.8192409492276397
held_out,256,0.8466666666666667,0.5066666666666667,0.5943369104591721,0.7715634220123817
held_out,512,0.7866666666666666,0.5333333333333333,0.6268082649617832,0.7621544535646178
