true_provenance,alpha,labelling,within,within_sd,between,between_sd,accuracy,fabrication_gap
CREATOR,1.0,claimed_human,2.625344188303196e-07,4.60157217814493e-07,0.0,0.0,1.0,-2.625344188303196e-07
CREATOR,1.0,truthful,1.3184093861445558e-06,5.6599247461405045e-06,0.0,0.0,1.0,-1.3184093861445558e-06
POLISHED,0.95,claimed_human,6.644560639428784e-06,9.583016946460873e-06,0.0,0.0,1.0,-6.644560639428784e-06
POLISHED,0.95,truthful,5.205271928512001e-05,0.00013375334507070188,0.0,0.0,1.0,-5.205271928512001e-05
CURATOR,0.6,claimed_human,0.012178426606219352,0.0028772884220304947,0.11281496552691998,0.05208686193417892,0.9795,0.10063653892070062
CURATOR,0.6,truthful,0.0283670926530735,0.0066754669578318335,0.04305758476758932,0.037195690181306404,0.99275,0.01469049211451582
GHOST,0.05,claimed_human,0.09217880818031776,0.006130090709576036,1.3791079765619239,0.004106694527750662,0.24375,1.2869291683816062
GHOST,0.05,truthful,1.291440989553195,0.009764378925094944,1.3791110943834515,0.006112479344886408,0.257,0.08767010483025639
