process_uptake,goal_uptake,value_uptake,final_gate,mean_gate,process_ungated,goal_ungated,stance,depth,observer,engaged
-0.01546894884631813,0.6345896806779375,6.898507877891532,0.7107668810966895,0.6152758342124018,-0.02622476382609973,1.5988987526162624,sympathetic,1,0,0.5
0.17693100381307061,0.5592027341881496,6.344966957430524,0.7346116556492382,0.6583373608859056,0.23145758680534345,1.4242179544057385,sympathetic,1,1,0.5
0.036820238262613464,0.49895783810244243,6.002230982753916,0.7342568444637665,0.6963918601901993,0.05157334481150544,1.24523003775079,sympathetic,1,2,0.5
0.0927619424989787,0.5530835038754802,6.074836251828295,0.7362753131283529,0.679312273172843,0.12764736950732636,1.5837112308857237,sympathetic,1,3,0.5
-0.0171630011802272,0.6056374399921063,6.420284145780258,0.7362646679892414,0.6963834107981676,-0.02681905096326509,1.596230156907918,sympathetic,1,4,0.5
-0.035266449044997615,0.5087743592753543,5.090737518070693,0.7362318836082526,0.6909856948897977,-0.05376003750294944,1.4609276981252615,sympathetic,1,5,0.75
-0.05992226300668281,0.48764008307288487,4.795579179081259,0.7362996228752633,0.7025932273467552,-0.07990835957761822,1.234169020564489,sympathetic,1,6,0.5
-0.17001394747585025,0.5849684428769354,5.647838259097213,0.7362833454754592,0.6951883017154885,-0.23145333569739024,1.6652634979106862,sympathetic,1,7,0.5
-0.0853830693847975,0.5087001141919347,5.940337232834506,0.7362872116210204,0.6933121127256039,-0.11520261009004784,1.2555962349607113,sympathetic,1,8,0.5
0.009659872673639758,0.4543983306646931,4.485009998430774,0.7363318761520941,0.699360562724753,0.015622452875192705,1.2075663804701873,sympathetic,1,9,0.625
0.05644284431234188,0.5203047159918435,5.153793136665131,0.7251495815079295,0.6280389422973219,0.09515003667743271,1.1483982825881294,sympathetic,1,10,0.5
-0.09655783441009681,0.4620864830530105,5.126553522624859,0.7362947346617621,0.6998811053483638,-0.13543485743347428,1.1164983695165425,sympathetic,1,11,0.5
-0.08827115949102231,0.541042877399923,6.147246637449927,0.7362083348717959,0.6993751025895969,-0.1180481008366494,1.3047375530584435,sympathetic,1,12,0.5625
0.08368686144370048,0.6008350534531324,6.650483411796031,0.7362692410057846,0.6999644053427461,0.1124066199807976,1.5425667662536366,sympathetic,1,13,0.5
-0.017743720861357885,0.6613594033795049,7.931263662110542,0.7345851742851753,0.6690125621013058,-0.05116984471450059,1.3902519176492671,sympathetic,1,14,0.5
-0.017551645717164048,0.5486135521302051,5.473601182850113,0.73621907492632,0.6875622492357668,-0.008630383316931,1.6655648342296894,sympathetic,1,15,0.5
0.004844392525944257,0.46415243850403537,4.675369585713612,0.7362092643486626,0.6842731617337374,0.0026617700266571287,1.3911002714680274,sympathetic,1,16,0.5
0.17489314296613767,0.5067935737115712,5.4233638326369205,0.7363242868564068,0.6930523635836663,0.24738392755407812,1.3767117875307866,sympathetic,1,17,0.5625
0.08109682987490865,0.49014936843524703,5.56285227606217,0.7052176520556899,0.5454969593561891,0.12787143938754997,1.5136936952295232,sympathetic,1,18,0.5
0.029352054805964936,0.5452163792807285,5.484061686990036,0.7330886905612167,0.6631302131246926,0.03886513880616893,1.5913258032900857,sympathetic,1,19,0.5
0.042376482685645915,0.6104103991589351,6.83500940289487,0.7362788524463413,0.6971666738102811,0.056805362894818856,1.5822473864957367,sympathetic,1,20,0.5
-0.02811537501225682,0.6335464887159334,5.950348601013033,0.7358692072057634,0.6150184842788569,-0.024087767864711118,1.6397202017902635,sympathetic,1,21,0.5
-0.17248926324073446,0.3579736158582819,3.160627328769265,0.7223926824298006,0.5345391831108336,-0.2623260396808229,1.058769579954543,sympathetic,1,22,0.5
0.008369940423416516,0.5537375131213473,5.9100872345682625,0.7362687927079801,0.6907193920629766,0.015932573258010008,1.5800154512987978,sympathetic,1,23,0.5
0.1838494954308187,0.41954803810470265,4.361492851209561,0.7363307045848159,0.6951106135190619,0.2447908203072997,1.0892588380946584,sympathetic,1,24,0.75
0.02807978589364763,0.5329078981452031,5.94517097331552,0.7362731496383588,0.6917565268721526,0.03485567264302225,1.4894141648040091,sympathetic,1,25,0.5
-0.03510759164314152,0.3670082563254592,3.707132291606367,0.732208912151845,0.6109826975955893,-0.05209092932783155,1.5544855340541543,sympathetic,1,26,0.5
-0.08940651170043334,0.5703501349151222,6.082136964826594,0.7362485383259568,0.6935679121130617,-0.12203900636146447,1.5780931934485372,sympathetic,1,27,0.5
0.03900953596589963,0.5743816020594508,6.33969186862203,0.7346099078163975,0.6942350906218491,0.05624912796229187,1.4809848321635581,sympathetic,1,28,0.5
-0.07754053350893297,0.45411389760001475,3.2324141529079253,0.736246761970465,0.6764810049102862,-0.11287691302526759,1.656628026564583,sympathetic,1,29,0.5
0.03607878433420404,0.5578768063468285,4.646137772072393,0.734836811720381,0.618909381361934,0.060618356297487574,1.426253414185399,sympathetic,1,30,0.5
-0.03527580348324012,0.4902651042647842,5.7472176647805595,0.7344613030892181,0.6967973138172816,-0.05931718408801445,1.110926580010899,sympathetic,1,31,0.5
0.006257503123011557,0.6494344372953929,5.771955569746192,0.7362529808690621,0.6690689701703154,0.013301500641895503,1.595213147211755,sympathetic,1,32,0.5
0.08100802245748259,0.4521306730309785,4.6410007517726015,0.7362657194922542,0.6933588238643728,0.10514906902316334,1.2171887422658316,sympathetic,1,33,0.5
