content,label,theta,n,recovered_mu,recovered_mu_sd,prior_drift,final_entropy,value_divergence,theta_value,accuracy,confident,fabrication,between_observer
foreign,sig_creator,closed,1200,2.4011230899328826,0.05361806282486159,0.0028227633966679782,0.23326445271083296,2.7491731673602247,0.007989970574400304,0.25916666666666666,0.8558333333333333,0.024166666666666666,0.44886183987881967
foreign,sig_creator,open,1200,2.403325232820771,0.05474129450426031,1.024810891667371,0.08906554456143628,0.2268671926945938,1.0,0.9941666666666666,0.9366666666666666,0.004166666666666667,0.14580942544106157
foreign,sig_ghost,closed,1200,1.5714483832600215,0.0008762773653749846,1.6002457902650032e-05,1.3357633418471635,1.1374089454896072,0.013819191405144954,0.23416666666666666,0.0,0.0,0.9442293064265936
foreign,sig_ghost,open,1200,1.5714088541767433,0.0009605894184596065,0.10555736161888045,1.2060137416555745,0.5990734173248936,1.0,0.9516666666666667,0.0,0.0,0.13710894572021134
foreign,unsigned,closed,1200,1.9837614714011462,0.048946987703771073,0.0017745123684223037,0.6444137465706556,2.170545789711688,0.00991728718157515,0.24416666666666667,0.5458333333333333,0.019166666666666665,0.6469968675058302
foreign,unsigned,open,1200,1.9801845063936359,0.050964032228024696,0.8787047956112385,0.2580518232851624,0.2737526539124106,1.0,0.99,0.8,0.0033333333333333335,0.11106389535170251
human,sig_creator,closed,1200,2.5694614061046552,0.1708350950808801,7.678328039751746e-11,1.4572538246857907e-14,3.135494215906146,3.5734450157303604e-06,0.255,1.0,0.0,0.0
human,sig_creator,open,1200,2.556142902143652,0.1877515372013068,1.1625629620583082,9.071386975074858e-17,0.1397619423740087,1.0,1.0,1.0,0.0,0.0
human,sig_ghost,closed,1200,1.698046901894671,0.06903615644505348,8.286875841671328e-10,0.19542415044882094,2.900798554053664,1.0582226046284941e-05,0.25666666666666665,0.9925,0.0,0.0
human,sig_ghost,open,1200,1.6435952695766571,0.06521828983356402,1.1431085637680136,0.012032838921604097,0.1058286293386407,1.0,1.0,1.0,0.0,0.0
human,unsigned,closed,1200,2.294387952636589,0.21082736352444842,7.707528457109152e-11,7.295505175799262e-09,3.1354942070042107,3.5734451429733616e-06,0.24,1.0,0.0,0.0
human,unsigned,open,1200,2.31943195577912,0.2144796692110338,1.1674996230446717,6.562142313433497e-10,0.1397619286224027,1.0,1.0,1.0,0.0,0.0
