corner,engagement_additive,engagement_multiplicative,information_gain
beautiful_endorsed,0.7077777777777777,0.014175,0.007777777777777777
beautiful_unendorsed,0.3577777777777778,0.0105,0.007777777777777777
plain,0.007777777777777777,0.007777777777777777,0.007777777777777777
ugly_endorsed,0.3577777777777778,0.0105,0.007777777777777777
