block,corner,observer,aesthetic,social,information_gain,engagement_additive,engagement_multiplicative,error_reduction,goal_correct,regime,mu,salience,engagement,process_error_reduction
corners,beautiful_unendorsed,7,1.0,0.0,0.0,0.35,0.0,-0.7557364310926158,0,,,,,
corners,beautiful_unendorsed,8,1.0,0.0,0.0,0.35,0.0,1.1536159718819174,1,,,,,
corners,beautiful_unendorsed,9,1.0,0.0,0.0,0.35,0.0,-0.6105855452120224,0,,,,,
corners,beautiful_unendorsed,10,1.0,0.0,0.0,0.35,0.0,-3.0720450775949013,0,,,,,
corners,beautiful_unendorsed,11,1.0,0.0,0.0,0.35,0.0,1.0739647108291297,1,,,,,
corners,beautiful_unendorsed,12,1.0,0.0,0.0,0.35,0.0,-0.6114786629079074,0,,,,,
corners,beautiful_unendorsed,13,1.0,0.0,0.0,0.35,0.0,-0.2329998514947409,0,,,,,
corners,beautiful_unendorsed,14,1.0,0.0,0.0,0.35,0.0,-0.37358305586252305,0,,,,,
corners,beautiful_unendorsed,15,1.0,0.0,0.0,0.35,0.0,-2.8777584823965006,0,,,,,
corners,beautiful_unendorsed,16,1.0,0.0,0.0,0.35,0.0,-1.2963066964295271,0,,,,,
corners,beautiful_unendorsed,17,1.0,0.0,0.0,0.35,0.0,-1.9832183102632688,0,,,,,
corners,beautiful_unendorsed,18,1.0,0.0,0.0,0.35,0.0,0.1756678570087904,1,,,,,
corners,beautiful_unendorsed,19,1.0,0.0,0.0,0.35,0.0,-0.13512852465297542,0,,,,,
corners,beautiful_unendorsed,20,1.0,0.0,0.0,0.35,0.0,1.5840076063360888,1,,,,,
corners,beautiful_unendorsed,21,1.0,0.0,0.0,0.35,0.0,0.3362090521462151,0,,,,,
corners,beautiful_unendorsed,22,1.0,0.0,0.0,0.35,0.0,-0.26036469453033706,0,,,,,
corners,beautiful_unendorsed,23,1.0,0.0,0.05555555555555555,0.40555555555555556,0.075,-1.7203743009914585,0,,,,,
corners,beautiful_unendorsed,24,1.0,0.0,0.1111111111111111,0.4611111111111111,0.15,-1.5584710744479062,0,,,,,
corners,beautiful_unendorsed,25,1.0,0.0,0.0,0.35,0.0,-0.3409287187494452,0,,,,,
corners,beautiful_unendorsed,26,1.0,0.0,0.0,0.35,0.0,-0.27348716920520166,0,,,,,
corners,beautiful_unendorsed,27,1.0,0.0,0.0,0.35,0.0,-1.4651265464678314,0,,,,,
corners,beautiful_unendorsed,28,1.0,0.0,0.0,0.35,0.0,-2.15292066864957,0,,,,,
corners,beautiful_unendorsed,29,1.0,0.0,0.0,0.35,0.0,-0.3929287767477705,0,,,,,
corners,beautiful_unendorsed,30,1.0,0.0,0.05555555555555555,0.40555555555555556,0.075,-0.43766794173600543,0,,,,,
corners,beautiful_unendorsed,31,1.0,0.0,0.0,0.35,0.0,-0.270710247124621,0,,,,,
corners,beautiful_unendorsed,32,1.0,0.0,0.0,0.35,0.0,0.4067529422969922,1,,,,,
corners,beautiful_unendorsed,33,1.0,0.0,0.0,0.35,0.0,-0.23110805304733262,0,,,,,
corners,beautiful_unendorsed,34,1.0,0.0,0.0,0.35,0.0,0.9336155344522298,1,,,,,
corners,beautiful_unendorsed,35,1.0,0.0,0.0,0.35,0.0,1.2268970586223895,1,,,,,
corners,beautiful_unendorsed,36,1.0,0.0,0.0,0.35,0.0,0.25041807621655643,0,,,,,
corners,beautiful_unendorsed,37,1.0,0.0,0.0,0.35,0.0,1.0274028214301585,1,,,,,
corners,beautiful_unendorsed,38,1.0,0.0,0.0,0.35,0.0,-2.684201100172948,0,,,,,
corners,beautiful_unendorsed,39,1.0,0.0,0.05555555555555555,0.40555555555555556,0.075,-1.2578288252601628,0,,,,,
corners,beautiful_unendorsed,40,1.0,0.0,0.0,0.35,0.0,1.1456469665594247,1,,,,,
corners,beautiful_unendorsed,41,1.0,0.0,0.0,0.35,0.0,-0.5044573271964794,0,,,,,
corners,beautiful_unendorsed,42,1.0,0.0,0.0,0.35,0.0,0.280717737513136,0,,,,,
corners,beautiful_unendorsed,43,1.0,0.0,0.0,0.35,0.0,0.6226793040899041,1,,,,,
corners,beautiful_unendorsed,44,1.0,0.0,0.0,0.35,0.0,0.21886921290647887,1,,,,,
corners,beautiful_unendorsed,45,1.0,0.0,0.0,0.35,0.0,0.16374396008794623,0,,,,,
corners,beautiful_unendorsed,46,1.0,0.0,0.0,0.35,0.0,1.4683881390302038,1,,,,,
corners,beautiful_unendorsed,47,1.0,0.0,0.0,0.35,0.0,1.4576370801504366,1,,,,,
corners,beautiful_unendorsed,48,1.0,0.0,0.0,0.35,0.0,1.3572260968202707,1,,,,,
corners,beautiful_unendorsed,49,1.0,0.0,0.0,0.35,0.0,0.2180159269061832,1,,,,,
corners,ugly_endorsed,0,0.0,1.0,0.0,0.35,0.0,-2.0164091865823757,0,,,,,
corners,ugly_endorsed,1,0.0,1.0,0.0,0.35,0.0,-2.096629332841852,0,,,,,
corners,ugly_endorsed,2,0.0,1.0,0.05555555555555555,0.40555555555555556,0.075,-2.100713210473475,0,,,,,
corners,ugly_endorsed,3,0.0,1.0,0.0,0.35,0.0,-1.0953591136283545,0,,,,,
corners,ugly_endorsed,4,0.0,1.0,0.05555555555555555,0.40555555555555556,0.075,0.5666345537284405,1,,,,,
corners,ugly_endorsed,5,0.0,1.0,0.0,0.35,0.0,-2.6274313020604367,0,,,,,
corners,ugly_endorsed,6,0.0,1.0,0.0,0.35,0.0,0.8320029476302093,1,,,,,
corners,ugly_endorsed,7,0.0,1.0,0.0,0.35,0.0,-0.7557364310926158,0,,,,,
corners,ugly_endorsed,8,0.0,1.0,0.0,0.35,0.0,1.1536159718819174,1,,,,,
corners,ugly_endorsed,9,0.0,1.0,0.0,0.35,0.0,-0.6105855452120224,0,,,,,
corners,ugly_endorsed,10,0.0,1.0,0.0,0.35,0.0,-3.0720450775949013,0,,,,,
corners,ugly_endorsed,11,0.0,1.0,0.0,0.35,0.0,1.0739647108291297,1,,,,,
corners,ugly_endorsed,12,0.0,1.0,0.0,0.35,0.0,-0.6114786629079074,0,,,,,
corners,ugly_endorsed,13,0.0,1.0,0.0,0.35,0.0,-0.2329998514947409,0,,,,,
corners,ugly_endorsed,14,0.0,1.0,0.0,0.35,0.0,-0.37358305586252305,0,,,,,
corners,ugly_endorsed,15,0.0,1.0,0.0,0.35,0.0,-2.8777584823965006,0,,,,,
corners,ugly_endorsed,16,0.0,1.0,0.0,0.35,0.0,-1.2963066964295271,0,,,,,
corners,ugly_endorsed,17,0.0,1.0,0.0,0.35,0.0,-1.9832183102632688,0,,,,,
corners,ugly_endorsed,18,0.0,1.0,0.0,0.35,0.0,0.1756678570087904,1,,,,,
corners,ugly_endorsed,19,0.0,1.0,0.0,0.35,0.0,-0.13512852465297542,0,,,,,
corners,ugly_endorsed,20,0.0,1.0,0.0,0.35,0.0,1.5840076063360888,1,,,,,
corners,ugly_endorsed,21,0.0,1.0,0.0,0.35,0.0,0.3362090521462151,0,,,,,
corners,ugly_endorsed,22,0.0,1.0,0.0,0.35,0.0,-0.26036469453033706,0,,,,,
corners,ugly_endorsed,23,0.0,1.0,0.05555555555555555,0.40555555555555556,0.075,-1.7203743009914585,0,,,,,
corners,ugly_endorsed,24,0.0,1.0,0.1111111111111111,0.4611111111111111,0.15,-1.5584710744479062,0,,,,,
corners,ugly_endorsed,25,0.0,1.0,0.0,0.35,0.0,-0.3409287187494452,0,,,,,
corners,ugly_endorsed,26,0.0,1.0,0.0,0.35,0.0,-0.27348716920520166,0,,,,,
corners,ugly_endorsed,27,0.0,1.0,0.0,0.35,0.0,-1.4651265464678314,0,,,,,
corners,ugly_endorsed,28,0.0,1.0,0.0,0.35,0.0,-2.15292066864957,0,,,,,
corners,ugly_endorsed,29,0.0,1.0,0.0,0.35,0.0,-0.3929287767477705,0,,,,,
corners,ugly_endorsed,30,0.0,1.0,0.05555555555555555,0.40555555555555556,0.075,-0.43766794173600543,0,,,,,
corners,ugly_endorsed,31,0.0,1.0,0.0,0.35,0.0,-0.270710247124621,0,,,,,
corners,ugly_endorsed,32,0.0,1.0,0.0,0.35,0.0,0.4067529422969922,1,,,,,
corners,ugly_endorsed,33,0.0,1.0,0.0,0.35,0.0,-0.23110805304733262,0,,,,,
corners,ugly_endorsed,34,0.0,1.0,0.0,0.35,0.0,0.9336155344522298,1,,,,,
corners,ugly_endorsed,35,0.0,1.0,0.0,0.35,0.0,1.2268970586223895,1,,,,,
corners,ugly_endorsed,36,0.0,1.0,0.0,0.35,0.0,0.25041807621655643,0,,,,,
corners,ugly_endorsed,37,0.0,1.0,0.0,0.35,0.0,1.0274028214301585,1,,,,,
corners,ugly_endorsed,38,0.0,1.0,0.0,0.35,0.0,-2.684201100172948,0,,,,,
corners,ugly_endorsed,39,0.0,1.0,0.05555555555555555,0.40555555555555556,0.075,-1.2578288252601628,0,,,,,
corners,ugly_endorsed,40,0.0,1.0,0.0,0.35,0.0,1.1456469665594247,1,,,,,
corners,ugly_endorsed,41,0.0,1.0,0.0,0.35,0.0,-0.5044573271964794,0,,,,,
corners,ugly_endorsed,42,0.0,1.0,0.0,0.35,0.0,0.280717737513136,0,,,,,
corners,ugly_endorsed,43,0.0,1.0,0.0,0.35,0.0,0.6226793040899041,1,,,,,
corners,ugly_endorsed,44,0.0,1.0,0.0,0.35,0.0,0.21886921290647887,1,,,,,
