regime,mu,engagement,error_reduction,process_error_reduction,information_gain
decoupled,1.0,0.37,-0.2806608686144155,-0.001951938878587156,0.02
decoupled,2.0,0.4277777777777778,1.409395717905194,0.05823975577032767,0.07777777777777778
decoupled,3.0,0.47,1.38657493337115,0.04644524440885101,0.12
honest,1.0,0.02,-0.2806608686144155,-0.001951938878587156,0.02
honest,2.0,0.25277777777777777,1.409395717905194,0.05823975577032767,0.07777777777777778
honest,3.0,0.47,1.38657493337115,0.04644524440885101,0.12
