arm,seed_rep,generation,kl_payload,creator_col_kl,eff_sample_count,mean_deep_genuine,c_entropy,mi_genuine
free,0,0,0.0568963114092135,0.46666830173345697,490.01337154707096,1.9617999999999998,1.3728285497391797,0.8252955607405322
free,0,1,0.08598013969639404,0.5625400787627312,512.247039771057,2.0504000000000002,1.3659117170146193,0.7371976638032816
free,0,2,0.08254020322395356,0.5312216996764557,567.0566156715319,2.2695999999999996,1.3806097924442633,0.6451295421756892
free,0,3,0.10485639940687191,0.5631257103135102,596.1601338374747,2.3858000000000006,1.3705230848557988,0.5976848225547545
free,0,4,0.09191638707753166,0.6781124531019262,643.5323428278891,2.5754,1.3792313107666703,0.5283450336109217
free,0,5,0.1111848709751318,0.6969650823053415,637.9746069100471,2.553,1.385575962407447,0.5031209042937832
free,1,0,0.06494705112694624,0.43221743359105896,466.5522782760605,1.8679999999999999,1.375123757626946,0.8306722729506
free,1,1,0.08461279696355588,0.4719088697285344,475.2586781220224,1.9026,1.3814042996155074,0.8081192384125078
free,1,2,0.06843058296000028,0.4695498744659919,536.6238829779174,2.1482,1.3790236959473896,0.7847523372200269
free,1,3,0.06252620449174764,0.4947574965802651,529.7691254090325,2.1204,1.3752076862786404,0.7645240363270311
free,1,4,0.056889999304467156,0.528344052872685,528.038693620774,2.1136000000000004,1.3706216205609778,0.7043674230954527
free,1,5,0.11731072884996863,0.6251140017634165,543.3532814229809,2.1746,1.3831223440511353,0.6139960667991253
free,2,0,0.06552256527940399,0.4917398870897758,461.7913785498178,1.8490000000000002,1.370217640491362,0.8586187175219042
free,2,1,0.08141179645924991,0.5290805729657984,469.9501332874153,1.8811999999999998,1.37541012099278,0.8290515540852816
free,2,2,0.06981438535253522,0.5667422400186796,507.37758375647354,2.0308,1.3773041555810652,0.7592798804961947
free,2,3,0.07736534998099909,0.774024233722217,607.4973313867292,2.4314,1.3795070326939542,0.5959907847017416
free,2,4,0.06991179266332645,0.6843600167304481,601.3345808811073,2.4066,1.3784398765713675,0.5498488452931476
free,2,5,0.08905107169494035,0.8141437218625402,590.050889349899,2.3614,1.376160003290792,0.5241306662204648
forced,0,0,0.0015137274452711146,0.03324531821743135,1499.6701898597698,6.0,1.2950537906564672,0.9927134020764141
forced,0,1,0.0020368315643047342,0.11391620683443987,1499.6946290666108,6.0,1.3031360513643147,0.8924725302782625
forced,0,2,0.002822312582657107,0.29001272066484907,1499.7335297619018,6.0,1.308597814706272,0.7852329987806229
forced,0,3,0.003017194048203841,0.5286278019978683,1499.7585773929209,6.0,1.299474378987968,0.7003326758297013
forced,0,4,0.0073250832494639526,0.7103212820104414,1499.7618522426283,6.0,1.3244032527929117,0.6478343393089707
forced,0,5,0.04537508677641171,0.8181151347369131,1499.7855034705246,6.0,1.3679905060909585,0.5893736183746696
forced,1,0,0.005462784047625964,0.15839450979242906,1499.69103834784,6.0,1.3176409500724993,0.8920480359055902
forced,1,1,0.027095996312909723,0.26120049634275105,1499.7092215069804,6.0,1.349671540690813,0.8398946535026599
forced,1,2,0.026343686042991393,0.3433696330978566,1499.718274364833,6.0,1.3530779744846821,0.7995572207804893
forced,1,3,0.029137724085376113,0.4111634407063949,1499.7345151514487,6.0,1.343917597314559,0.7599933954199687
forced,1,4,0.0185144197332653,0.5045266852889212,1499.7463700599285,6.0,1.3353896597208617,0.7253874385915469
forced,1,5,0.025084611811378457,0.6119691524161178,1499.765987796063,6.0,1.3373668480813063,0.6694513712153896
forced,2,0,0.0005737206524599322,0.06266011289364715,1499.6718585945923,6.0,1.268506067940093,0.9515332594269079
forced,2,1,0.02202570123045674,0.26734297249700056,1499.7071769179913,6.0,1.3376706114517294,0.8372237390180901
forced,2,2,0.04600897864086902,0.3709805732379038,1499.718533402156,6.0,1.3605780038939883,0.8089426299307585
forced,2,3,0.04658280442451038,0.45413397420745116,1499.7372605558407,6.0,1.3695325790567228,0.77148620883218
forced,2,4,0.06623366715367356,0.45846891570912296,1499.7467185157072,6.0,1.3764940811564517,0.7245035368574995
forced,2,5,0.0639483509963892,0.5190403137531521,1499.7621286524886,6.0,1.377018513160867,0.6825179453135402
