label,kappa,coupling,values_layer,observer,integration,theta_EC,value_divergence,psi,goal_correct,final_entropy,error_reduction
honest,0.2,0.0,False,0,0.07329007789510845,0.3869353539806874,0.03693535398068741,0.0006040484710686902,1,1.289553979865246,0.30597811747042936
honest,0.2,0.0,True,0,0.0020649029728643,0.8423590594392765,0.49235905943927644,1.7018695019658605e-05,1,1.289553979865246,0.30597811747042936
honest,0.2,1.0,False,0,0.12807149230631215,0.30954828318454997,0.03693535398068741,0.0010555506466486733,1,1.289553979865246,0.30597811747042936
honest,0.2,1.0,True,0,0.00790102398371852,0.6738872475514213,0.49235905943927644,6.511933940188591e-05,1,1.289553979865246,0.30597811747042936
honest,0.2,0.0,False,1,0.045821243813175476,0.3998626498785708,0.0498626498785708,0.0005098313876488537,1,1.3580836188360423,0.14889898650404798
honest,0.2,0.0,True,1,0.00012368015292979316,1.1450607550998817,0.7950607550998818,1.3761307800790802e-06,1,1.3580836188360423,0.14889898650404798
honest,0.2,1.0,False,1,0.08345351871898059,0.31989011990285665,0.0498626498785708,0.0009285479771381371,1,1.3580836188360423,0.14889898650404798
honest,0.2,1.0,True,1,0.0007721256481136065,0.9160486040799054,0.7950607550998818,8.591078239212682e-06,1,1.3580836188360423,0.14889898650404798
honest,0.2,0.0,False,2,0.06983476731341608,0.3750358653032427,0.02503586530324271,0.00039013834499179283,0,1.3150636686210269,-0.053532096076720936
honest,0.2,0.0,True,2,0.015252577071573396,0.5723366718874316,0.22233667188743161,8.520992343050634e-05,0,1.3150636686210269,-0.053532096076720936
honest,0.2,1.0,False,2,0.12034439623197186,0.30002869224259415,0.02503586530324271,0.0006723150284766284,0,1.3150636686210269,-0.053532096076720936
honest,0.2,1.0,True,2,0.037258744072918716,0.45786933750994535,0.22233667188743161,0.00020814939761800753,0,1.3150636686210269,-0.053532096076720936
honest,0.2,0.0,False,3,0.05829219501867864,0.4022790416523028,0.05227904165230285,0.0006800210672801225,0,1.3107403652283711,-0.3573701407147283
honest,0.2,0.0,True,3,0.0010301854302793795,0.9141239059848293,0.5641239059848293,1.2017866123767317e-05,0,1.3107403652283711,-0.3573701407147283
honest,0.2,1.0,False,3,0.10540317661434356,0.32182323332184226,0.05227904165230285,0.0012296051063617319,0,1.3107403652283711,-0.3573701407147283
honest,0.2,1.0,True,3,0.0044323308577991,0.7312991247878635,0.5641239059848293,5.170637955035592e-05,0,1.3107403652283711,-0.3573701407147283
honest,0.2,0.0,False,4,0.04963988608756407,0.3917685639462313,0.041768563946231324,0.0004626628840557855,0,1.3547384549982893,-0.5032072398535428
honest,0.2,0.0,True,4,0.0036284968692167057,0.7246754879169508,0.3746754879169508,3.381899030424568e-05,0,1.3547384549982893,-0.5032072398535428
honest,0.2,1.0,False,4,0.08905595351128594,0.31341485115698503,0.041768563946231324,0.000830035834916869,0,1.3547384549982893,-0.5032072398535428
honest,0.2,1.0,True,4,0.011477521345851605,0.5797403903335606,0.3746754879169508,0.00010697492573444638,0,1.3547384549982893,-0.5032072398535428
honest,0.2,0.0,False,5,0.04905502382774516,0.38444772816198935,0.034447728161989384,0.000377075587962526,1,1.3670477040749838,-0.18670045922933975
honest,0.2,0.0,True,5,0.0001850356979291902,1.0882306204489547,0.7382306204489548,1.4223302558308606e-06,1,1.3670477040749838,-0.18670045922933975
