leak,reader,encounter,rejectable,gate_open,looked,drift_from_start,value_divergence,arm
0.1,0,0,True,0.10084262038022532,0.125,9.060563683062394e-05,0.8660951386331155,skims_it
0.1,0,1,True,0.1,0.16666666666666666,0.0008680320686009603,5.976091209367787,skims_it
0.1,0,2,True,0.10000000000000295,0.125,0.0008059664392528775,4.767640925792622,skims_it
0.1,0,3,True,0.1,0.375,0.0033007971026837966,5.72400229326359,skims_it
0.1,0,4,True,0.11655293050508131,0.08333333333333333,0.0031437131334643223,0.20820998817162573,skims_it
0.1,0,5,True,0.1000000035285427,0.08333333333333333,0.004082946287548808,2.8637932207274277,skims_it
0.1,0,6,True,0.10000003833489203,0.08333333333333333,0.005141101204383491,2.5220494645510354,skims_it
0.1,0,7,True,0.10000000034582932,0.08333333333333333,0.005206092358641529,3.1864612470152758,skims_it
0.1,0,8,True,0.1,0.16666666666666666,0.005933579014500572,5.986699438009843,skims_it
0.1,0,9,True,0.10000000028104056,0.16666666666666666,0.00810140846972527,3.1787331460964876,skims_it
0.1,0,10,True,0.10000001294081043,0.08333333333333333,0.009295363963296312,2.60852452536809,skims_it
0.1,0,11,True,0.1,0.20833333333333334,0.01343994271509924,8.319127420002554,skims_it
0.1,0,12,True,0.10000000000009177,0.125,0.016240557054137073,4.301302161737579,skims_it
0.1,0,13,True,0.10000018016995361,0.08333333333333333,0.016256517640795554,2.299221600860862,skims_it
0.1,0,14,True,0.10000000003951232,0.20833333333333334,0.021350940808347513,3.512900061963254,skims_it
0.1,0,15,True,0.10000003524014514,0.08333333333333333,0.01974948731780049,2.5202432658084444,skims_it
0.1,0,16,True,0.1000000136164617,0.08333333333333333,0.018376309863310986,2.650168120918063,skims_it
0.1,0,17,True,0.10000227522639532,0.08333333333333333,0.020192311950069222,1.9004243371073062,skims_it
0.1,0,18,True,0.1,0.16666666666666666,0.020198122333952406,6.731941266789582,skims_it
0.1,0,19,True,0.1,0.5416666666666666,0.015183948004969243,13.81549901951634,skims_it
0.1,1,0,True,0.1000001598493434,0.08333333333333333,8.078354265990493e-05,2.3102586532888867,skims_it
0.1,1,1,True,0.1000000090571502,0.08333333333333333,0.000316907868121817,2.6596466026065047,skims_it
0.1,1,2,True,0.10000000068645953,0.08333333333333333,0.0007222618975119017,3.0519741295421365,skims_it
0.1,1,3,True,0.10000000032662619,0.16666666666666666,0.0007481755226173645,3.1184623518107593,skims_it
0.1,1,4,True,0.10000000000111063,0.125,0.0005066705066160207,3.9837015534757843,skims_it
0.1,1,5,True,0.10000004650548204,0.08333333333333333,0.0008634898686797655,2.4789788192909223,skims_it
0.1,1,6,True,0.1,0.5416666666666666,0.0052501774285775744,13.815510173408617,skims_it
0.1,1,7,True,0.1000000915121008,0.08333333333333333,0.004814080613901619,2.35202448224449,skims_it
0.1,1,8,True,0.10000000000000095,0.125,0.004496751223439632,4.912748148972697,skims_it
0.1,1,9,True,0.1,0.20833333333333334,0.004716942708230212,7.834169683032238,skims_it
0.1,1,10,True,0.10000000000005177,0.125,0.0046106064448955195,4.393496279737412,skims_it
0.1,1,11,True,0.10000000210042968,0.08333333333333333,0.004753432494341778,2.903282712754612,skims_it
0.1,1,12,True,0.1,0.4166666666666667,0.0004582925149524599,8.367503054924965,skims_it
0.1,1,13,True,0.10000000000000642,0.125,0.00047309334567379943,4.660422875119154,skims_it
0.1,1,14,True,0.1000001571160373,0.08333333333333333,0.0006901477448538734,2.295420555675702,skims_it
0.1,1,15,True,0.10000000000001123,0.20833333333333334,0.0018812856478735741,4.5886680614971125,skims_it
0.1,1,16,True,0.1,0.16666666666666666,0.0011558333317500933,6.147315639320546,skims_it
0.1,1,17,True,0.1,0.16666666666666666,0.0012945068351983315,6.604666670064178,skims_it
0.1,1,18,True,0.1,0.20833333333333334,0.002589664979704545,9.008765800517992,skims_it
0.1,1,19,True,0.1,0.16666666666666666,0.004439309499520393,6.970064406586403,skims_it
0.1,2,0,True,0.1,0.16666666666666666,0.0004094471058272526,6.369138816445545,skims_it
0.1,2,1,True,0.10000075105352871,0.125,0.00038330970746351103,1.9799438374150196,skims_it
0.1,2,2,True,0.1,0.16666666666666666,0.0013982742516802284,6.109120408177259,skims_it
0.1,2,3,True,0.10000001471188578,0.08333333333333333,0.002100724184860878,2.654407388654234,skims_it
0.1,2,4,True,0.1000000000001843,0.125,0.002167753423138368,4.218165889190865,skims_it
0.1,2,5,True,0.10000000000000017,0.20833333333333334,0.004578050885682776,5.141140732187088,skims_it
0.1,2,6,True,0.1,0.16666666666666666,0.007249475025412769,6.461126842950005,skims_it
0.1,2,7,True,0.10000000000226957,0.20833333333333334,0.005885287653541035,3.778875096815685,skims_it
0.1,2,8,True,0.10000041204532469,0.08333333333333333,0.005665952129224482,2.112276011537764,skims_it
0.1,2,9,True,0.10000000000000665,0.125,0.005693667258890843,4.658533248871828,skims_it
0.1,2,10,True,0.10000167659304841,0.08333333333333333,0.006709794839736122,1.9053034230433943,skims_it
0.1,2,11,True,0.10000000479779414,0.08333333333333333,0.00567001353911647,2.7572362409895392,skims_it
0.1,2,12,True,0.10000000000001942,0.125,0.004962205059831335,4.521072159041294,skims_it
0.1,2,13,True,0.10386136019829746,0.08333333333333333,0.00475333679073148,0.588954994213056,skims_it
0.1,2,14,True,0.10000000000027438,0.125,0.004851522093783609,4.159760956380127,skims_it
0.1,2,15,True,0.10000304001732802,0.16666666666666666,0.006644496384341817,1.828767885663682,skims_it
0.1,2,16,True,0.10000005202301009,0.16666666666666666,0.006209144681701436,2.4896476750198255,skims_it
0.1,2,17,True,0.10000000001194653,0.08333333333333333,0.004887623893664112,3.6531485616196937,skims_it
0.1,2,18,True,0.10000000001007678,0.08333333333333333,0.0038104960374878804,3.666097236475987,skims_it
0.1,2,19,True,0.1000000000000001,0.125,0.0038187771427755307,5.203908459851497,skims_it
0.1,3,0,True,0.1,0.16666666666666666,0.0004103087531331642,6.7187166072267,skims_it
0.1,3,1,True,0.10000000000006301,0.125,0.0004281266931097649,4.367036048029137,skims_it
0.1,3,2,True,0.10000000000000002,0.125,0.0003000973549718627,5.514221798742558,skims_it
0.1,3,3,True,0.10000001908309379,0.16666666666666666,0.0007436234430616214,2.6098693155982398,skims_it
0.1,3,4,True,0.10000000011420863,0.08333333333333333,0.0003884652551889812,3.346703292595468,skims_it
0.1,3,5,True,0.1000000038894364,0.08333333333333333,0.0007984060220580808,2.8434297998064935,skims_it
0.1,3,6,True,0.10000016612609954,0.08333333333333333,0.0007168303159402326,2.2569625205869888,skims_it
