leak,reader,encounter,rejectable,gate_open,looked,drift_from_start,value_divergence
0.0,0,0,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.53342188995036
0.0,0,1,True,8.75651076269652e-27,0.375,-3.9999115131275136e-12,13.81548933152376
0.0,0,2,True,4.526118696091111e-23,0.25,-3.9999115131275136e-12,7.072994656144745
0.0,0,3,True,3.767863237678589e-20,0.25,-3.9999115131275136e-12,6.221134909391433
0.0,0,4,True,1.0251002944454504e-18,0.25,-3.9999115131275136e-12,5.805029301298906
0.0,0,5,True,8.75651076269652e-27,0.375,-3.9999115131275136e-12,13.815493351362113
0.0,0,6,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.494224328632734
0.0,0,7,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.611527701227809
0.0,0,8,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.066372190454144
0.0,0,9,True,8.75651076269652e-27,0.375,-3.9999115131275136e-12,13.815487858754425
0.0,0,10,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,8.834298032503161
0.0,0,11,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.330007781497235
0.0,0,12,True,8.75651076269652e-27,0.5833333333333334,-3.9999115131275136e-12,11.84977829910571
0.0,0,13,True,4.8006952703698725e-26,0.3333333333333333,-3.9999115131275136e-12,7.934173194306062
0.0,0,14,True,8.75651076269652e-27,0.4583333333333333,-3.9999115131275136e-12,13.815502793315716
0.0,0,15,True,2.0163472432573676e-07,0.25,-3.997025791670441e-12,2.2890806751710318
0.0,0,16,True,5.4031114151153906e-20,0.25,-3.997025791670441e-12,6.17874874377696
0.0,0,17,True,8.75651076269652e-27,0.5833333333333334,-3.997025791670441e-12,13.815510455145223
0.0,0,18,True,8.75651076269652e-27,0.25,-3.997025791670441e-12,8.983882075504022
0.0,0,19,True,8.75651076269652e-27,0.25,-3.997025791670441e-12,9.871176330534903
0.0,1,0,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,8.808407090318838
0.0,1,1,True,5.058025976095061e-17,0.25,-3.9999115131275136e-12,5.3047350690353205
0.0,1,2,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.195044021645383
0.0,1,3,True,4.339361077545495e-19,0.25,-3.9999115131275136e-12,5.910124284591732
0.0,1,4,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.459308305294776
0.0,1,5,True,8.42839162005084e-19,0.25,-3.9999115131275136e-12,5.827635293814855
0.0,1,6,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,10.007940993387333
0.0,1,7,True,1.425312516628515e-20,0.25,-3.9999115131275136e-12,6.346939244608557
0.0,1,8,True,6.228279279630576e-20,0.25,-3.9999115131275136e-12,6.162353475573988
0.0,1,9,True,2.5229258810245526e-20,0.2916666666666667,-3.9999115131275136e-12,6.276469799976025
0.0,1,10,True,8.75651076269652e-27,0.625,-3.9999115131275136e-12,13.81551036432463
0.0,1,11,True,1.0629789098257247e-20,0.25,-3.9999115131275136e-12,6.383199439185493
0.0,1,12,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.24856789565195
0.0,1,13,True,8.75651076269652e-27,0.375,-3.9999115131275136e-12,13.81549750749833
0.0,1,14,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.247385618531451
0.0,1,15,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.862111406060983
0.0,1,16,True,8.75651076269652e-27,0.375,-3.9999115131275136e-12,13.815509085660121
0.0,1,17,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.156659060964818
0.0,1,18,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.403394826892491
0.0,1,19,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.13259130991599
0.0,2,0,True,8.75651076269652e-27,0.2916666666666667,-3.9999115131275136e-12,11.577190760412964
0.0,2,1,True,6.429745272815304e-15,0.2916666666666667,-3.999967024278745e-12,4.637069592308239
0.0,2,2,True,8.75651076269652e-27,0.25,-3.999967024278745e-12,9.119633939714326
0.0,2,3,True,8.75651076269652e-27,0.2916666666666667,-3.999967024278745e-12,12.435681699612049
0.0,2,4,True,1.1214282918547049e-18,0.25,-3.999967024278745e-12,5.794042499636811
0.0,2,5,True,8.75651076269652e-27,0.5,-3.999967024278745e-12,13.8155105209681
0.0,2,6,True,6.529220076169704e-18,0.25,-3.999967024278745e-12,5.567780954281728
0.0,2,7,True,8.75651076269652e-27,0.625,-3.999967024278745e-12,13.815509628803289
0.0,2,8,True,8.75651076269652e-27,0.6666666666666666,-3.999967024278745e-12,13.81551055794393
0.0,2,9,True,8.75651076269652e-27,0.625,-3.999967024278745e-12,13.815510556770931
0.0,2,10,True,7.80478118386589e-19,0.25,-3.999967024278745e-12,5.836609657514554
0.0,2,11,True,1.2802283068327793e-25,0.25,-3.999967024278745e-12,7.810840585613869
0.0,2,12,True,1.4599598135033142e-18,0.25,-3.999967024278745e-12,5.761156772440523
0.0,2,13,True,8.75651076269652e-27,0.625,-3.999967024278745e-12,13.815510557551782
0.0,2,14,True,8.75651076269652e-27,0.25,-3.999967024278745e-12,8.7261328396489
0.0,2,15,True,8.75651076269652e-27,0.5,-3.999967024278745e-12,13.81551047604865
0.0,2,16,True,8.75651076269652e-27,0.25,-3.999967024278745e-12,9.174623640799535
0.0,2,17,True,8.75651076269652e-27,0.25,-3.999967024278745e-12,9.646548982923298
0.0,2,18,True,8.75651076269652e-27,0.25,-3.999967024278745e-12,9.39988738388385
0.0,2,19,True,5.248169343132097e-18,0.25,-3.999967024278745e-12,5.599124478290388
0.0,3,0,True,8.75651076269652e-27,0.3333333333333333,-3.9999115131275136e-12,13.02865270393042
0.0,3,1,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,10.059393089291762
0.0,3,2,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.092243214607853
0.0,3,3,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.002178510024722
0.0,3,4,True,8.75651076269652e-27,0.2916666666666667,-3.9999115131275136e-12,10.2972303858348
0.0,3,5,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,10.1503696761005
