tier,t,frac_deep,goal_entropy,deep_epi_goal,deep_epi_total,effort_gap
CREATOR,0,1.0,0.30724628034585705,2.0454860567479973,2.4718465915023518,0.4
CREATOR,1,0.54075,0.17578027493209541,0.4017960359230199,0.4142729263137315,0.4
CREATOR,2,0.06475,0.13592262253536677,0.2354099577485015,0.23569809137391803,0.4
CREATOR,3,0.004,0.1322781545581075,0.1712814356831113,0.17129630970916443,0.4
CREATOR,4,0.0,0.1322781364300712,0.16529591771429888,0.16530679554927902,0.4
CREATOR,5,0.0,0.13227813618729195,0.1652959073240867,0.16530675704559003,0.4
CREATOR,6,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,7,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,8,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,9,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,10,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,11,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,12,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,13,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,14,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,15,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,16,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,17,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,18,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,19,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,20,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,21,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,22,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,23,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,24,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,25,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,26,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,27,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,28,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,29,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,30,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,31,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,32,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,33,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,34,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,35,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,36,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,37,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,38,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
CREATOR,39,0.0,0.1322781361859003,0.1652959072667634,0.16530675691986033,0.4
POLISHED,0,1.0,0.42310671427804036,1.8385488110636794,2.2609304715229457,0.4
POLISHED,1,0.66875,0.2230328358075873,0.5062657220380757,0.5181288530963707,0.4
POLISHED,2,0.13425,0.14960804229159072,0.2726432655204642,0.27291724109671817,0.4
POLISHED,3,0.01975,0.13623763898503444,0.16716650688757204,0.16718107729248385,0.4
POLISHED,4,0.0055,0.13430546131898882,0.14758377534372907,0.14759370378581826,0.4
POLISHED,5,0.00125,0.13379360343833582,0.14504713801763183,0.14505703837933417,0.4
POLISHED,6,0.00025,0.13362046129004507,0.14431068956679063,0.14432058969351758,0.4
POLISHED,7,0.0,0.13362046128974794,0.14405942882554068,0.14406932894076377,0.4
POLISHED,8,0.0,0.13362046128974184,0.14405942882529738,0.14406932894033223,0.4
POLISHED,9,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,10,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,11,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,12,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,13,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,14,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,15,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,16,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,17,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,18,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,19,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,20,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,21,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,22,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,23,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,24,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,25,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,26,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,27,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,28,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,29,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,30,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,31,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,32,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,33,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,34,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,35,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,36,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,37,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,38,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
POLISHED,39,0.0,0.1336204612897417,0.14405942882529307,0.14406932894032462,0.4
CURATOR,0,1.0,0.932311075833774,0.9060457172884531,1.3198506180326386,0.4
CURATOR,1,0.69075,0.6798285321263133,0.5806918661385922,0.5917458695740353,0.4
CURATOR,2,0.404,0.5473900003213678,0.4097521800300184,0.41000426002808105,0.4
CURATOR,3,0.272,0.46121042354707026,0.3204751607745261,0.3204886690758141,0.4
CURATOR,4,0.142,0.4130882946055268,0.26296883941503446,0.26297938288457207,0.4
CURATOR,5,0.0685,0.38899720899724705,0.2304273442008772,0.2304378755421499,0.4
CURATOR,6,0.0395,0.37670074059329706,0.2140324745347408,0.21404300567588008,0.4
CURATOR,7,0.02075,0.37006652394502637,0.20582379457546268,0.2058343257132628,0.4
CURATOR,8,0.01125,0.3669570056477534,0.20128670017840972,0.20129723131615251,0.4
CURATOR,9,0.006,0.3647062126197524,0.1991884485121434,0.19919897964988514,0.4
CURATOR,10,0.00325,0.3639607502825398,0.19764416865508427,0.19765469979282596,0.4
CURATOR,11,0.0025,0.3634282895022666,0.19713821780498283,0.19714874894272452,0.4
CURATOR,12,0.00125,0.3628050394254132,0.19678072112883216,0.19679125226657385,0.4
CURATOR,13,0.0005,0.36270536430589617,0.1963545685510764,0.19636509968881813,0.4
CURATOR,14,0.00025,0.36261811307403913,0.1962917695684034,0.1963023007061451,0.4
CURATOR,15,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
CURATOR,16,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
CURATOR,17,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
CURATOR,18,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
CURATOR,19,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
CURATOR,20,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
CURATOR,21,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
CURATOR,22,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
CURATOR,23,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
CURATOR,24,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
CURATOR,25,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
CURATOR,26,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
CURATOR,27,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
CURATOR,28,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
CURATOR,29,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
CURATOR,30,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
CURATOR,31,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
CURATOR,32,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
CURATOR,33,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
CURATOR,34,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
CURATOR,35,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
CURATOR,36,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
CURATOR,37,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
CURATOR,38,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
CURATOR,39,0.0,0.36261811307403913,0.19623077897729427,0.196241310115036,0.4
GHOST,0,0.0,1.3671126384035306,0.09972652597705246,0.5491173806429815,0.4
GHOST,1,0.0,1.3671126384035306,0.02798896310477096,0.04133068289924177,0.4
GHOST,2,0.0,1.3671126384035306,0.026961624550452833,0.027265359682181675,0.4
GHOST,3,0.0,1.3671126384035306,0.026940771168713917,0.026950988293825334,0.4
GHOST,4,0.0,1.3671126384035306,0.026940771168713917,0.026950988293825334,0.4
GHOST,5,0.0,1.3671126384035306,0.026940771168713917,0.026950988293825334,0.4
GHOST,6,0.0,1.3671126384035306,0.026940771168713917,0.026950988293825334,0.4
GHOST,7,0.0,1.3671126384035306,0.026940771168713917,0.026950988293825334,0.4
GHOST,8,0.0,1.3671126384035306,0.026940771168713917,0.026950988293825334,0.4
GHOST,9,0.0,1.3671126384035306,0.026940771168713917,0.026950988293825334,0.4
GHOST,10,0.0,1.3671126384035306,0.026940771168713917,0.026950988293825334,0.4
GHOST,11,0.0,1.3671126384035306,0.026940771168713917,0.026950988293825334,0.4
GHOST,12,0.0,1.3671126384035306,0.026940771168713917,0.026950988293825334,0.4
GHOST,13,0.0,1.3671126384035306,0.026940771168713917,0.026950988293825334,0.4
GHOST,14,0.0,1.3671126384035306,0.026940771168713917,0.026950988293825334,0.4
GHOST,15,0.0,1.3671126384035306,0.026940771168713917,0.026950988293825334,0.4
GHOST,16,0.0,1.3671126384035306,0.026940771168713917,0.026950988293825334,0.4
GHOST,17,0.0,1.3671126384035306,0.026940771168713917,0.026950988293825334,0.4
GHOST,18,0.0,1.3671126384035306,0.026940771168713917,0.026950988293825334,0.4
