arm,omega,d,seed_rep,observer,true_goal,engaged_fraction,final_entropy,correct,psi_analogue,cum_deep
foreign_content,0.0,0.945128628108705,0,0,0,1.0,1.37690738785366,0,-9.209923760764545e-12,24
foreign_content,0.0,0.945128628108705,0,1,0,1.0,1.35277811463079,1,-9.209919405693273e-12,24
foreign_content,0.0,0.945128628108705,0,2,0,1.0,1.3557756967145957,0,-9.210262040684911e-12,24
foreign_content,0.0,0.945128628108705,0,3,0,1.0,1.373011074484805,1,-9.210529245551621e-12,24
foreign_content,0.0,0.945128628108705,0,4,0,1.0,1.3735624570326856,1,-9.21036479795521e-12,24
foreign_content,0.0,0.945128628108705,0,5,0,1.0,0.33921224071272665,0,2.484350170801556,24
foreign_content,0.0,0.945128628108705,0,6,0,1.0,1.3799990940976996,1,-9.210305901312384e-12,24
foreign_content,0.0,0.945128628108705,0,7,0,1.0,1.3821305252865534,0,-9.209922751108241e-12,24
foreign_content,0.0,0.945128628108705,0,8,0,0.0,0.3243201165682853,0,2.0460549512345727,10
foreign_content,0.0,0.945128628108705,0,9,0,1.0,1.3787772695822782,1,-9.2099386359692e-12,24
foreign_content,0.0,0.945128628108705,0,10,0,1.0,1.381859830414722,1,-9.210087214224275e-12,24
foreign_content,0.0,0.945128628108705,0,11,0,1.0,1.3697498594646242,1,-9.210254721974893e-12,24
foreign_content,0.0,0.945128628108705,0,12,0,0.0,0.29466914869340777,0,2.1924484572975493,10
foreign_content,0.0,0.945128628108705,0,13,0,0.7857142857142857,0.25241472806375365,0,2.124946411978314,21
foreign_content,0.0,0.945128628108705,0,14,0,1.0,1.3835730422976908,0,-9.210218828214247e-12,24
foreign_content,0.0,0.945128628108705,0,15,0,1.0,1.376458714043192,0,-9.210256457581825e-12,24
foreign_content,0.0,0.945128628108705,0,16,0,1.0,1.3772313616502234,1,-9.210259127233093e-12,24
foreign_content,0.0,0.945128628108705,0,17,0,1.0,1.375650175966621,0,-9.210300054298089e-12,24
foreign_content,0.0,0.945128628108705,0,18,0,1.0,1.374941214895693,0,-9.210221841395498e-12,24
foreign_content,0.0,0.945128628108705,0,19,0,1.0,1.373421001740407,0,-9.210333430791223e-12,24
foreign_content,0.0,0.945128628108705,0,20,0,1.0,1.3308875947625691,0,-9.210266233850486e-12,24
foreign_content,0.0,0.945128628108705,0,21,0,1.0,1.3753761639718667,1,-9.210154022242882e-12,24
foreign_content,0.0,0.945128628108705,0,22,0,1.0,1.3636962265775396,0,-9.210103429560008e-12,24
foreign_content,0.0,0.945128628108705,0,23,0,1.0,1.3811320376027818,0,-9.209993780650728e-12,24
foreign_content,0.0,0.945128628108705,0,24,0,1.0,1.381755719451888,1,-9.21010944664643e-12,24
foreign_content,0.0,0.945128628108705,0,25,0,1.0,1.3832280323244028,1,-9.210525850167875e-12,24
