contamination,signal,generation,kl_payload,kl_sd,mi_genuine,mean_deep_genuine,creator_col_kl,regret,regret_sd,argmax_preserved,sycophancy
0.0,absent,0,0.018961019339897165,0.012641658114093651,0.8202901315018217,1.8995555555555557,0.4159952995916745,3.2370520267948493,2.377772918904469,0.6666666666666666,0.6933333333333334
0.0,absent,1,0.034398890801109555,0.012152862068674462,0.7674241987946062,1.964888888888889,0.510934851459181,3.632751924741749,1.284608301209163,1.0,0.7983333333333333
0.0,absent,2,0.03080938852521368,0.013161587184394304,0.7425092724414922,2.0913333333333335,0.5952004973319895,2.146234207285619,0.9832601337318504,1.0,0.815
0.0,absent,3,0.02110177557322789,0.0023555956685266475,0.6785945943841792,2.2444444444444445,0.670370656179457,3.4031842988199243,1.5919343998213609,1.0,0.745
0.0,honest,0,0.041866670144521445,0.006591298961435222,0.8410248335661485,1.8768888888888888,0.45774934194711375,4.243870852642158,2.9127735464260063,0.6666666666666666,1.0
0.0,honest,1,0.058448714339033515,0.012959321942511912,0.7915684077730586,1.9404444444444444,0.6148039644058949,6.57496976988216,2.053727255047411,0.3333333333333333,1.0
0.0,honest,2,0.07733748186655003,0.0017851071068474514,0.7276735281245731,2.022222222222222,0.5931347350675081,6.858945722970546,4.138269221251179,0.6666666666666666,1.0
0.0,honest,3,0.07528111292057228,0.019262706395694038,0.7145486167136766,2.0060000000000002,0.6783004872974123,8.389291380857268,2.8665525742737246,0.3333333333333333,1.0
0.3,absent,0,0.034838311852814136,0.0075291769714257014,0.6310077399753617,1.960184934828893,0.9413318698809295,0.2497170497421227,0.1457026244708128,1.0,0.43
0.3,absent,1,0.06850430064782566,0.04166494182402408,0.35413435498965185,2.2518086370394528,1.7145981602885858,0.633096852927952,0.6027856000300273,1.0,0.6616666666666667
0.3,absent,2,0.08333172415235841,0.01621461105280053,0.2519703087000557,2.1843795941502915,2.2151458539978712,1.0733295754910905,0.6212008834397968,1.0,0.8166666666666668
0.3,absent,3,0.0754976734638474,0.005320190471890609,0.2077443154069835,1.361827336759947,2.341657022809377,1.883722975163658,1.0710937911964038,1.0,1.0
0.3,honest,0,0.03198344575829354,0.010165493991368846,0.8063504853703088,1.9715918332819742,0.5980734577415353,3.521034114027453,2.138178461047397,0.6666666666666666,0.8883333333333333
0.3,honest,1,0.04746146159527245,0.013828943224642625,0.6996567262717489,2.1171501971032467,0.7285361819410863,5.582634441460049,2.4523630893565835,0.6666666666666666,0.8933333333333334
0.3,honest,2,0.05978695444196497,0.015800693909863432,0.6916604291841821,2.1485331167852433,0.6243873904395137,6.2175909796640125,1.4183642394130063,0.6666666666666666,1.0
0.3,honest,3,0.04532727823885319,0.01530990733797631,0.7114970282623326,2.1788029609790573,0.6521398572380519,5.570380485752751,2.429831882123356,0.6666666666666666,1.0
0.6,absent,0,0.0774254974224149,0.049070408155080535,0.36053258412734673,1.6991612535612537,1.8178604585268083,0.8162186743520908,0.42900053771940466,1.0,0.82
0.6,absent,1,0.07274034709097242,0.008320848525510488,0.20280051927633921,0.8434007246420401,2.3765552721241785,2.057855427131074,0.340652520442538,1.0,1.0
0.6,absent,2,0.0755411148362871,0.014192954400757752,0.2034475342615749,0.8750667099604944,2.381567041229204,2.0689105104008507,0.4376867006627557,1.0,1.0
0.6,absent,3,0.07233030862716398,0.004088748461643183,0.2032222466245923,0.8533578558652125,2.486738400692601,2.4221282991436555,0.6942110983909645,1.0,1.0
0.6,honest,0,0.02510992267825932,0.006543269784496103,0.8536527201953396,1.91085461730623,0.5207645715948477,3.1293376316113766,3.1086401496523504,0.6666666666666666,0.6933333333333334
0.6,honest,1,0.051579353803323395,0.0142270368773245,0.6967303125571163,1.971371546690173,0.7995886847015788,5.932067119785811,0.4838683910875666,0.6666666666666666,0.7983333333333333
0.6,honest,2,0.03153538789557589,0.0002325708537853488,0.6827320899087913,2.1337450160459013,0.6954661786234121,4.948894461848561,2.4884738153288612,0.6666666666666666,0.7200000000000001
0.6,honest,3,0.054186263356773234,0.027436604119223388,0.6939139426181352,2.1058712406988267,0.7852474122150253,6.306949611230919,3.4983599604208693,0.6666666666666666,0.6533333333333333
