true_beta,true_mu,recovered_mu,recovered_mu_sd,mu_posterior_entropy,goal_accuracy,goal_entropy,subgoal_entropy,realised_blocks,n
0.25,1,1.6355213977799645,0.3324871521758342,0.8622453435276598,0.7441666666666666,0.1723505066071137,1.37549310087252,4.3,1200
0.25,3,1.8412047729182262,0.39729629263304805,0.9081668142574852,0.76,0.15415434429430752,1.3582451550617074,4.4,1200
1.0,1,1.5521303876869152,0.37163163601858207,0.7708758150058703,1.0,3.390330444149003e-11,1.3496320158678388,3.4,1200
1.0,3,2.344450684882838,0.32420532719127876,0.8143579612225543,1.0,3.1954355690747774e-07,1.1635049970853168,3.5,1200
