omega,n,engaged_fraction,engaged_fraction_sd,crashed,unresolved,disengaged,fabrication_index,fabrication_index_strict,engaged_sem_across_seeds,within_observer,within_observer_sd,between_observer,between_observer_sd,matches_foreign_goal
0.0,12000,0.6255773809523809,0.4791643968711852,False,True,False,0.09201244648957677,0.06941774484604214,0.05977134592466518,1.2579973786845244,0.3076286095635404,1.3782914109043973,0.00529065040503307,0.24991666666666668
0.1,12000,0.3204285714285714,0.40990426344874725,True,True,True,0.3018488336926586,0.13298189905071423,0.028610757586463767,0.5888088955754651,0.5644497400406671,0.7274072727899912,0.31482116671795096,0.7688333333333334
0.2,12000,0.13061309523809522,0.26450289373320796,False,False,True,0.1744235848709112,0.06408671179418379,0.010562470613434344,0.354235729758892,0.505619481597218,0.3247968070927695,0.31009667069735575,0.9139166666666667
0.3,12000,0.03901190476190476,0.13673813100735271,False,False,True,0.12690348933357837,0.04241983494295233,0.0039736242582754195,0.3219255288836682,0.49544767825940045,0.2291354728941267,0.24212252238377976,0.94475
0.4,12000,0.016654761904761905,0.07943474946809173,False,False,True,0.043893008542776564,0.012251829549813034,0.0012227947683975866,0.11244619474679876,0.30202246079092104,0.06621991160644441,0.10976298403803726,0.9866666666666667
0.5,12000,0.00369047619047619,0.031462107919177515,False,False,True,0.03617501212500027,0.009386974893254782,0.0003985903714052154,0.1269611002334589,0.32809819389704575,0.055205064914270525,0.08194355593197061,0.9896666666666667
0.6,12000,0.0014642857142857142,0.018523567586493116,False,False,True,0.01342235357221588,0.003306269280264146,0.00020701618681319333,0.044793153439647834,0.19373928996125253,0.019228637859516503,0.04309497815620529,0.9965833333333334
0.7,12000,0.00031547619047619046,0.007283622327260053,False,False,True,0.018358103233055083,0.004436847801405348,7.157554827348449e-05,0.04430663277763228,0.19366727170250753,0.026289975211735473,0.044452201641504416,0.9954166666666666
0.85,12000,3.571428571428571e-05,0.0024395904182794603,False,False,True,0.0037641311126314367,0.0008289017024818385,2.1973171067070968e-05,0.007372253832022568,0.07081501854822743,0.0052460922289630126,0.01306185731251638,0.9991666666666666
1.0,12000,5.952380952380952e-06,0.0006520506636966261,False,False,True,0.00037829034126008837,8.329690719462436e-05,5.9523809523809525e-06,0.0006059682081226383,0.019234768037483013,0.0005246510991194458,0.004029921559115922,0.9999166666666667
