arm,content,omega,seed_rep,observer,true_goal,explore_mass,final_entropy,real_goal_entropy,modal_real_goal,modal_goal_full,correct,engaged_fraction,cum_deep,modal_is_explore
explore_off,human_directed,0.0,0,44,0,0.0,6.831583312329567e-12,6.831583312329567e-12,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,45,0,0.0,5.1953670805145645e-05,5.1953670805145645e-05,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,46,0,0.0,5.699259546619143e-12,5.699259546619143e-12,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,47,0,0.0,2.9638101273664115e-10,2.9638101273664115e-10,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,48,0,0.0,3.390995487767623e-13,3.393215933816873e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,49,0,0.0,1.1495017553827882e-09,1.149501644360486e-09,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,50,0,0.0,2.3887597872546786e-09,2.3887596762323765e-09,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,51,0,0.0,1.324865954171311e-09,1.3248658431490088e-09,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,52,0,0.0,3.7225805472279655e-13,3.7225805472279655e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,53,0,0.0,3.1434558212451895e-11,3.1434780257056814e-11,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,54,0,0.0,2.1443437297816128e-10,2.1443426195585885e-10,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,55,0,0.0,1.9184325514504762e-11,1.9184103469899837e-11,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,56,0,0.0,5.102684548895254e-13,5.10157432587063e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,57,0,0.0,3.831225887858144e-10,3.831225887858144e-10,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,58,0,0.0,3.1592876023661063e-13,3.1592876023661063e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,59,0,0.0,3.400540476871878e-06,3.400540476871878e-06,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,60,0,0.0,8.437643365923483e-08,8.437643354821254e-08,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,61,0,0.0,1.3471470854141168e-12,1.3471470854141168e-12,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,62,0,0.0,1.9689077347858623e-10,1.9689055143398134e-10,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,63,0,0.0,2.171269461179377e-13,2.171269461179377e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,64,0,0.0,4.724855964172487e-12,4.724855964172487e-12,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,65,0,0.0,4.923395460973367e-13,4.925615907022616e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,66,0,0.0,1.8441785205012328e-07,1.84417851939101e-07,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,67,0,0.0,1.4598128618131333e-11,1.4598128618131333e-11,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,68,0,0.0,2.834702865739485e-13,2.834702865739485e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,69,0,0.0,3.0979445794230423e-13,3.0979445794230423e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,70,0,0.0,1.6584614255935531e-13,1.6584614255935531e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,71,0,0.0,3.887362737428959e-10,3.887362737428959e-10,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,72,0,0.0,1.5054626149423472e-10,1.5054615047193226e-10,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,73,0,0.0,4.083096692463021e-09,4.083096581440719e-09,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,74,0,0.0,4.518139174737425e-13,4.5170289517128005e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,75,0,0.0,9.670296791817624e-11,9.670296791817624e-11,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,76,0,0.0,4.028078871342535e-11,4.028056666882043e-11,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,77,0,0.0,3.73409224832809e-12,3.73409224832809e-12,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,78,0,0.0,3.2240362830173896e-06,3.2240362830173896e-06,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,79,0,0.0,1.2034427009376831e-08,1.2034426898354532e-08,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,80,0,0.0,1.65474027956519e-06,1.654740279454168e-06,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,81,0,0.0,1.4803661167552716e-09,1.4803658947106668e-09,0,0,1,0.0,10,0
