tier,seed_rep,observer,true_goal,modal_goal,correct,first_skim_t,cum_deep,final_goal_entropy
CREATOR,0,94,0,0,1,2,2,0.015571156432325097
CREATOR,0,95,1,1,1,1,1,0.21738063707735822
CREATOR,0,96,2,2,1,2,2,0.01707551714763654
CREATOR,0,97,1,1,1,1,1,0.3022026489797574
CREATOR,0,98,0,0,1,1,1,0.26090044066273405
CREATOR,0,99,1,1,1,1,1,0.29202594893344447
CREATOR,0,100,2,2,1,2,2,0.012816500677330468
CREATOR,0,101,3,3,1,3,3,0.12096847442092185
CREATOR,0,102,3,3,1,2,2,0.01463154185354608
CREATOR,0,103,2,2,1,1,1,0.2239511937119491
CREATOR,0,104,1,1,1,1,1,0.2858034347376848
CREATOR,0,105,0,0,1,2,2,0.01657552649758277
CREATOR,0,106,2,2,1,1,1,0.24889082697402906
CREATOR,0,107,0,0,1,2,2,0.014839936737526914
CREATOR,0,108,2,2,1,2,2,0.015173811741021
CREATOR,0,109,3,3,1,1,1,0.29302405035797596
CREATOR,0,110,1,1,1,1,1,0.230540006292224
CREATOR,0,111,3,3,1,1,1,0.27374699836722033
CREATOR,0,112,3,3,1,1,1,0.2787736598554218
CREATOR,0,113,2,2,1,2,2,0.012941408240806467
CREATOR,0,114,1,1,1,1,1,0.23385818290283922
CREATOR,0,115,3,3,1,1,1,0.29280055241895364
CREATOR,0,116,2,2,1,1,1,0.2901784607845267
CREATOR,0,117,1,1,1,1,1,0.3049953115096057
CREATOR,0,118,3,3,1,1,1,0.27001670325297494
CREATOR,0,119,3,3,1,1,1,0.2673896043134877
CREATOR,0,120,0,0,1,2,2,0.01707588832009894
CREATOR,0,121,0,0,1,2,2,0.013594171321864107
CREATOR,0,122,2,2,1,2,2,0.013352816385681861
CREATOR,0,123,3,3,1,1,1,0.22319195992730745
CREATOR,0,124,3,3,1,2,2,0.016060920090058533
CREATOR,0,125,1,1,1,2,2,0.015225145145730971
CREATOR,0,126,0,0,1,1,1,0.29514240253032853
CREATOR,0,127,2,2,1,1,1,0.22832741589167077
CREATOR,0,128,1,1,1,1,1,0.2626556858902498
CREATOR,0,129,1,1,1,2,2,0.012950934371021733
CREATOR,0,130,0,0,1,2,2,0.017131241654657823
CREATOR,0,131,3,3,1,1,1,0.22753229914796408
CREATOR,0,132,0,0,1,1,1,0.26932481138798536
CREATOR,0,133,3,3,1,1,1,0.20821010340041327
CREATOR,0,134,0,0,1,1,1,0.21719908368136684
CREATOR,0,135,0,0,1,1,1,0.25281494335985744
CREATOR,0,136,3,3,1,1,1,0.2346915640747415
CREATOR,0,137,0,0,1,2,2,0.01543906234326201
CREATOR,0,138,3,3,1,1,1,0.28114108407490024
CREATOR,0,139,1,1,1,1,1,0.21453587447720313
CREATOR,0,140,3,1,0,1,1,0.22692482060829855
CREATOR,0,141,0,0,1,2,2,0.016428827818274996
CREATOR,0,142,1,1,1,2,2,0.012828796580735859
CREATOR,0,143,3,3,1,1,1,0.2926459543983545
CREATOR,0,144,0,0,1,2,2,0.013359428995459537
CREATOR,0,145,2,2,1,1,1,0.24032572080498651
CREATOR,0,146,3,3,1,1,1,0.23927492073768
CREATOR,0,147,1,1,1,1,1,0.25017126763365216
CREATOR,0,148,3,3,1,1,1,0.23683421989975106
CREATOR,0,149,1,1,1,1,1,0.25015753276905617
CREATOR,0,150,3,3,1,1,1,0.276278094473043
CREATOR,0,151,1,1,1,2,2,0.0171793532898772
CREATOR,0,152,1,1,1,2,2,0.013849870769666338
CREATOR,0,153,1,1,1,1,1,0.2650015235488505
CREATOR,0,154,2,2,1,1,1,0.21542332300023997
CREATOR,0,155,3,3,1,2,2,0.012847395885328941
CREATOR,0,156,3,3,1,2,2,0.01604667487154155
CREATOR,0,157,3,3,1,2,2,0.012714231314839192
CREATOR,0,158,3,3,1,2,2,0.016009286706180962
CREATOR,0,159,2,2,1,2,2,0.016575548150815314
CREATOR,0,160,3,3,1,2,2,0.016521513074299693
CREATOR,0,161,0,0,1,2,2,0.016156848500206634
CREATOR,0,162,0,0,1,2,2,0.01602957244662949
CREATOR,0,163,2,2,1,1,1,0.26689561606365536
CREATOR,0,164,1,1,1,1,1,0.2220773570603879
CREATOR,0,165,1,1,1,2,2,0.016837546314300948
CREATOR,0,166,3,3,1,1,1,0.19031571567001931
CREATOR,0,167,3,3,1,2,2,0.01555238019742615
CREATOR,0,168,2,2,1,3,3,0.12477741758425372
CREATOR,0,169,0,0,1,2,2,0.016033992464237763
CREATOR,0,170,1,1,1,2,2,0.016495098910699744
CREATOR,0,171,0,0,1,3,3,0.11596854856315095
CREATOR,0,172,3,3,1,2,2,0.017003492426383087
CREATOR,0,173,1,1,1,2,2,0.013933684842559243
CREATOR,0,174,0,0,1,2,2,0.015659808927711228
CREATOR,0,175,3,3,1,2,2,0.015074485522392737
CREATOR,0,176,1,1,1,1,1,0.29270672234286965
CREATOR,0,177,2,2,1,1,1,0.22642710670170857
CREATOR,0,178,3,3,1,1,1,0.24886311399780117
CREATOR,0,179,1,1,1,1,1,0.22328446416116216
CREATOR,0,180,3,3,1,2,2,0.014984806747523893
CREATOR,0,181,3,3,1,1,1,0.2943242513707941
CREATOR,0,182,1,1,1,2,2,0.01563304546929882
CREATOR,0,183,1,1,1,1,1,0.30442680621078133
CREATOR,0,184,2,2,1,1,1,0.2754467278418829
CREATOR,0,185,0,0,1,1,1,0.1834943290104568
CREATOR,0,186,1,1,1,1,1,0.28732813542941615
CREATOR,0,187,3,3,1,1,1,0.19104327610548225
CREATOR,0,188,1,1,1,2,2,0.01329934939728743
CREATOR,0,189,1,1,1,2,2,0.01563911048505296
CREATOR,0,190,1,1,1,2,2,0.013583960428667762
CREATOR,0,191,3,1,0,1,1,0.22790748557334575
CREATOR,0,192,1,1,1,2,2,0.01647949044415293
CREATOR,0,193,1,1,1,2,2,0.01689338404137272
CREATOR,0,194,0,0,1,2,2,0.014846614480689146
CREATOR,0,195,1,1,1,2,2,0.014353652002760248
