sweep,n_artifacts,m_observers,averaging,seed_rep,generation,kl_payload,creator_col_kl,eff_sample_count,mi_genuine,mean_deep_genuine
N,10000,5,False,2,0,0.07745802087464504,0.52682091591079,4783.464886797087,0.8278699035266772,1.9148
N,10000,5,False,2,1,0.11070149921371283,0.6579024303841585,5423.798150907315,0.6973041460577684,2.17084
N,10000,5,False,2,2,0.09526256885167964,0.8851980468354519,6324.8836484397525,0.6095197859167636,2.53128
N,10000,5,False,2,3,0.12894161300539975,1.0012967911034296,6059.916018102616,0.6141112216362534,2.42528
N,10000,5,False,2,4,0.1106022585671236,0.9563455266876102,5828.362684950696,0.5677918202853651,2.33258
N,10000,5,False,2,5,0.11410279961023821,0.994274218375181,5796.432044506508,0.5627461956922662,2.3198600000000003
N,10000,5,False,2,6,0.09913576862355884,1.0590680793942189,6414.88743501316,0.4584406019027443,2.56722
N,10000,5,False,2,7,0.11988011346220165,1.213646338612183,6696.692715136158,0.38828889668064565,2.67984
M,1000,1,True,0,0,0.06122382293702529,0.6055619031369264,497.4085458611551,0.8054775868577149,1.992
M,1000,1,True,0,1,0.09194578987017724,0.797416422180222,529.9319584652527,0.6767321214419475,2.121
M,1000,1,True,0,2,0.056829185555978254,0.7252415750035244,665.3006176091617,0.5007011306252763,2.663
M,1000,1,True,0,3,0.08068915222810105,0.8421783128706571,597.9643219977181,0.5484323225691432,2.393
M,1000,1,True,0,4,0.10736807193339229,0.9595618130159995,583.7312391246483,0.4886239116533967,2.336
M,1000,1,True,0,5,0.10419925476548451,0.9601381620551122,603.9940286093694,0.4684019267558542,2.417
M,1000,1,True,0,6,0.0930558094378081,0.8922966759569633,651.2785330671479,0.5389364169792926,2.607
M,1000,1,True,0,7,0.10851162626102155,0.8605391567416716,625.3681049317869,0.4778767687871465,2.503
M,1000,1,True,1,0,0.0544024639596756,0.5127153672096911,470.46234799920603,0.828428713188199,1.885
M,1000,1,True,1,1,0.06211026221150544,0.6215846802098234,547.1135541176487,0.7185138484077876,2.19
M,1000,1,True,1,2,0.048449193062592794,0.5854539426992486,556.2214211423955,0.6496861076690923,2.226
M,1000,1,True,1,3,0.11754327760496419,0.7231262903235532,506.35303663494614,0.5354732039487664,2.027
M,1000,1,True,1,4,0.10099266729022888,0.710825724757862,600.6003285702732,0.5117851576572984,2.405
