kappa_p,beta,theta,seed_rep,observer,source_goal,engaged_fraction,final_entropy,mean_entropy,psi_per_encounter,prior_drift,prior_mass_on_source_goal,value_divergence,theta_value,recovered_beta,correct
high,low,open,0,0,0,0.0,0.009400131676953177,0.41797376254086166,1.3125857617144037,0.7893839095830502,0.8351556819130411,0.2522443023827911,1.0,0.4218358689036197,1
high,low,open,0,1,0,0.0,0.08301780983799653,0.4225564962640907,2.8104430148422694,0.23159089225002144,0.5993982984324019,1.1117290657745533,1.0,0.3720642698353422,1
high,low,open,0,2,0,0.0,0.7643248523971128,0.7021416860716928,1.6526519160474813,0.3813484101376186,0.5615981801199365,0.779383492144663,1.0,0.3061426058208765,1
high,low,open,0,3,0,0.0,1.0603723150614064,0.8746255574461215,1.2099293638636706,0.16104405737386815,0.48411896066292714,0.8570639260107652,1.0,0.26444469019760575,1
high,low,open,0,4,0,0.0,0.6647651905955112,0.3551220266054575,2.1504293196073863,0.4422140027232693,0.730450035509881,0.724286214420784,1.0,0.27571866076069734,1
high,low,open,0,5,0,0.0,1.079919150488993,0.6278824636683966,1.8480060166037042,0.40677724106452195,0.5745220980897394,1.0913775853113317,1.0,0.3417186673930877,1
high,low,open,0,6,0,0.0,0.9593787987463773,0.9303015121804032,1.4492289179041693,0.06964871873222502,0.382545827772815,1.1472837859324259,1.0,0.24942157345647115,1
high,low,open,0,7,0,0.0,0.006506818094347029,0.7391987833796454,1.3358172576308824,0.5011789589473717,0.7147312700113709,0.6794354122726244,1.0,0.3409484585896964,1
high,low,open,0,8,0,0.0,1.2524095234540655,0.7619002712050549,1.5640206462319017,0.21789322649714876,0.5025670090473613,0.783224172167686,1.0,0.32522755189808494,1
high,low,open,0,9,0,0.0,1.3791972400442307,0.9928599140969835,1.399988089920633,0.011370003847721945,0.37173957299926597,1.1171115276915684,1.0,0.2520823367422876,1
high,low,open,0,10,0,0.0,0.9830268559628944,0.6132120411960842,2.1421897676740516,0.1197010308424938,0.35329330366648926,1.1853476781979198,1.0,0.41747862421764687,1
high,low,open,0,11,0,0.0,1.2867989883049304,1.0972348983060956,0.45234546020740474,0.08679719309300149,0.43131851401078275,0.45728684506797207,1.0,0.28742738706002546,1
high,low,open,0,12,0,0.0,1.0095101616601037,1.0120399217312934,1.1786617259417815,0.15605167298455344,0.3971712946267817,1.1897877765586746,1.0,0.2815454230618744,1
high,low,open,0,13,0,0.0,1.0010187503105763,1.0853016472356767,0.9295384222667473,0.050438936519124,0.2897097452909257,0.9562651850559255,1.0,0.25996981661329044,0
high,low,open,0,14,0,0.0,0.5151136138101382,0.7051762356392581,1.0460793491525804,0.5693115000137094,0.7428226765454078,0.3070476832815955,1.0,0.3381332311807423,1
high,low,open,0,15,0,0.0,1.2834018406282968,1.1636854635650562,0.8170231792881653,0.0214357909540465,0.30976630011074596,1.0794553741790065,1.0,0.2584750023056489,1
high,low,open,0,16,0,0.0,1.0701155495831274,1.0430847062282347,0.6562882254387948,0.20025243880102228,0.27250295503729755,1.1612097401269117,1.0,0.2485282031247035,0
high,low,open,0,17,0,0.0,0.5776296882243461,0.8471601184401529,1.4650247570498267,0.2670149146186461,0.26888245159059715,0.9067567683544208,1.0,0.2749477640356794,0
high,low,open,0,18,0,0.0,0.7961869646404891,0.5306797841013482,1.342793796058392,0.5046717439891703,0.6613443547538786,0.23770903584828346,1.0,0.3894210468477432,1
high,low,open,0,19,0,0.0,0.4458813488504629,0.8069987864896075,1.4639985875605834,0.13975718820402966,0.29415795927553734,0.9539981891171652,1.0,0.30687421931668046,0
high,low,open,0,20,0,0.0,1.1605889074779812,1.0799597235255463,0.5301321858922419,0.22717183139198774,0.5119354350727501,0.4652183163792837,1.0,0.230109145670928,1
high,low,open,0,21,0,0.0,1.2466402414739906,1.0544482305687708,0.6679044452939034,0.0814298660249123,0.4424329298675151,0.4946993149547826,1.0,0.2489383542134203,1
high,low,open,0,22,0,0.0,1.025237656012355,0.7558732208368166,2.0065434956568162,0.2270169551708289,0.4346469773712133,1.053844804110451,1.0,0.3275000358126041,1
high,low,open,0,23,0,0.0,0.7654877567920414,0.7903042046365742,0.8800994966321665,0.497533885008266,0.700348091216303,0.3772516241013756,1.0,0.2943816919878872,1
high,low,open,0,24,0,0.0,0.9598937344364675,0.590723444682469,1.5593378191168505,0.20807804558470971,0.4554135548593327,0.5153098967907144,1.0,0.33516454190065204,1
high,low,open,0,25,0,0.0,1.3632362315854318,0.6152281052172551,1.56273177260997,0.15446838315355116,0.5172789670779397,0.5109096933338041,1.0,0.4451011897912481,1
high,low,open,0,26,0,0.0,1.1728861151920977,0.6604198736428958,2.078697725713096,0.27882878999393035,0.4395375277735403,0.9968712695261662,1.0,0.31617179930919875,1
high,low,open,0,27,0,0.0,0.18345627796873334,0.5535451446501295,0.9666632232676335,0.8320818664628346,0.8219599752695392,0.24099381383555515,1.0,0.3806357801894811,1
high,low,open,0,28,0,0.0,1.0315450402201887,0.922168792071075,1.222491046666547,0.06865300776746097,0.23277229118490428,1.003601895286493,1.0,0.2711782940268578,0
high,low,open,0,29,0,0.0,1.2009690137083684,0.5695667661268646,0.9621764767966121,0.22859585023413592,0.691374124826462,0.28298572694543306,1.0,0.3331474626880394,1
high,low,open,0,30,0,0.0,0.6225562019383339,0.9132004910292162,0.9175509839795122,0.2587805267989248,0.38257906651187923,0.8530063643678528,1.0,0.2580876733607686,0
high,low,open,0,31,0,0.0,1.068200710393627,0.7077276720725669,0.9213510580128659,0.5877635473145278,0.6761952634095505,0.11216276831729169,1.0,0.3167715212847274,1
high,low,open,0,32,0,0.0,1.0273791365611034,1.0286919919665756,0.9627649892866847,0.06262882581065657,0.3408247942584209,0.9677068892402875,1.0,0.2692911840742201,0
high,low,open,0,33,0,0.0,1.2158317212596288,1.1894656789522293,0.6400424268868903,0.07547079963428488,0.37020758067311094,0.8124998032094393,1.0,0.24620908699486488,1
high,low,open,0,34,0,0.0,0.00043113831520484526,0.5315186815135539,1.8688601714373452,0.35488886390566565,0.7044025935590007,0.5919331620980693,1.0,0.4988048969782678,1
high,low,open,0,35,0,0.0,1.2028491697923007,1.111024715696456,0.5827669125412416,0.08670925797420842,0.4333264996910934,0.6197496731384007,1.0,0.2688303012989116,1
high,low,open,0,36,0,0.0,0.7082249501203248,0.7369758493501808,1.0160425580551498,0.6420241093522521,0.7232935720545995,0.38287824581310015,1.0,0.37217058287957516,1
high,low,open,0,37,0,0.0,0.552313441813255,0.6050600889069889,2.0777632606999394,0.4450539546968339,0.4318993272071649,1.18866079313843,1.0,0.4416778488285201,0
high,low,open,0,38,0,0.0,0.9727685216854188,0.6478009724700835,1.057089606949645,0.36808123184528335,0.6461088674051534,0.374850263663512,1.0,0.3723368240903247,1
high,low,open,0,39,0,0.0,0.861514977919798,0.9529173408874506,1.475165334360961,0.09147758785430835,0.22855128414490988,1.3231005983413149,1.0,0.28901378391848764,0
high,low,open,0,40,0,0.0,0.8574134990046378,0.849290401729597,1.108869389144281,0.2632941515901639,0.5903228340500944,0.7627652339193433,1.0,0.3034085272697543,1
high,low,open,0,41,0,0.0,1.1641591440382282,0.7937760192189047,0.9280898666677616,0.36828046534348113,0.6020750269247321,0.19785648114427704,1.0,0.296292364275377,1
high,low,open,0,42,0,0.0,0.812912242694205,0.8427252037327141,0.9704221280958726,0.3013444789854799,0.6348084328902357,0.43016538620406186,1.0,0.2757541056566557,1
high,low,open,0,43,0,0.0,0.4331188717180272,0.17162829905953061,1.03036441895703,0.8640397480044957,0.8967990222588549,0.07669553865465545,1.0,0.3998167494234182,1
high,low,open,0,44,0,0.0,0.7806249570290598,0.6500152169038751,1.9613992541922018,0.22583426687472657,0.4943669655113258,1.0502825227082913,1.0,0.29989524002351864,1
high,low,open,0,45,0,0.0,1.2780930889263764,0.9483762906051498,1.244829292564981,0.02471463363816248,0.19692771408371784,1.6863800390713768,1.0,0.2990839824108775,0
high,low,open,0,46,0,0.0,0.9242108949297914,0.740225383779826,1.9257027970289669,0.3026815776949743,0.48463970781451615,1.133811810122248,1.0,0.33798182238303354,1
high,low,open,0,47,0,0.0,0.5849998287892546,0.3986866889590888,2.2749379560382916,0.5092905570304884,0.42938175345784035,0.6460394213336482,1.0,0.37647965893969115,0
high,low,open,0,48,0,0.0,0.6136627052011112,0.39000558413143366,1.442962832944757,0.8092146757580688,0.778665942453628,0.1450616202894906,1.0,0.40471944475447963,1
high,low,open,0,49,0,0.0,1.3015562603135273,1.225445412164751,0.4089982284023873,0.03860836868520445,0.24185889772821592,1.112632513874098,1.0,0.22683802892142332,0
high,low,open,0,50,0,0.0,0.008539741817177354,0.8153949913946563,1.7937790148672437,0.2861785233301606,0.5831797037502816,1.2195793323541633,1.0,0.3201454450084982,1
high,low,open,0,51,0,0.0,1.2276434273228194,1.0327617857408125,0.9997129945695323,0.11942285947139597,0.4076504351330702,0.8155287430174952,1.0,0.27085213052267315,1
high,low,open,0,52,0,0.0,0.03007836410145716,0.6486879761136102,1.3958129123841394,0.7246394493883319,0.7593007392377795,0.3702788722021969,1.0,0.3951913031453415,1
high,low,open,0,53,0,0.0,1.197112638377551,1.0388832914244648,0.4970049396171707,0.3365450270883029,0.47629113230167275,0.5029954182676412,1.0,0.24175863412278023,1
high,low,open,0,54,0,0.0,0.9800524303671339,0.8537582415541201,1.6491794300335236,0.05239889749705671,0.3006181278724368,0.8280068141858283,1.0,0.31333146661447564,0
high,low,open,0,55,0,0.0,0.8663158012864469,0.36308712440157886,0.8275466645661231,0.4540423597733598,0.8092727032556521,0.07820806569447011,1.0,0.40454401900546894,1
high,low,open,0,56,0,0.0,1.1311238495226559,0.7412781973126871,2.1774143334736475,0.13005648006012555,0.396496176198694,0.9732169408652527,1.0,0.3048737042274115,1
high,low,open,0,57,0,0.0,0.24933941942524723,0.6835913468507262,1.81213106020116,0.46698645557277896,0.6744842140365941,0.7949520142609551,1.0,0.31193388654270526,1
high,low,open,0,58,0,0.0,0.5860162676691072,0.5606498031868609,2.1552768787791963,0.325915561468398,0.5344220863770631,0.8827195241323871,1.0,0.36705352419813453,1
high,low,open,0,59,0,0.0,1.2102163466004838,0.9120321253278995,1.1721624648435012,0.1301590615617031,0.4196775204426938,0.601285138198018,1.0,0.29514241260056306,1
high,low,open,1,0,2,0.0,0.9768656006263426,1.0457223720245619,0.550034684799795,0.4081325437191435,0.5934727682218969,0.5690035789006354,1.0,0.28831736383716,1
high,low,open,1,1,2,0.0,1.3430811443332002,0.43687718840041656,1.9611585492774573,0.3297373151451407,0.5309233893792665,0.3654993086474544,1.0,0.3889062467380521,1
high,low,open,1,2,2,0.0,1.170134853839678,0.9703752646589219,1.674255770834352,0.029088727014915466,0.2818943460813938,1.3330743579120126,1.0,0.2809501707976258,0
