source,kl,regret,argmax_preserved
E6b naive,0.0002867431084529,1.2800562134589966,1.0
E6b naive,0.004184302392106,0.3883668976571053,1.0
E6b naive,0.0002113420998639,1.1665912518307953,1.0
E6b naive,0.0001378047638624,1.1606086131805415,1.0
E6b naive,0.000175626347492,1.1706492986722938,1.0
E6b naive,0.0008233620650811,0.7623191961268538,1.0
E6b naive,0.004836858551237,0.2036605665737489,1.0
E6b naive,0.0014812420449809,0.6719582779388222,1.0
E6b naive,0.0011463621226236,0.6715754378261163,1.0
E6b naive,0.0011792000211644,0.6676634141714044,1.0
E6b naive,0.0006439868000196,1.236992719420399,1.0
E6b naive,0.0043362299850842,0.4551591915624486,1.0
E6b naive,0.0002503954072109,1.0939811559239454,1.0
E6b naive,0.0004411116625241,1.124112048418474,1.0
E6b naive,0.0003597328334544,1.1021616153061131,1.0
E6b naive,0.0030257958960555,0.6295683617986658,1.0
E6b naive,0.0104250472804207,5.929910019579032,0.0
E6b naive,0.0106590669128945,2.014958583069837,1.0
E6b naive,0.0292680565007839,2.586935466889817,1.0
E6b naive,0.0079039381040631,1.796245056698048,1.0
E6b naive,0.003100348528273,0.2606012577805128,1.0
E6b naive,0.0061039643175961,4.322351160684157,1.0
E6b naive,0.0058445918386541,0.9118129267203678,1.0
E6b naive,0.0235252558525968,1.326404337804632,1.0
E6b naive,0.0030255366842543,0.8687887978434505,1.0
E6b naive,0.0040046142037219,0.5877682031180886,1.0
E6b naive,0.0086066900324816,5.4411032961193095,0.0
E6b naive,0.0122289707336755,1.874575687388541,1.0
E6b naive,0.0271443059587776,2.050095111334993,1.0
E6b naive,0.0076652675789039,1.45068237597904,1.0
E6b naive,0.0083166777927461,0.298510756121606,1.0
E6b naive,0.0523277348465009,9.807179724782856,0.0
E6b naive,0.0348014019446894,6.703973365564036,1.0
E6b naive,0.0946644882675552,7.753565429172377,1.0
E6b naive,0.0247231439617186,2.651961415471132,1.0
E6b naive,0.0103782965592194,0.176161158210969,1.0
E6b naive,0.0456211068367733,9.680789084788538,0.0
E6b naive,0.0330115824732518,4.986811588374973,1.0
E6b naive,0.0903986207376071,6.070259510326776,1.0
E6b naive,0.0171163020287849,1.897884670519434,1.0
E6b naive,0.0096313428342746,0.2795955059720578,1.0
E6b naive,0.0444885686644622,9.682741965129422,0.0
E6b naive,0.033819431130876,5.589348563213542,1.0
E6b naive,0.0852100531171063,5.947701815659256,1.0
E6b naive,0.0196922720549548,2.0733202391264527,1.0
E6b naive,0.0190347521040255,0.2265459113903856,1.0
E6b naive,0.1158780237713827,9.99325508394729,0.0
E6b naive,0.0709853718324328,14.934003962075664,0.0
E6b naive,0.1793731948546765,22.09347977653309,0.0
E6b naive,0.0524378071400785,4.624459433317823,1.0
E6b naive,0.0229634734895297,0.1876820676918411,1.0
E6b naive,0.1174039569929683,9.993172353736274,0.0
E6b naive,0.0778893774663355,15.209324246437331,0.0
E6b naive,0.1830489148011394,22.959595775828536,0.0
