true_beta,seed_rep,observer,true_goal,recovered_beta,beta_posterior_entropy,modal_beta_level,modal_goal,correct,final_entropy,psi_analogue,engaged_fraction,cum_deep
0.0,0,0,0,0.24295688088249362,1.1949506644223824,1,0,1,0.7258078454817529,1.5661941728100681,0.0,10
0.0,0,1,0,0.24954970893975298,1.206669751327127,1,1,0,0.9183977372169595,0.7583415844031045,0.0,10
0.0,0,2,0,0.24638138638644327,1.223392099625487,1,2,0,1.1140103361924638,0.9023565445789297,0.0,10
0.0,0,3,0,0.2680002238129562,1.2155569645064879,1,2,0,0.5673957841534201,1.969187060860992,0.0,10
0.0,0,4,0,0.18264041339508902,1.0824719992648304,0,1,0,0.8206742023313157,1.1801284067196092,0.0,10
0.0,0,5,0,0.27240338181196666,1.258087004373387,1,2,0,0.8673140472709199,1.2115594441001414,0.0,10
0.0,0,6,0,0.262271967009182,1.2284248279215508,1,1,0,0.8992327512714104,1.3782762999609055,0.0,10
0.0,0,7,0,0.3786519850199817,1.3549423006169483,1,2,0,0.33497375450288275,2.3417983080983986,0.0,10
0.0,0,8,0,0.27221396205347026,1.2591508088996601,1,3,0,0.8452430587880686,0.9466698745998623,0.0,10
0.0,0,9,0,0.27808227102977906,1.2598703860194145,1,3,0,0.7296131593239568,1.650131705097396,0.0,10
0.0,0,10,0,0.4056396670718363,1.3791186107581033,2,0,1,0.5898487376166556,1.6060068859845313,0.0,10
0.0,0,11,0,0.22847847656559994,1.2028353205182158,1,3,0,1.2426451845600741,0.5767958445446237,0.0,10
0.0,0,12,0,0.2055565481242553,1.1326644993948136,0,3,0,1.2096870626440435,0.3930811451970255,0.0,10
0.0,0,13,0,0.24407754884578184,1.1911248084502881,1,1,0,1.0831545570391499,0.48762735951941005,0.0,10
0.0,0,14,0,0.3521721689005371,1.317130028191238,1,0,1,0.7339615063827308,1.5242830298013232,0.0,10
0.0,0,15,0,0.43664865949806936,1.5350710107853787,2,1,0,0.7134262151804711,1.2074994835871529,0.0,10
0.0,0,16,0,0.22259014245259948,1.15704077388066,1,1,0,1.25284880661294,0.4542768846568441,0.0,10
0.0,0,17,0,0.27251375968805763,1.2567657692148577,1,3,0,1.078309832267069,0.5288109177873382,0.0,10
