arm,true_mu,delta,n,recovered_mu,recovered_mu_sd,mu_posterior_entropy,subgoal_entropy,accuracy,psi_analogue,psi_analogue_sd,psi_structure,psi_structure_sd,final_entropy,engaged_fraction,cum_deep,between_observer
free,1,1.0,4000,1.797623526787553,0.23451790032039432,1.0097357296408374,1.3797107380697962,0.99975,3.223997760250412,0.44723514631826944,3.239157302603929,0.45352476456868795,0.001061282637682294,0.03276785714285714,10.45875,0.0015739532973583375
free,2,1.0,4000,2.094471342706572,0.3228096323184004,0.956981844788811,1.3374432968887933,1.0,3.2281407348084996,0.43670144664010935,3.340624974769186,0.4879577099968727,0.0004212233412025489,0.19110714285714284,12.6755,0.0
free,3,0.0,4000,2.0,0.0,1.0986122886681096,1.3862943611198908,0.9995,3.2464115167515857,0.4416599743071459,3.2464115167227763,0.4416599743019842,0.0006673672283813298,0.0,10.0,0.003147906594716675
free,3,0.25,4000,1.999009882808386,0.030802277064961067,1.0976943810273365,1.3862199716192105,0.99975,3.2319917201811617,0.4382818360659841,3.232163017327359,0.4382849259418048,0.0003793553953996267,0.0,10.0,0.0015739532973583375
free,3,0.5,4000,2.0257283780187274,0.12177555086407998,1.0825140989930842,1.3859099001837312,0.99975,3.245460781681844,0.438627860809436,3.2463462609834606,0.4386915417717865,0.0008649780416460762,0.0,10.0,0.0015739532973583375
free,3,0.75,4000,2.0191367490117513,0.2060682531265721,1.0514452406203505,1.3855339255446337,0.9995,3.2338430866463095,0.44896010184731533,3.2355941972067805,0.44902023385589057,0.0007552371439210008,1.7857142857142855e-05,10.00025,0.003147906594716675
free,3,1.0,4000,2.096144821311106,0.31240518251764365,0.9679656351441045,1.333898134956088,0.99975,3.2375179389622946,0.43527071508111165,3.358164919046623,0.4950089578218152,0.000633959832256163,0.17405357142857142,12.43675,0.0015739532973583375
sustained,1,1.0,4000,1.5586937180190201,0.3620063602814408,0.7825658146974747,1.3504917160255139,1.0,3.230485345401947,0.44352831009072957,3.312923982257835,0.4674737702956509,1.9093456715158457e-11,,24.0,0.0
sustained,2,1.0,4000,2.253063872272097,0.3230552543920392,0.8521750258028471,1.2112996346756295,1.0,3.253236988862532,0.43313518539377677,3.65617723729743,0.5882741428112968,2.3074337403954043e-11,,24.0,0.0
sustained,3,0.0,4000,2.0,0.0,1.0986122886681096,1.3862943611198908,1.0,3.2357294452527587,0.43029252599485907,3.2357294452241194,0.4302925259897741,1.385827381000317e-07,,24.0,0.0
sustained,3,0.25,4000,2.000007863229467,0.0588120713930353,1.095139060443992,1.3817732958071725,1.0,3.2288123990431377,0.44339612391725747,3.239222536608082,0.44439780075928353,1.3284948251899436e-11,,24.0,0.0
sustained,3,0.5,4000,2.065217993349191,0.20844142770179866,1.0475765893168665,1.3472900137382835,1.0,3.244068142891782,0.444132646913085,3.3338789717064126,0.4625798730325969,3.328600403260755e-11,,24.0,0.0
sustained,3,0.75,4000,2.131068811111858,0.3004532784294665,0.976107778717001,1.310096735866331,1.0,3.2389175658731366,0.44106724898003735,3.41436908263464,0.4954129667623095,1.1286726309522669e-07,,24.0,0.0
sustained,3,1.0,4000,2.2392293552092095,0.3374770551352784,0.887347577369226,1.2297297109328091,1.0,3.222628149777187,0.4469472553608245,3.583131579410884,0.572273392630494,4.910043105770112e-09,,24.0,0.0
