arm,p_divergence,seed_rep,observer,latent,declared,diverged,latent_correct,declared_correct,self_report_correct,recovered_mu,mu_entropy,subgoal_entropy,final_entropy,artifact_trace_kl
human_unaware,0.0,0,0,0,0,0,1,1,1,1.9759201194479816,1.098036937987205,1.3857560755237386,0.4766472297648287,0.47930958094068843
human_unaware,0.0,0,1,0,0,0,1,1,1,1.983589502342615,1.0983444216933063,1.386070914530682,0.3250514733194235,0.47930958094068843
human_unaware,0.0,0,2,0,0,0,1,1,1,1.9725713597575396,1.097866561289137,1.385840335256039,1.0154653987858777,0.47930958094068843
human_unaware,0.0,0,3,0,0,0,1,1,1,1.9858019857346927,1.0984116390526235,1.3860658082713608,0.34009551638921043,0.47930958094068843
human_unaware,0.0,0,4,0,0,0,1,1,1,1.9777153849043732,1.0981192528278938,1.3859023300777082,0.4208530076097038,0.47930958094068843
human_unaware,0.0,0,5,0,0,0,1,1,1,1.9762666968430505,1.098053320074356,1.3858933849955142,1.1633723367202515,0.47930958094068843
human_unaware,0.0,0,6,0,0,0,1,1,1,1.9764874021744019,1.0980636299865898,1.385974791173355,0.44403139425541266,0.47930958094068843
human_unaware,0.0,0,7,0,0,0,1,1,1,1.96733324137786,1.0975562396783392,1.3859024606360362,0.9642336235981748,0.47930958094068843
human_unaware,0.0,0,8,0,0,0,1,1,1,1.9714378666097279,1.097803936517213,1.3859258457061805,1.0176047725014605,0.47930958094068843
human_unaware,0.0,0,9,0,0,0,1,1,1,1.9810895231293335,1.0982568739355376,1.3860419637995927,0.385533353030454,0.47930958094068843
human_unaware,0.0,0,10,0,0,0,1,1,1,1.9511066387737253,1.0962579616664216,1.385704316126593,0.7547145451948887,0.47930958094068843
human_unaware,0.0,0,11,0,0,0,1,1,1,1.9758745273952227,1.0980347654525284,1.3859435296831597,0.4248953561095822,0.47930958094068843
human_unaware,0.0,0,12,0,0,0,1,1,1,1.9609792505156611,1.0971083579439358,1.3855977843604088,0.5999216799018392,0.47930958094068843
human_unaware,0.0,0,13,0,0,0,1,1,1,1.9826660278437087,1.0983135137935034,1.385869523687227,0.41499419836996376,0.47930958094068843
human_unaware,0.0,0,14,0,0,0,1,1,1,1.9806079098652982,1.0982385969524298,1.385868265927593,0.44590626030264446,0.47930958094068843
human_unaware,0.0,0,15,0,0,0,1,1,1,1.9751774674857603,1.0980010434699299,1.3857265482496959,0.5105611488844919,0.47930958094068843
human_unaware,0.0,0,16,0,0,0,1,1,1,1.9807892090528791,1.0982455306272418,1.38606107006725,0.3861633424647295,0.47930958094068843
human_unaware,0.0,0,17,0,0,0,1,1,1,1.9707824059788994,1.0977665807404358,1.3858539447588323,0.5093686381269373,0.47930958094068843
human_unaware,0.0,0,18,0,0,0,1,1,1,1.9702336914441598,1.0977346655213105,1.3857051291457567,0.968811177959084,0.47930958094068843
human_unaware,0.0,0,19,0,0,0,1,1,1,1.9563518370998692,1.0967331050898899,1.3857349300494692,0.567551635203827,0.47930958094068843
human_unaware,0.0,0,20,0,0,0,1,1,1,1.9745080710435263,1.0979677661476361,1.385713719405114,1.1098599260709563,0.47930958094068843
human_unaware,0.0,0,21,0,0,0,1,1,1,1.9680843770367258,1.0976040152053903,1.385924688587074,0.48883707242942676,0.47930958094068843
human_unaware,0.0,0,22,0,0,0,1,1,1,1.9445205222776956,1.0955867436075453,1.3852743482554777,0.7624033385181038,0.47930958094068843
human_unaware,0.0,0,23,0,0,0,1,1,1,1.980723120676303,1.0982430105937668,1.3859199779830145,0.4570842840744024,0.47930958094068843
human_unaware,0.0,0,24,0,0,0,1,1,1,1.9855668364657555,1.0984049532879885,1.3860520306315154,0.379126282485411,0.47930958094068843
human_unaware,0.0,0,25,0,0,0,1,1,1,1.980648402065613,1.0982401511491051,1.3859715938929125,0.42249041806018034,0.47930958094068843
human_unaware,0.0,0,26,0,0,0,0,0,1,2.0,1.0986122886681096,1.3862943611198906,1.3744152213346466,0.47930958094068843
human_unaware,0.0,0,27,0,0,0,1,1,1,1.9442258639822516,1.0955547785626765,1.3852116992695123,0.7832030676814214,0.47930958094068843
human_unaware,0.0,0,28,0,0,0,0,0,1,2.0,1.0986122886681096,1.3862943611198906,1.3503018665020308,0.47930958094068843
human_unaware,0.0,0,29,0,0,0,1,1,1,1.9791560592843573,1.0981807450183616,1.386051607000879,0.35061539435953676,0.47930958094068843
