arm,contamination,shape_kl,shape_kl_sd,flatness,flatness_sd,creator_mi,ghost_col_err,deep_per_genuine
both,0.0,0.2577159349781853,0.06896314604904456,1.041553231458156,0.017914977141322307,0.8552069965626347,4.570172059367532,1.9236458333333335
both,0.3,0.3625144985303921,0.08488481167176397,1.0287786395649872,0.019521002583073502,0.7696887111783965,0.18152331222871973,1.9861928506111692
both,0.6,0.6076209473537112,0.10461328426989006,0.9962520770773851,0.020601880818967196,0.4938318547951727,0.14298438947298245,1.8436473735540477
control,0.0,0.1420368255105597,0.01763230324264215,1.0118919332962826,0.015175304127176345,1.0281062576981135,4.584881829837206,6.0
control,0.3,0.14536940262270717,0.01785664103810916,1.0085256496985189,0.017177749268842107,1.0396358565954749,0.04565003379752728,6.0
control,0.6,0.1617903245581539,0.0226163537822747,1.0168667468314232,0.020552595707889282,1.0098561046126113,0.03662845711674178,6.0
poisoning_only,0.0,0.14115157328025402,0.01395743572071614,1.01147013527982,0.01641495372763457,1.029332380297618,4.585799461265755,6.0
poisoning_only,0.3,0.1737484925284826,0.03170168216219568,1.0209992334945197,0.01637358562553691,0.9773403735223117,0.057745699077603886,6.0
poisoning_only,0.6,0.3598554817894953,0.06909729300816755,1.0056299810515859,0.023867987837529657,0.8473522524620538,0.044297690646839964,6.0
starvation_only,0.0,0.24734056018745862,0.055176874043963674,1.0309187072870054,0.01963222503975737,0.8944460243944704,4.573006479023708,1.8709375
starvation_only,0.3,0.24290304258980733,0.052950647540628025,1.0419232166152264,0.02462864906364798,0.8657349179055593,0.12809448148730088,1.8950691116960379
starvation_only,0.6,0.23619150699256544,0.07013163480804659,1.0217129901042672,0.03217809781750524,0.9223419907071938,0.10947977108003758,1.7783257701951143
