kappa,signing_rate,contamination,seed_rep,observer,exposure,ghost_col_err,creator_mi,oracle_mi,mi_ratio,ghost_col_entropy,time_to_competence
0.1,0.0,0.3,0,0,100,3.7278797687149376,0.9844733504018182,1.0887088433787815,0.9042576960673241,1.0217273795790822,
0.1,0.0,0.3,0,0,200,3.657958517040499,0.9647928125638747,1.0887088433787815,0.8861807437603461,1.063228586236149,
0.1,0.0,0.3,0,0,300,3.614853369786186,0.9658703820540224,1.0887088433787815,0.8871705120502807,1.072266297442797,
0.1,0.0,0.3,0,0,400,3.6338482817393283,0.9619195118476579,1.0887088433787815,0.8835415618213994,1.0831470355342376,
0.1,0.0,0.3,0,0,500,3.664566121824632,0.9762330696798114,1.0887088433787815,0.8966888398280074,1.0637442182894334,
0.1,0.0,0.3,0,0,600,3.683311485481262,0.9941287490914985,1.0887088433787815,0.9131263653616003,1.0528613362098205,
0.1,0.0,0.3,0,0,-1,3.683311485481262,0.9941287490914985,1.0887088433787815,0.9131263653616003,1.0528613362098205,600.0
0.1,0.0,0.3,0,1,100,3.7830984367827503,1.000005086728692,1.0887088433787815,0.9185238944373783,1.0018679637532615,
0.1,0.0,0.3,0,1,200,3.764842328708183,1.0146649740519893,1.0887088433787815,0.9319892827388093,0.9788168909534871,
0.1,0.0,0.3,0,1,300,3.7264693649305,1.0132504030038016,1.0887088433787815,0.9306899720399107,0.9681436129856402,
0.1,0.0,0.3,0,1,400,3.7425012607181323,1.008309315535135,1.0887088433787815,0.9261514882214712,0.9727766475135244,
0.1,0.0,0.3,0,1,500,3.7667338767144374,1.0156600287149833,1.0887088433787815,0.9329032595738885,0.9644787584248197,
0.1,0.0,0.3,0,1,600,3.7924011377877727,1.032215627778758,1.0887088433787815,0.9481098955486591,0.9460243547474425,
0.1,0.0,0.3,0,1,-1,3.7924011377877727,1.032215627778758,1.0887088433787815,0.9481098955486591,0.9460243547474425,600.0
0.1,0.0,0.3,0,2,100,3.661707053524517,0.8525419654070421,1.0887088433787815,0.7830761829408851,1.1024645203933379,
0.1,0.0,0.3,0,2,200,3.6451883774399647,0.8437421304186987,1.0887088433787815,0.7749933653520857,1.0518306484946107,
