contamination,signal,metric,slope,se,t,quadratic_term,significant,n11_passed
0.0,absent,kl_payload,0.00028327664240963157,0.0031323883004264557,0.09043471474180426,-0.0062863711032995545,False,True
0.0,absent,mi_genuine,-0.045000153770604,0.029652407756934687,-1.5175885256764687,-0.0027621863375243503,False,
0.0,absent,regret,-0.09881209013808984,0.4113069826739031,-0.24023927212641347,0.2153125483968505,False,
0.0,absent,mean_deep_genuine,0.11611111111111158,0.05437108436305839,2.1355305392805723,0.021944444444444534,True,
0.0,absent,creator_col_kl,0.0847391715636156,0.048300124462947354,1.7544296729218962,-0.0049423482550096974,False,
0.0,honest,kl_payload,0.011913209585566912,0.003175841731491544,3.751197506927348,-0.004659603285122462,True,False
0.0,honest,mi_genuine,-0.044332353020590014,0.019197854498637687,-2.3092347649439637,0.009082878595548358,True,
0.0,honest,regret,1.2720237537733718,0.7220196248019184,1.761757866515531,-0.20018831483832017,False,
0.0,honest,mean_deep_genuine,0.04691111111111133,0.05216318838244285,0.8993144891216184,-0.01994444444444451,False,
0.0,honest,creator_col_kl,0.063998420671251,0.02415628174938553,2.6493489906772982,-0.017972217557219172,True,
0.3,absent,kl_payload,0.013680550833763263,0.006034141748062357,2.2671908292768013,-0.010375009870880634,True,False
0.3,absent,mi_genuine,-0.13719543199947298,0.022810048030478775,-6.014692815032766,0.05816184792315939,True,
0.3,absent,regret,0.5342250498827744,0.1630317777686485,3.2768154601176627,0.10675339912168455,True,
0.3,absent,mean_deep_genuine,-0.18625018370959961,0.09662099684849569,-1.9276367434052133,-0.2785439899002261,False,
0.3,absent,creator_col_kl,0.470152315249463,0.06650637640966135,7.069281783651111,-0.16168878039903775,True,
0.3,honest,kl_payload,0.005235699028837147,0.00392703332176744,1.333245378850189,-0.007484423010022684,False,False
0.3,honest,mi_genuine,-0.02925566684114948,0.025256892102903144,-1.158324101079194,0.03163258954417765,False,
0.3,honest,regret,0.6782995653379863,0.5323522453418901,1.2741555450796778,-0.6772027053359647,False,
0.3,honest,mean_deep_genuine,0.06530163027732461,0.06141794125693462,1.0632337870809285,-0.028822129906864412,False,
0.3,honest,creator_col_kl,0.005805040698797776,0.034773418512838015,0.1669390283458789,-0.025677564350253257,False,
0.6,absent,kl_payload,-0.0012484798640438005,0.006010854738001695,-0.20770421486825963,0.0003685860305798462,False,False
0.6,absent,mi_genuine,-0.04712839975230272,0.020450710035977555,-2.3044872119057436,0.03937669430350626,True,
0.6,absent,regret,0.4828783957644472,0.13928779602744187,3.4667674378975213,-0.2221047410090449,True,
0.6,absent,mean_deep_genuine,-0.2505744207769666,0.07780872633440689,-3.220389698965719,0.20851291870598293,True,
0.6,absent,creator_col_kl,0.20116455956024076,0.05516083852024511,3.646872762574293,-0.11338086353349318,True,
0.6,honest,kl_payload,0.006718505612779424,0.0046193369513291,1.4544307296843415,-0.0009546389159666818,False,False
0.6,honest,mi_genuine,-0.049321455537993567,0.040693999485534524,-1.2120080641256665,0.04202606508689195,False,
0.6,honest,regret,0.8549663280921384,0.6524526254227893,1.3103883635047375,-0.36116858469802,False,
0.6,honest,mean_deep_genuine,0.07474233395335217,0.0643875775106996,1.1608191648603625,-0.022097676182754523,False,
0.6,honest,creator_col_kl,0.06893260157823666,0.08135457175261841,0.8473107299715834,-0.04726071987877965,False,
