kappa,signing_rate,contamination,ghost_col_err,creator_mi,mi_ratio,mi_ratio_sd,ghost_col_entropy,time_to_competence
0.1,0.0,0.3,3.5939080124318536,0.9270605866347102,0.8515229689487964,0.06958559415754113,1.0186850660558369,600.0
0.1,0.0,0.6,2.460029583695659,0.6546220805475134,0.6012829642458948,0.11853798480025703,0.8715597716337345,600.0
0.1,0.5,0.3,2.481441652668365,0.9860759812428984,0.9057297433009137,0.08566474017266489,0.7700748981440809,600.0
0.1,0.5,0.6,1.1887553722851358,0.921726987835874,0.8466239559286731,0.08730233802046078,0.4622989527328418,504.1666666666667
0.1,1.0,0.3,1.3899540211644617,1.0464521147116206,0.9611863824527976,0.040373012686478506,0.6356032828074988,516.6666666666666
0.1,1.0,0.6,0.5050765655529169,1.0026039394292994,0.9209109905984986,0.061983356674145285,0.3522214749382346,295.8333333333333
0.9,0.0,0.3,3.5531444210069036,0.9321515281286032,0.8561990965699273,0.07026278495923867,1.0144956181542941,600.0
0.9,0.0,0.6,2.3270741516259714,0.706344428737309,0.6487909352744726,0.09337828284546398,0.8565750028847788,600.0
0.9,0.5,0.3,1.2831850090528192,1.0015233817314766,0.9199184775823745,0.043871333463430646,0.5395517341201795,550.0
0.9,0.5,0.6,0.11917998113523952,0.9650408567552526,0.8864085771180766,0.07169184678626954,0.26593016356037197,129.16666666666666
0.9,1.0,0.3,0.04045628574357056,1.0332723885109674,0.9490805505944376,0.04439484748783614,0.20934727923200913,100.0
0.9,1.0,0.6,0.034085748529205845,1.0076523883133868,0.9255480879407226,0.06173129465196195,0.20434427599530558,100.0
