contamination,signal,seed_rep,generation,mean_expertise,mi_genuine,kl_payload,mean_deep_genuine,creator_col_kl,eff_sample_count,n_artifacts,n_observers,population_average_seed,kl,regret,regret_norm,argmax_preserved,sycophancy,entropy_recovered
0.0,absent,0,0,1.0,0.8402131296250364,0.03265341718397847,1.8206666666666667,0.3702028706236928,34.06463114620178,300,5,False,0.03265341718397847,5.756695257691147,0.1918898419230382,0,1.0,1.3443070403351631
0.0,absent,0,1,1.0,0.8382874192556281,0.041869086745148054,1.9093333333333333,0.4061944218859894,35.78205831409682,300,5,False,0.041869086745148054,5.103420912164037,0.17011403040546785,1,1.0,1.3635478628649897
0.0,absent,0,2,1.0,0.8476256239958528,0.02063361017497302,1.936,0.36987896186119895,36.32072289431315,300,5,False,0.02063361017497302,2.7748270798089,0.09249423599362999,1,0.715,1.3433784587363338
0.0,absent,0,3,1.0,0.833357522246906,0.019252224611554965,2.030666666666667,0.4614513505304524,38.077209806443065,300,5,False,0.019252224611554965,5.012746689444519,0.16709155631481729,1,0.745,1.3389788397412707
0.0,absent,1,0,1.0,0.8003379749927193,0.01649662379468416,1.948,0.364998787692409,36.48937404578935,300,5,False,0.01649662379468416,2.9218745483762634,0.09739581827920876,1,0.665,1.342069485398989
0.0,absent,1,1,1.0,0.7703521291917435,0.02037597547658644,2.019333333333333,0.4200061802239302,37.88383823306417,300,5,False,0.02037597547658644,2.729882256779886,0.0909960752259962,1,0.68,1.3453937009430093
0.0,absent,1,2,1.0,0.7901495983965732,0.026121413112611222,1.9706666666666668,0.5352658465683955,36.97198424042182,300,5,False,0.026121413112611222,2.6507501677584644,0.08835833892528214,1,1.0,1.348811304434963
0.0,absent,1,3,1.0,0.7549573366709771,0.02029935625216371,2.0060000000000002,0.5788109509306071,37.60989300593757,300,5,False,0.02029935625216371,1.8294838513427947,0.06098279504475981,1,0.745,1.344407975305777
0.0,absent,2,0,1.0,0.8203192898877093,0.0077330170410288696,1.9300000000000002,0.5127842404589218,36.15270340890483,300,5,False,0.0077330170410288696,1.0325862743171377,0.03441954247723792,1,0.415,1.314022617137618
0.0,absent,2,1,1.0,0.6936330479364471,0.04095161018159417,1.966,0.7066039522676236,36.999031313481034,300,5,False,0.04095161018159417,3.0649526052813236,0.10216508684271078,1,0.715,1.3426841252839061
0.0,absent,2,2,1.0,0.5897525949320507,0.0456731422880568,2.3673333333333337,0.8804566835663742,44.28711341336539,300,5,False,0.0456731422880568,1.013125374289492,0.03377084580964972,1,0.73,1.3320018258193596
0.0,absent,2,3,1.0,0.4474689242346546,0.023753745855964986,2.6966666666666663,0.9708496670773117,50.53556038554159,300,5,False,0.023753745855964986,3.3673223556724583,0.11224407852241526,1,0.745,1.3489927094092171
0.0,honest,0,0,1.0,0.8017597737350503,0.04681579826916052,1.8893333333333335,0.40945977951489315,141.55975852171224,300,5,False,0.04681579826916052,7.566604001930638,0.2522201333976879,0,1.0,1.3579192969274834
0.0,honest,0,1,1.0,0.8180608562952252,0.045687644420159546,2.0140000000000002,0.5118233627691531,150.9376555844761,300,5,False,0.045687644420159546,7.669755643336002,0.2556585214445333,0,1.0,1.356268851744128
0.0,honest,0,2,1.0,0.7572374127929887,0.07536413640346351,2.0166666666666666,0.464297454222694,151.14342280177152,300,5,False,0.07536413640346351,2.2260104837848846,0.07420034945949615,1,1.0,1.3653434411378236
0.0,honest,0,3,1.0,0.8066381334309518,0.05349817580595265,1.8379999999999999,0.6188266946488072,137.72845064079047,300,5,False,0.05349817580595265,5.321865192016001,0.17739550640053334,1,1.0,1.37277599531032
0.0,honest,1,0,1.0,0.8440960186313768,0.044399582502860024,1.8666666666666667,0.5627149826350071,139.8529549753955,300,5,False,0.044399582502860024,3.0339830114103905,0.101132767047013,1,1.0,1.3632861903190485
0.0,honest,1,1,1.0,0.6986844964079029,0.07159758337000377,2.102666666666667,0.6956638170584369,157.5977206229067,300,5,False,0.07159758337000377,7.849355786977302,0.2616451928992434,0,1.0,1.3795421048086856
0.0,honest,1,2,1.0,0.6505811972491794,0.07780836574070665,2.2619999999999996,0.6507676759711901,169.55529877028172,300,5,False,0.07780836574070665,8.161901897295676,0.2720633965765225,0,1.0,1.36859703560901
0.0,honest,1,3,1.0,0.5811521433338979,0.09006868153846918,2.372,0.6491711880562017,177.78460226537604,300,5,False,0.09006868153846918,8.845834064858371,0.294861135495279,0,1.0,1.3715799963903865
0.0,honest,2,0,1.0,0.8772187083320186,0.034384629661543806,1.8746666666666667,0.40107326369144114,140.47116994496963,300,5,False,0.034384629661543806,2.1310255445854462,0.07103418481951487,1,1.0,1.3603859395105615
0.0,honest,2,1,1.0,0.8579598706160476,0.058060915226937224,1.7046666666666668,0.6369247133900946,127.73158367556023,300,5,False,0.058060915226937224,4.205797879333178,0.14019326264443926,1,1.0,1.3710272179312804
0.0,honest,2,2,1.0,0.7752019743315511,0.0788399434554799,1.7879999999999998,0.6643390750086401,133.93520560872602,300,5,False,0.0788399434554799,10.188924787831077,0.33963082626103586,1,1.0,1.3795362050439117
0.0,honest,2,3,1.0,0.7558555733761804,0.082276481417295,1.8080000000000003,0.766903579187228,135.4785775055201,300,5,False,0.082276481417295,11.000174885697428,0.3666724961899142,0,1.0,1.3810730117938537
0.3,absent,0,0,1.0,0.6152266495465633,0.04121986260762542,1.7822660098522172,0.8969396444909903,40.85627766217777,300,5,False,0.04121986260762542,0.36483726856796905,0.012161242285598967,1,0.415,1.3316616331979927
0.3,absent,0,1,1.0,0.34966406208679623,0.11650163090887777,2.4345794392523366,1.8369714747153356,50.05640468964081,300,5,False,0.11650163090887777,0.5233392729807163,0.01744464243269054,1,0.795,1.3157684360972997
0.3,absent,0,2,1.0,0.23828637271884032,0.07694610464483169,2.2525821596244127,2.1651911396541155,44.833459125540415,300,5,False,0.07694610464483169,0.8951215136239921,0.029837383787466396,1,0.45,1.3305639617092968
0.3,absent,0,3,1.0,0.2036062688353534,0.07932443513854506,1.479,2.361426584309701,29.62475779651661,300,5,False,0.07932443513854506,1.3476402698702872,0.044921342329009566,1,1.0,1.3601510982084748
0.3,absent,1,0,1.0,0.7141044229831428,0.026534282781343163,2.062882096069869,0.6461030359117625,41.52150965500405,300,5,False,0.026534282781343163,0.2984102047063453,0.009947006823544841,1,0.665,1.328251773943185
0.3,absent,1,1,1.0,0.46046989793611137,0.041649135375880005,2.192488262910798,1.4281064962331325,47.81531028471487,300,5,False,0.041649135375880005,0.09273163004914764,0.0030910543349715876,1,0.19,1.3083885951286445
0.3,absent,1,2,1.0,0.2879582651879832,0.07128210925574474,2.3124378109452737,2.1523734498474276,48.57706568583834,300,5,False,0.07128210925574474,0.5607094565016346,0.01869031521672115,1,1.0,1.3459787319556429
