true_provenance,declared_signal,seed_rep,observer,true_goal,modal_goal,within_entropy,final_posterior
CREATOR,SIG_CREATOR,0,36,1,1,1.6905730862726361e-12,"[1.1899880272407862e-15, 0.9999999999999469, 5.064726456930486e-14, 1.3463487712037705e-15]"
CREATOR,SIG_CREATOR,0,37,1,1,1.5222255765581457e-12,"[1.7445367204405476e-15, 0.9999999999999523, 4.368788007169342e-14, 2.109622574200801e-15]"
CREATOR,SIG_CREATOR,0,38,1,1,4.575778829615124e-14,"[4.21200606997354e-16, 0.9999999999999987, 4.1627902592392884e-16, 4.1710391204173e-16]"
CREATOR,SIG_CREATOR,0,39,1,1,1.8828018497768627e-12,"[1.3743693460028629e-15, 0.9999999999999407, 1.8148991791662637e-15, 5.62076982210823e-14]"
CREATOR,SIG_CREATOR,0,40,1,1,1.1324015087472405e-12,"[1.282078323308018e-15, 0.9999999999999649, 1.1040759037771821e-15, 3.2698358743234517e-14]"
CREATOR,SIG_CREATOR,0,41,1,1,4.760530767777824e-14,"[4.292829060241988e-16, 0.9999999999999987, 4.3587204027290436e-16, 4.431547258492714e-16]"
CREATOR,SIG_CREATOR,0,42,1,1,4.6818921114174775e-14,"[4.297480157170954e-16, 0.9999999999999987, 4.220530861832116e-16, 4.3363264887231306e-16]"
CREATOR,SIG_CREATOR,0,43,1,1,1.242207142368004e-10,"[2.439558580903336e-12, 0.9999999999955438, 4.835935507192997e-14, 1.9681720157996126e-12]"
CREATOR,SIG_CREATOR,0,44,1,1,1.064930681913886e-10,"[1.9279821320355722e-12, 0.999999999996203, 1.8229544810349904e-12, 4.6050793112945734e-14]"
CREATOR,SIG_CREATOR,0,45,1,1,4.5888973205679107e-14,"[4.1877826544915934e-16, 0.9999999999999987, 4.204000122046409e-16, 4.192173436438462e-16]"
CREATOR,SIG_CREATOR,0,46,1,1,4.654542867892057e-14,"[4.241464071344227e-16, 0.9999999999999987, 4.20126043507778e-16, 4.332091870811666e-16]"
CREATOR,SIG_CREATOR,0,47,1,1,1.1542660946192199e-12,"[3.336460291292902e-14, 0.9999999999999643, 1.3793335483172532e-15, 1.0428094986615018e-15]"
CREATOR,SIG_CREATOR,0,48,1,1,4.760116592540042e-14,"[4.26824610835653e-16, 0.9999999999999987, 4.471684738114265e-16, 4.341999303266758e-16]"
CREATOR,SIG_CREATOR,0,49,1,1,4.6730820481312466e-14,"[4.24143484273122e-16, 0.9999999999999987, 4.256805303808266e-16, 4.330469013922359e-16]"
CREATOR,SIG_CREATOR,0,50,1,1,4.6996764264914497e-14,"[4.2757591237824956e-16, 0.9999999999999987, 4.256979748991761e-16, 4.3733235564184496e-16]"
CREATOR,SIG_CREATOR,0,51,1,1,4.6431660544489986e-14,"[4.2105938003206655e-16, 0.9999999999999987, 4.2670150822546014e-16, 4.264105705149298e-16]"
CREATOR,SIG_CREATOR,0,52,1,1,4.622576722635192e-14,"[4.192635134232043e-16, 0.9999999999999987, 4.308423323468917e-16, 4.1808261392578474e-16]"
CREATOR,SIG_CREATOR,0,53,1,1,2.1817930463890907e-12,"[1.5304777264960106e-15, 0.9999999999999309, 6.558365401590967e-14, 2.061379145125648e-15]"
CREATOR,SIG_CREATOR,0,54,1,1,1.0304491327498023e-12,"[2.942754504672397e-14, 0.999999999999968, 1.2676836997363089e-15, 1.1069936409535264e-15]"
CREATOR,SIG_CREATOR,0,55,1,1,3.0044179955520623e-12,"[9.297931407271546e-14, 0.9999999999999034, 1.7666138388971508e-15, 1.7008769951454883e-15]"
