half,arm,contamination,seed_rep,observer,artifact_index,eff_sample_count,creator_col_kl,col_change_rate,deep_per_genuine,generation,deep_per_artifact
starvation,starvation_only,0.0,1,1,150,71.3739766934874,0.3069621853667819,0.007999540334346487,1.9066666666666667,,
starvation,starvation_only,0.0,1,1,175,83.36635659927501,0.3034514800824723,0.0052964597515108534,1.9085714285714286,,
starvation,starvation_only,0.0,1,1,200,95.60757986760545,0.28997469284168154,0.0064834384766009785,1.915,,
starvation,starvation_only,0.0,1,1,225,109.60001856750148,0.31725103635704244,0.006745865393015302,1.951111111111111,,
starvation,starvation_only,0.0,1,1,250,121.59153649033101,0.31230936216407157,0.0046726918866864245,1.948,,
starvation,starvation_only,0.0,1,1,275,134.08475222358732,0.32210919752926737,0.004296763056710391,1.9527272727272726,,
starvation,starvation_only,0.0,1,1,300,148.57826603403555,0.3402317505339871,0.003939172590355616,1.9833333333333334,,
starvation,starvation_only,0.0,1,1,325,162.0706386098004,0.35105884582744834,0.0032126964037796613,1.996923076923077,,
starvation,starvation_only,0.0,1,1,350,174.56161480088673,0.3495419825891631,0.005556910141749302,1.997142857142857,,
starvation,starvation_only,0.0,1,1,375,188.803055976841,0.3585274211451801,0.0028859406353780614,2.016,,
starvation,starvation_only,0.0,1,1,400,202.29744880631057,0.3712806960470604,0.003333099275140269,2.025,,
starvation,starvation_only,0.0,1,2,25,9.989155798581677,0.21944379491769123,0.06502486344251455,1.6,,
starvation,starvation_only,0.0,1,2,50,22.476582491345837,0.2858326304573646,0.0360092482831961,1.8,,
starvation,starvation_only,0.0,1,2,75,34.70554721446936,0.33184652195747694,0.021659424715145707,1.8533333333333333,,
starvation,starvation_only,0.0,1,2,100,46.448002326560676,0.36193680741336365,0.014202582244846074,1.86,,
starvation,starvation_only,0.0,1,2,125,58.6919206446872,0.4113079973545637,0.011231643516341917,1.88,,
starvation,starvation_only,0.0,1,2,150,71.93479644210633,0.4552861716466679,0.009192448162064978,1.92,,
