tier,t,frac_deep,goal_entropy,deep_epi_goal,deep_epi_total,effort_gap
CREATOR,0,1.0,0.30417294293828356,2.045745382864531,2.4708281944200863,0.4
CREATOR,1,0.52475,0.1742041282558037,0.39760894750931103,0.4058942565792254,0.4
CREATOR,2,0.058,0.1366398986198139,0.23189100593255527,0.23205983083926343,0.4
CREATOR,3,0.00175,0.13499658580754473,0.17143773804973364,0.1714496912068799,0.4
CREATOR,4,0.0,0.13499658580754587,0.16874518327496527,0.16875577310319767,0.4
CREATOR,5,0.0,0.13499658580754598,0.16874518336772812,0.16875577189235463,0.4
CREATOR,6,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,7,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,8,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,9,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,10,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,11,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,12,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,13,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,14,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,15,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,16,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,17,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,18,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,19,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,20,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,21,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,22,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,23,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,24,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,25,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,26,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,27,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,28,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,29,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,30,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,31,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,32,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,33,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,34,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,35,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,36,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,37,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,38,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
CREATOR,39,0.0,0.13499658580754598,0.16874518336789834,0.1687557718911929,0.4
POLISHED,0,1.0,0.424857523049217,1.8385065265946412,2.2593542983135158,0.4
POLISHED,1,0.68075,0.2202404298927922,0.5090869448589327,0.5178145562860084,0.4
POLISHED,2,0.13575,0.14525588396414457,0.26951830777822333,0.2696923105526139,0.4
POLISHED,3,0.02125,0.132844839513899,0.16179534817463612,0.161807371391694,0.4
POLISHED,4,0.0065,0.13011944434702913,0.14369181577888013,0.14370165207586083,0.4
POLISHED,5,0.00125,0.12973902118322606,0.14003498584204066,0.14004481868986796,0.4
POLISHED,6,0.0005,0.12950755193392446,0.13956047119797882,0.1395703040300789,0.4
POLISHED,7,0.0,0.1295075519339245,0.13923355096389275,0.13924338379586992,0.4
POLISHED,8,0.0,0.1295075519339245,0.1392335509638928,0.1392433837958692,0.4
POLISHED,9,0.0,0.1295075519339245,0.1392335509638928,0.1392433837958692,0.4
POLISHED,10,0.0,0.1295075519339245,0.1392335509638928,0.1392433837958692,0.4
POLISHED,11,0.0,0.1295075519339245,0.1392335509638928,0.1392433837958692,0.4
POLISHED,12,0.0,0.1295075519339245,0.1392335509638928,0.1392433837958692,0.4
POLISHED,13,0.0,0.1295075519339245,0.1392335509638928,0.1392433837958692,0.4
POLISHED,14,0.0,0.1295075519339245,0.1392335509638928,0.1392433837958692,0.4
POLISHED,15,0.0,0.1295075519339245,0.1392335509638928,0.1392433837958692,0.4
POLISHED,16,0.0,0.1295075519339245,0.1392335509638928,0.1392433837958692,0.4
POLISHED,17,0.0,0.1295075519339245,0.1392335509638928,0.1392433837958692,0.4
POLISHED,18,0.0,0.1295075519339245,0.1392335509638928,0.1392433837958692,0.4
POLISHED,19,0.0,0.1295075519339245,0.1392335509638928,0.1392433837958692,0.4
POLISHED,20,0.0,0.1295075519339245,0.1392335509638928,0.1392433837958692,0.4
POLISHED,21,0.0,0.1295075519339245,0.1392335509638928,0.1392433837958692,0.4
