arm,kappa,contamination,seed_rep,observer,honesty,engagement_frozen,deep_per_genuine,ghost_col_err,creator_mi,mi_CREATOR,kl_CREATOR,ent_CREATOR,mi_POLISHED,kl_POLISHED,ent_POLISHED,mi_CURATOR,kl_CURATOR,ent_CURATOR,mi_GHOST,kl_GHOST,ent_GHOST,shape_kl_human,flatness_human
poisoning_only,0.9,0.0,0,0,0.5,True,6.0,4.593112571965467,1.0214377074342509,1.0214377074342509,0.02735684508463011,1.055339542591606,1.07894779761916,0.022126034566882075,1.0003964105096386,1.0834271744802162,0.3561853372998649,0.9959869483194713,1.0834272455505958,2.277940851661073,0.9959868780034387,0.13522273898379236,1.0172409671402385
poisoning_only,0.9,0.0,0,1,0.5,True,6.0,4.583779744292343,1.0471879018494785,1.0471879018494785,0.016889740717718413,1.030943389693062,1.08590694526211,0.023445966771069075,0.9935246580565907,1.0846430216184981,0.35670602673025775,0.9947774735711974,1.0851765626084806,2.2739105830961366,0.9942491329762557,0.13234724473968176,1.0064151737736167
poisoning_only,0.9,0.0,0,2,0.5,True,6.0,4.5830886084613605,0.9986591748629341,0.9986591748629341,0.059823970679486964,1.0744373690479878,1.0826849484883405,0.023167839375150122,0.9967395818152117,1.0831067510496644,0.35645126820878775,0.9963201328443785,1.0840283097537335,2.2744690803998777,0.9954030827122158,0.14648102608780827,1.0224990279025261
poisoning_only,0.9,0.0,0,3,0.5,True,6.0,4.58711741204162,1.0050865199209065,1.0050865199209065,0.045388418619381324,1.0694352898070663,1.0820468074094918,0.022666778123727832,0.9973762621484976,1.0810982534838476,0.35576381363201337,0.99831900865508,1.0821191681398334,2.275560040968615,0.9973043103756132,0.14127300345837418,1.0217101868702148
poisoning_only,0.9,0.0,0,4,0.5,True,6.0,4.5788211757051345,1.0470930842028872,1.0470930842028872,0.02685833473814607,1.0291031871868468,1.0875947304964235,0.02320103577231327,0.9918305142778125,1.0874994723036728,0.3564523821658077,0.9919228852915717,1.087026728033092,2.2717494653241417,0.9923778739388083,0.13550391755875568,1.0042855289187436
poisoning_only,0.9,0.0,0,5,0.5,True,6.0,4.595799117727694,1.036588964677786,1.036588964677786,0.024600242868301876,1.0414865432355924,1.0840891096026297,0.023169800590441415,0.9953179660630587,1.0800651373374537,0.35820419394797814,0.9992462632137996,1.0838688290283545,2.2806451244868806,0.9955347211961552,0.1353247458022405,1.012016924170817
poisoning_only,0.9,0.0,0,6,0.5,True,6.0,4.586120973478253,1.0557408601064862,1.0557408601064862,0.011975220901623444,1.022000240401216,1.0846518576678137,0.023853729218834614,0.9947345360327869,1.0855525927505685,0.3579881170573844,0.9938563176913722,1.0843010467440293,2.2768719804630724,0.9950748243759318,0.1312723557259475,1.0035303647084584
poisoning_only,0.9,0.0,0,7,0.5,True,6.0,4.59261817623117,1.0892922074236875,1.0892922074236875,0.01274790422180621,0.9898748175464172,1.0876627550689932,0.02345132883932374,0.9917719270879459,1.087589727366482,0.3578478235632141,0.9918439318173287,1.0878336886996167,2.278824656569328,0.9916030972093866,0.13134901887478134,0.9911635588172306
poisoning_only,0.9,0.0,1,0,0.5,True,6.0,4.592498243647724,1.111281690066369,1.111281690066369,0.015771603077389226,0.9667850524402692,1.089751650774654,0.023249701245155893,0.9896852887017198,1.0896999434141943,0.35738836276655916,0.9897374547427178,1.0899673316343288,2.278203295287322,0.9894674141340972,0.1321365556963681,0.9820692652949022
poisoning_only,0.9,0.0,1,1,0.5,True,6.0,4.589464872320551,1.0286922999503623,1.0286922999503623,0.022585327879395392,1.0484699987309807,1.0877747358564196,0.022686446175965852,0.9916611050314208,1.0878180150297918,0.3559764285522693,0.991618331490086,1.0879657919653154,2.275934138458978,0.9914721100826172,0.1337494008692102,1.0105831450841625
poisoning_only,0.9,0.0,1,2,0.5,True,6.0,4.572337589766727,0.9912592446639137,0.9912592446639137,0.03105548448407796,1.0839947990929641,1.081052700306211,0.021935422517352282,0.9983146484080181,1.0816065101332328,0.35322716995273734,0.9977713824389535,1.0803399451530207,2.265948701604026,0.9990125929347616,0.13540602565138918,1.0266936099799786
poisoning_only,0.9,0.0,1,3,0.5,True,6.0,4.5906422988934175,0.980176718021319,0.980176718021319,0.04945232269320595,1.0924743761139384,1.0851314122773554,0.02304495385317718,0.9942878398298107,1.084673724493821,0.3566100516867786,0.9947394400599379,1.0842316557057046,2.276753974707544,0.9951749282015242,0.14303577607772058,1.0271672186678957
