omega,seed_rep,observer,foreign_goal,matches_foreign_goal,modal_goal,final_entropy,engaged_fraction,cum_deep
0.0,0,0,0,0,2,1.37690738785366,1.0,24
0.0,0,1,0,1,0,1.35277811463079,1.0,24
0.0,0,2,0,0,3,1.3557756967145957,1.0,24
0.0,0,3,0,1,0,1.373011074484805,1.0,24
0.0,0,4,0,1,0,1.3735624570326856,1.0,24
0.0,0,5,0,0,1,0.33921224071272665,1.0,24
0.0,0,6,0,1,0,1.3799990940976996,1.0,24
0.0,0,7,0,0,3,1.3821305252865534,1.0,24
0.0,0,8,0,0,3,0.32432011656827514,0.0,10
0.0,0,9,0,1,0,1.3787772695822782,1.0,24
0.0,0,10,0,1,0,1.381859830414722,1.0,24
0.0,0,11,0,1,0,1.3697498594646242,1.0,24
0.0,0,12,0,0,3,0.29466914869339683,0.0,10
0.0,0,13,0,0,1,0.25241472806375365,0.7857142857142857,21
0.0,0,14,0,0,1,1.3835730422976908,1.0,24
0.0,0,15,0,0,1,1.376458714043192,1.0,24
0.0,0,16,0,1,0,1.3772313616502234,1.0,24
0.0,0,17,0,0,3,1.375650175966621,1.0,24
0.0,0,18,0,0,2,1.374941214895693,1.0,24
0.0,0,19,0,0,2,1.373421001740407,1.0,24
0.0,0,20,0,0,2,1.3308875947625691,1.0,24
0.0,0,21,0,1,0,1.3753761639718667,1.0,24
0.0,0,22,0,0,2,1.3636962265775396,1.0,24
0.0,0,23,0,0,3,1.3811320376027818,1.0,24
0.0,0,24,0,1,0,1.381755719451888,1.0,24
0.0,0,25,0,1,0,1.3832280323244028,1.0,24
0.0,0,26,0,0,2,1.3744152213346466,1.0,24
0.0,0,27,0,0,1,1.3603590331445479,1.0,24
0.0,0,28,0,0,2,1.3503018665020305,1.0,24
0.0,0,29,0,1,0,1.3539915746491658,1.0,24
0.0,0,30,0,0,1,1.3612749524831822,1.0,24
0.0,0,31,0,0,1,1.3572448162247426,1.0,24
0.0,0,32,0,0,1,0.38498191938272114,1.0,24
0.0,0,33,0,0,2,0.2645820524785258,0.2857142857142857,14
0.0,0,34,0,1,0,1.376101408177461,1.0,24
0.0,0,35,0,0,1,1.37402442712379,1.0,24
0.0,0,36,0,0,2,0.30250320513060297,0.5,17
0.0,0,37,0,0,3,1.3604883086546287,1.0,24
0.0,0,38,0,0,1,1.364376131226769,1.0,24
0.0,0,39,0,0,2,1.3760623359066524,1.0,24
0.0,0,40,0,0,1,1.3693364256533513,1.0,24
0.0,0,41,0,0,3,1.364115877225532,1.0,24
0.0,0,42,0,0,3,1.3719104738677788,1.0,24
0.0,0,43,0,1,0,1.3832943769926564,1.0,24
0.0,0,44,0,0,2,0.36297663845784633,1.0,24
0.0,0,45,0,0,1,0.2585089381360334,1.0,24
0.0,0,46,0,0,3,1.3665701415531883,1.0,24
0.0,0,47,0,0,1,1.3632204928804452,1.0,24
0.0,0,48,0,0,2,1.3509308111411737,1.0,24
0.0,0,49,0,0,3,1.3770925663581417,1.0,24
0.0,0,50,0,0,1,0.3748148384781005,1.0,24
0.0,0,51,0,0,2,1.3810112073653222,1.0,24
0.0,0,52,0,0,2,0.24818934027158093,0.6428571428571429,19
0.0,0,53,0,0,3,0.35256139583302537,1.0,24
0.0,0,54,0,1,0,0.1593508905139795,0.35714285714285715,15
0.0,0,55,0,0,2,0.33137726435432163,0.5714285714285714,18
0.0,0,56,0,0,3,1.3758512389138469,1.0,24
0.0,0,57,0,0,3,1.3732863719247002,1.0,24
0.0,0,58,0,0,3,1.3767710123430856,1.0,24
0.0,0,59,0,0,3,1.3809673970747927,1.0,24
0.0,0,60,0,0,3,1.374551550499965,1.0,24
