content,label,theta,seed_rep,observer,source_goal,recovered_mu,recovered_mu_final,final_entropy,prior_drift,prior_mass_on_source_goal,value_divergence,theta_value,correct,confident,confidently_wrong
human,unsigned,open,0,0,0,2.365989604005403,2.4487972184624045,4.945504061633116e-15,1.161514528405644,0.9528427571657233,0.13976194237397646,1.0,1,1,0
human,unsigned,open,0,1,0,2.2519264019954224,2.207801020165512,3.1867090347668003e-15,0.8348513134775656,0.9598905944278547,0.13976194237398898,1.0,1,1,0
human,unsigned,open,0,2,0,2.181570089147926,2.3634653957454743,3.492847785898696e-15,1.3696257344885046,0.9496100435455488,0.1397619423740055,1.0,1,1,0
human,unsigned,open,0,3,0,2.429227532892437,2.397890426430245,3.788135509031263e-15,0.9351115761828526,0.957418282193685,0.13976194237400594,1.0,1,1,0
human,unsigned,open,0,4,0,2.3749029903933456,2.372755338173311,1.3142327642527663e-13,1.0171905589824026,0.9556112691554485,0.13976194237397643,1.0,1,1,0
human,unsigned,open,0,5,0,2.3094537084208007,2.375717657277209,3.2847558326545107e-15,1.3963837827057362,0.9492494912461713,0.13976194237394934,1.0,1,1,0
human,unsigned,open,0,6,0,2.4130534449922836,2.5710424659183078,7.36132200451378e-15,1.0641483019717222,0.9546565609549658,0.1397619423740039,1.0,1,1,0
human,unsigned,open,0,7,0,2.480531345600865,2.5040718717666643,1.2918867567145555e-13,1.1622161270853912,0.9528304482167207,0.1397619423739504,1.0,1,1,0
human,unsigned,open,0,8,0,1.960652336540836,1.9533196537984239,3.2257808592711524e-15,1.232473210755133,0.951649043076759,0.13976194237400552,1.0,1,1,0
human,unsigned,open,0,9,0,2.291419838784379,2.190596365387697,7.0476594148472836e-15,0.9750414471757629,0.9565163431962627,0.1397619423740047,1.0,1,1,0
human,unsigned,open,0,10,0,2.4352842975592726,2.4521948725730747,1.2441322161179359e-12,1.0404073963986928,0.9551323848415689,0.1397619423737245,1.0,1,1,0
human,unsigned,open,0,11,0,2.2824944604102986,2.4417366024333074,1.297670686847861e-13,0.9949514356770244,0.9560829605400918,0.1397619423736013,1.0,1,1,0
human,unsigned,open,0,12,0,2.3815149618854896,2.286730670584688,5.885762155106316e-14,1.2690586854772934,0.9510721545587619,0.13976194237399298,1.0,1,1,0
human,unsigned,open,0,13,0,2.4305329189297322,2.4956016513351345,7.629741742849371e-13,1.1073966311177614,0.9538243877328425,0.13976194237383305,1.0,1,1,0
human,unsigned,open,0,14,0,2.088458669376804,2.3439107214200985,5.637206041046508e-15,1.1623415773955506,0.9528282483966459,0.13976194237400452,1.0,1,1,0
human,unsigned,open,0,15,0,2.1840307793531517,2.308315808367573,3.219021180613127e-15,1.2539723945162191,0.9513069848273872,0.1397619423739972,1.0,1,1,0
human,unsigned,open,0,16,0,2.451283904743722,2.446725220856284,9.480594530402621e-13,0.9678348026964924,0.9566758521587111,0.13976194237378617,1.0,1,1,0
human,unsigned,open,0,17,0,2.4134060115481004,2.5097001912446206,3.3034054893426822e-15,1.1643266411225137,0.952793483827099,0.13976194237379438,1.0,1,1,0
human,unsigned,open,0,18,0,2.25283860086281,2.3217615575309876,7.84631429969136e-15,1.2869468220177103,0.9507991362728238,0.1397619423740033,1.0,1,1,0
human,unsigned,open,0,19,0,2.4147426407471584,2.3811354666019735,5.051755337297212e-15,1.0497657460411973,0.9549431711273237,0.1397619423740048,1.0,1,1,0
human,unsigned,open,0,20,0,2.115577662246597,1.8438808096408899,3.790151859658311e-15,1.3117158716600184,0.9504305773275461,0.1397619423740053,1.0,1,1,0
human,unsigned,open,0,21,0,2.416549968284326,2.3149233332081995,4.044246371129181e-15,1.0427480330655112,0.9550848568716586,0.1397619423740057,1.0,1,1,0
human,unsigned,open,0,22,0,2.063609802117825,1.9552509279507664,5.289943306756522e-14,1.2816449881398013,0.95087944924124,0.13976194237399084,1.0,1,1,0
