content,label,theta,n,recovered_mu,recovered_mu_sd,prior_drift,final_entropy,value_divergence,theta_value,accuracy,confident,fabrication,between_observer
foreign,sig_creator,closed,1200,2.0793421998286346,0.06425336310502053,0.0022187165319376327,0.26323349821554276,2.7469424083334584,0.006595749300400732,0.24333333333333335,0.8391666666666666,0.0325,0.523593133594921
foreign,sig_creator,open,1200,2.078910890769328,0.05870792078327223,0.848222760220235,0.2416660730826435,0.31360761424524325,1.0,0.9741666666666666,0.8541666666666666,0.025,0.44096996777609243
foreign,sig_ghost,closed,1200,1.8915074326733452,0.0009937001334789231,1.6905489905457955e-05,1.3524610459054955,1.13108799157867,0.012368465844536424,0.25666666666666665,0.0,0.0,0.5159001869632058
foreign,sig_ghost,open,1200,1.8915206753373275,0.0009998090743670346,0.03892456944135194,1.350403278862907,0.7572653625819853,1.0,0.985,0.0,0.0,0.4640455742838573
foreign,unsigned,closed,1200,1.974744475419867,0.050202625450104385,0.0022333111229275813,0.6478015217054197,2.1733990516394046,0.01010391543266823,0.24583333333333332,0.5358333333333334,0.018333333333333333,0.47376478176751957
foreign,unsigned,open,1200,1.9689509020403018,0.05476875353658239,0.7445146841867538,0.3955187097760681,0.3577694839008179,1.0,0.9675,0.7316666666666667,0.02666666666666667,0.4588811641942271
human,sig_creator,closed,1200,2.3773089328457337,0.23366773688562828,7.599562950170314e-11,3.596933859153349e-13,3.135494215905925,3.5734450157335105e-06,0.23833333333333334,1.0,0.0,0.0
human,sig_creator,open,1200,2.323362977429227,0.2203025114235362,1.1484144106693226,3.326058197238381e-13,0.13976194237379574,1.0,1.0,1.0,0.0,0.0
human,sig_ghost,closed,1200,2.002735182418105,0.08850864840089029,5.305954239889135e-10,0.17491608105931594,2.9238014474806984,9.189783239776064e-06,0.2708333333333333,0.9991666666666666,0.0,0.0
human,sig_ghost,open,1200,1.97078815565351,0.06471243623911,1.0422509741096242,0.17901611852465643,0.060091727240001225,1.0,1.0,0.9983333333333333,0.0,0.0
human,unsigned,closed,1200,2.2837510339187257,0.20587017433040644,7.684039159878082e-11,2.048736365492085e-13,3.135494215905388,3.5734450157411884e-06,0.24,1.0,0.0,0.0
human,unsigned,open,1200,2.294394892407521,0.23420445318259991,1.161782070504189,2.018377816123486e-11,0.1397619423253782,1.0,1.0,1.0,0.0,0.0
