true_provenance,alpha,labelling,within,within_sd,between,between_sd,accuracy,fabrication_gap
CREATOR,1.0,claimed_human,7.060177278056233e-08,1.8639455262543636e-07,0.0,0.0,1.0,-7.060177278056233e-08
CREATOR,1.0,truthful,9.75537209064408e-07,3.501637683081718e-06,0.0,0.0,1.0,-9.75537209064408e-07
POLISHED,0.95,claimed_human,2.3674237703992045e-06,6.254149278520542e-06,0.0,0.0,1.0,-2.3674237703992045e-06
POLISHED,0.95,truthful,2.065600685596832e-05,6.36389783613514e-05,0.0,0.0,1.0,-2.065600685596832e-05
CURATOR,0.6,claimed_human,0.0111429670076967,0.002609150412305996,0.10827405675911647,0.05543420233422162,0.9807499999999999,0.09713108975141978
CURATOR,0.6,truthful,0.02878557225285642,0.007446944757761747,0.0477400101469729,0.0425424305827414,0.9917499999999999,0.01895443789411648
GHOST,0.05,claimed_human,0.08941243891808691,0.007492077172950068,1.3794159554485037,0.0073456506132629565,0.24425,1.290003516530417
GHOST,0.05,truthful,1.2973880105156559,0.009308734761545017,1.3797815618483826,0.00327215005394148,0.24675000000000002,0.08239355133272674
