kappa,signing_rate,contamination,kl_recovered,kl_naive
0.1,0.0,0.0,0.000411146648175409,0.0004183997614774171
0.1,0.0,0.1,0.0002354225814819597,0.0016561039630756838
0.1,0.0,0.2,0.00045972951455964476,0.0058368917624727545
0.1,0.0,0.3,0.0006476611719192936,0.012657241144617781
0.1,0.0,0.4,0.001179244751262213,0.022075118061406336
0.1,0.0,0.5,0.00218923221960663,0.03495718757374997
0.1,0.0,0.6,0.003711505230716409,0.04836747449612304
0.1,0.0,0.7,0.00672222206518185,0.06392558469999289
0.1,0.0,0.8,0.015489624268411356,0.08263739644157646
0.1,0.5,0.0,0.0007417138205302355,0.0007253874469323924
0.1,0.5,0.1,0.000725763332572142,0.0016833518181866187
0.1,0.5,0.2,0.0007932699235245,0.006323639391926603
0.1,0.5,0.3,0.000976341026550738,0.013723349523652211
0.1,0.5,0.4,0.0012521726218458619,0.023822926509903773
0.1,0.5,0.5,0.0016758971090125932,0.036174486339887055
0.1,0.5,0.6,0.0026138361842207697,0.04930548534727912
0.1,0.5,0.7,0.003986522501274559,0.06616055518587126
0.1,0.5,0.8,0.008875010452566482,0.08481584591389577
0.1,1.0,0.0,0.0008452290749740912,0.0008386702241294944
0.1,1.0,0.1,0.0009680814967969107,0.0029865990379772146
0.1,1.0,0.2,0.0008859048585028115,0.0073617702599061835
0.1,1.0,0.3,0.0007617807027986841,0.014674483419294115
0.1,1.0,0.4,0.00078260875292463,0.02438696349417362
0.1,1.0,0.5,0.001398097954206428,0.03542221611841974
0.1,1.0,0.6,0.0017019526116923262,0.048795683624374205
0.1,1.0,0.7,0.0016852941482035165,0.06449544822971123
0.1,1.0,0.8,0.002799947762998422,0.08278644027825205
0.5,0.0,0.0,0.00041114664817540363,0.00041839976147741543
0.5,0.0,0.1,0.00023542258148193107,0.001656103963075669
0.5,0.0,0.2,0.0004597295145596093,0.005836891762472747
0.5,0.0,0.3,0.0006476611719193417,0.012657241144617772
0.5,0.0,0.4,0.001179244751262168,0.02207511806140634
0.5,0.0,0.5,0.002189232219606601,0.034957187573749854
0.5,0.0,0.6,0.0037115052307164853,0.04836747449612302
0.5,0.0,0.7,0.006722222065181888,0.06392558469999284
0.5,0.0,0.8,0.01548962426841132,0.08263739644157644
0.5,0.5,0.0,0.0007214860770839762,0.0007147075220741404
0.5,0.5,0.1,0.0007043104884626626,0.0016291256609129116
0.5,0.5,0.2,0.0007859671811303803,0.006084891900525943
0.5,0.5,0.3,0.0009644172374230816,0.013318367081365263
0.5,0.5,0.4,0.0012239973467554916,0.0233509109805481
0.5,0.5,0.5,0.0016369081290785827,0.03525512030454102
0.5,0.5,0.6,0.002548927132018885,0.04774876172940418
0.5,0.5,0.7,0.0038660986389412884,0.06409949465512263
0.5,0.5,0.8,0.008634463825954907,0.08222970554305861
0.5,1.0,0.0,0.0008488901037538162,0.000848890078668395
0.5,1.0,0.1,0.0009633454289304462,0.0027754699741420006
0.5,1.0,0.2,0.0008855857454774061,0.006916179554438626
0.5,1.0,0.3,0.0007596453624170381,0.0137931260695909
0.5,1.0,0.4,0.0007869908018535617,0.02299481930930934
0.5,1.0,0.5,0.0014180651432705294,0.03330901376634552
0.5,1.0,0.6,0.0017118469250580238,0.045411754741349744
0.5,1.0,0.7,0.0017626204803183158,0.06069441043868805
0.5,1.0,0.8,0.0028220187281066678,0.07792177041362003
0.9,0.0,0.0,0.000411146648175409,0.0004183997614774005
0.9,0.0,0.1,0.00023542258148194218,0.0016561039630756582
0.9,0.0,0.2,0.0004597295145596059,0.005836891762472796
0.9,0.0,0.3,0.0006476611719193148,0.012657241144617748
0.9,0.0,0.4,0.0011792447512621407,0.022075118061406312
0.9,0.0,0.5,0.00218923221960664,0.034957187573749916
0.9,0.0,0.6,0.0037115052307164186,0.04836747449612304
0.9,0.0,0.7,0.0067222220651818165,0.06392558469999282
0.9,0.0,0.8,0.015489624268411278,0.08263739644157637
0.9,0.5,0.0,0.0007214858837690651,0.0007147073256302275
0.9,0.5,0.1,0.0007043102537934414,0.0016257652738681009
0.9,0.5,0.2,0.0007859667577940707,0.006052757044631344
0.9,0.5,0.3,0.0009644167299410729,0.01326448952019182
0.9,0.5,0.4,0.0012239969895971405,0.023303437226735092
0.9,0.5,0.5,0.0016369080085587048,0.03521880066954719
0.9,0.5,0.6,0.0025489261795864624,0.047681409463513305
0.9,0.5,0.7,0.0038660974967897775,0.06396205770152968
0.9,0.5,0.8,0.008634463649984013,0.08203310538832323
0.9,1.0,0.0,0.0008488886054214322,0.0008488886054214527
0.9,1.0,0.1,0.0009633433672771047,0.0027617916855217353
0.9,1.0,0.2,0.0008855839027877694,0.00689687107430295
0.9,1.0,0.3,0.0007596436114928392,0.013734275846138297
0.9,1.0,0.4,0.0007869891494572883,0.022891755763944744
0.9,1.0,0.5,0.0014180667175596744,0.03316744773143955
0.9,1.0,0.6,0.0017118489251546434,0.04519648584639059
0.9,1.0,0.7,0.0017626198648484966,0.06047153367735926
0.9,1.0,0.8,0.002822017816672996,0.07776424651418583
